Variant	N
TNFAIP8 (intron_variant)	48
PPP2R5C (intron_variant)	48
RNF125 (downstream_gene_variant)	48
SLC35G1 (downstream_gene_variant)	48
PABPC1P4 (non_coding_transcript_exon_variant)	48
PPP3CC (intron_variant)	48
AC087854.1 (intron_variant)	48
TRNT1 (downstream_gene_variant)	48
ANKRD11 (intron_variant)	48
AC010422.6 (intron_variant)	48
EML4 (intron_variant)	48
ACTBP2 (non_coding_transcript_exon_variant)	47
ATM (upstream_gene_variant)	47
ATP2B4 (intron_variant)	47
HNRNPKP4 (non_coding_transcript_exon_variant)	47
ZNRD1ASP (downstream_gene_variant)	47
LRRC28 (intron_variant)	47
PSMG4 (intron_variant)	47
CD226 (intron_variant)	47
HLA-DPA1 (downstream_gene_variant)	47
TPT1-AS1 (intron_variant)	47
SUCLA2 (intron_variant)	47
DLEU2 (intron_variant)	47
ACYP2 (intron_variant)	47
ZNF814 (intron_variant)	47
TPTE2P5 (intron_variant)	47
LINC00667 (non_coding_transcript_exon_variant)	47
SSR1 (intron_variant)	47
AL359263.1 (non_coding_transcript_exon_variant)	46
ARID5B (intron_variant)	46
CARD8 (upstream_gene_variant)	46
AKAP13 (intron_variant)	46
TGFBR2 (intron_variant)	46
PDE3B (intron_variant)	46
RIPOR2 (downstream_gene_variant)	46
MISP3 (upstream_gene_variant)	46
TMOD3 (intron_variant)	46
SNRPN (intron_variant)	46
SRPK2 (intron_variant)	46
MIR1199 (upstream_gene_variant)	46
SYNRG (downstream_gene_variant)	46
ZNF83 (downstream_gene_variant)	46
RESF1 (downstream_gene_variant)	46
AL390957.1 (intron_variant)	46
ARHGEF18 (intron_variant)	46
OXNAD1 (intron_variant)	46
AC124312.1 (intron_variant)	46
SPATA13 (intron_variant)	46
PRKCH (downstream_gene_variant)	46
MAVS (3_prime_UTR_variant)	46
MRI1 (3_prime_UTR_variant)	45
PIK3CD (intron_variant)	45
ASB3 (intron_variant)	45
PTPRC (intron_variant)	45
PTK2B (intron_variant)	45
STAU1 (intron_variant)	45
AL671277.2 (upstream_gene_variant)	45
HLA-DRB6 (non_coding_transcript_exon_variant)	45
LRRC28 (downstream_gene_variant)	45
FMN2 (intron_variant)	45
AL359918.2 (non_coding_transcript_exon_variant)	45
MTND6P4 (downstream_gene_variant)	45
AC015911.11 (intron_variant)	45
LINC00649 (intron_variant)	45
NLRC5 (downstream_gene_variant)	45
UBE2I (downstream_gene_variant)	45
GCFC2 (downstream_gene_variant)	45
AC087721.2 (intron_variant)	45
FAAH2 (intron_variant)	45
CDC14A (intron_variant)	45
TMEM87A (intron_variant)	45
OTUD4P1 (non_coding_transcript_exon_variant)	44
ROBO2 (intron_variant)	44
CMAHP (upstream_gene_variant)	44
ANKDD1A (downstream_gene_variant)	44
LINC00910 (intron_variant)	44
ZNF573 (intron_variant)	44
AC058822.1 (intron_variant)	44
PARP4 (intron_variant)	44
SNX19 (intron_variant)	44
ZNF292 (intron_variant)	44
POLRMTP1 (non_coding_transcript_exon_variant)	44
RNU1-61P (upstream_gene_variant)	44
AP000311.1 (intron_variant)	44
PRKCQ (intron_variant)	44
CTSC (intron_variant)	44
LINC00426 (intron_variant)	44
GALM (intron_variant)	44
ETS1 (intron_variant)	44
LIMS1 (intron_variant)	44
HLA-DQB1 (3_prime_UTR_variant)	44
SIK3 (intron_variant)	44
SRP54-AS1 (intron_variant)	44
AP005263.1 (intron_variant)	44
CROCCP2 (intron_variant)	44
SNHG14 (intron_variant)	44
AC087633.2 (non_coding_transcript_exon_variant)	43
ARPC2 (downstream_gene_variant)	43
AC009487.2 (non_coding_transcript_exon_variant)	43
TC2N (intron_variant)	43
MICU2 (intron_variant)	43
IRF1 (downstream_gene_variant)	43
MCPH1 (intron_variant)	43
CRBN (intron_variant)	43
HLA-H (non_coding_transcript_exon_variant)	43
SPTAN1 (upstream_gene_variant)	43
H2AZ2 (downstream_gene_variant)	43
AL596087.2 (intron_variant)	43
ATXN1 (intron_variant)	43
RSF1 (intron_variant)	43
AC087633.2 (intron_variant)	43
ITK (downstream_gene_variant)	43
EPC1 (intron_variant)	43
DHRSX (intron_variant)	43
KDM4C (intron_variant)	43
DUSP16 (intron_variant)	43
NLRC5 (upstream_gene_variant)	43
KANSL1 (intron_variant)	43
OGA (intron_variant)	43
SMCHD1 (downstream_gene_variant)	43
RPL3P2 (non_coding_transcript_exon_variant)	43
TSTD3 (intron_variant)	43
PACS1 (intron_variant)	43
WIPF1 (downstream_gene_variant)	43
DPYD (intron_variant)	43
MBNL1 (intron_variant)	43
CDC42 (intron_variant)	42
CCDC66 (intron_variant)	42
AC025171.1 (intron_variant)	42
HLA-DQB1-AS1 (downstream_gene_variant)	42
NDFIP1 (intron_variant)	42
CTSS (intron_variant)	42
SCML4 (intron_variant)	42
LINC00667 (downstream_gene_variant)	42
CTSS (3_prime_UTR_variant)	42
ZNF573 (downstream_gene_variant)	42
CTSS (downstream_gene_variant)	42
RESF1-AC016957.2 (intergenic_region)	42
SDHAP1 (downstream_gene_variant)	42
MYO1F (downstream_gene_variant)	42
LINC00426 (downstream_gene_variant)	42
ZNF587 (downstream_gene_variant)	42
HCG27 (upstream_gene_variant)	42
KHNYN (downstream_gene_variant)	42
AC005258.1 (intron_variant)	42
CASK (intron_variant)	42
HLA-C (3_prime_UTR_variant)	42
ANKDD1A (intron_variant)	42
AAK1 (intron_variant)	42
NOB1 (upstream_gene_variant)	42
CD44 (intron_variant)	42
TCP11L1 (intron_variant)	42
AL645933.5 (intron_variant)	42
HLA-A (intron_variant)	42
PGPEP1 (intron_variant)	42
ZNF101 (downstream_gene_variant)	41
HNRNPKP1 (non_coding_transcript_exon_variant)	41
NDE1 (intron_variant)	41
CYREN (intron_variant)	41
ABI1 (intron_variant)	41
SPG7 (intron_variant)	41
HERC1 (intron_variant)	41
MSNP1 (non_coding_transcript_exon_variant)	41
ZNF101 (3_prime_UTR_variant)	41
FDFT1 (intron_variant)	41
UBE3C (intron_variant)	41
GNL3L (3_prime_UTR_variant)	41
PIP4K2A (intron_variant)	41
HCP5 (downstream_gene_variant)	41
DNM1L (downstream_gene_variant)	41
NAP1L4 (intron_variant)	41
AC103691.1 (upstream_gene_variant)	41
LINC00667 (intron_variant)	41
HSP90B2P (non_coding_transcript_exon_variant)	41
METTL22 (intron_variant)	40
HLA-A (non_coding_transcript_exon_variant)	40
MRPL19 (intron_variant)	40
SLC35E2A (3_prime_UTR_variant)	40
STK10 (upstream_gene_variant)	40
HCG18 (intron_variant)	40
HSP90AB3P (non_coding_transcript_exon_variant)	40
ADK (intron_variant)	40
TCF12 (intron_variant)	40
PCDH11X (intron_variant)	40
ZKSCAN7 (intron_variant)	40
STAG1 (intron_variant)	40
ELP2 (intron_variant)	40
AC008695.1 (intron_variant)	40
SPG7 (upstream_gene_variant)	40
HSP90AA2P (non_coding_transcript_exon_variant)	40
UXS1 (intron_variant)	40
CARD8 (downstream_gene_variant)	40
AC008764.1 (intron_variant)	40
ZNF485 (upstream_gene_variant)	40
HLA-A (downstream_gene_variant)	40
PGPEP1 (3_prime_UTR_variant)	40
RIC8A (upstream_gene_variant)	40
AC007283.2 (upstream_gene_variant)	40
OIP5-AS1 (intron_variant)	40
ISG20 (upstream_gene_variant)	40
PGPEP1 (downstream_gene_variant)	39
ZNF101 (intron_variant)	39
LINC00513 (intron_variant)	39
LINC01934 (intron_variant)	39
RNF34 (intron_variant)	39
CTNS (downstream_gene_variant)	39
SKAP1 (intron_variant)	39
GGT1 (intron_variant)	39
PTK2B (downstream_gene_variant)	39
ABHD15-AS1 (intron_variant)	39
RCAN3AS (upstream_gene_variant)	39
SF3A3P2 (non_coding_transcript_exon_variant)	39
ITSN2 (intron_variant)	39
HLA-J (non_coding_transcript_exon_variant)	39
LINC01138 (intron_variant)	39
CBLB (intron_variant)	39
NOP14-AS1 (intron_variant)	39
LINC00649 (upstream_gene_variant)	39
SLCO3A1 (intron_variant)	39
BIN2 (intron_variant)	39
MAX (intron_variant)	39
AC087633.2 (upstream_gene_variant)	39
SNX5 (upstream_gene_variant)	39
PCAT1 (intron_variant)	39
AC119396.1 (intron_variant)	39
APOL6 (3_prime_UTR_variant)	39
UBE2I (upstream_gene_variant)	39
RNF125 (3_prime_UTR_variant)	39
SNX19 (upstream_gene_variant)	39
TG (intron_variant)	39
SLFN5 (intron_variant)	38
IL7R (downstream_gene_variant)	38
C11orf65 (intron_variant)	38
AL133268.4 (intron_variant)	38
ITGAL (intron_variant)	38
KMT2C (intron_variant)	38
LRCH3 (downstream_gene_variant)	38
AC091810.1 (downstream_gene_variant)	38
AL596087.1 (non_coding_transcript_exon_variant)	38
PNKD (intron_variant)	38
NBL1 (intron_variant)	38
TESPA1 (downstream_gene_variant)	38
SP100 (upstream_gene_variant)	38
THUMPD3-AS1 (intron_variant)	38
MICOS10-NBL1 (intron_variant)	38
POC1B (intron_variant)	38
RPL3P7 (non_coding_transcript_exon_variant)	38
AL138930.1 (intron_variant)	38
RN7SL732P (upstream_gene_variant)	38
TRIP11 (intron_variant)	38
DLEU1 (intron_variant)	38
AL512844.2 (upstream_gene_variant)	38
CROCCP2 (non_coding_transcript_exon_variant)	38
RNF216P1 (intron_variant)	38
AC011447.3 (intron_variant)	38
SFXN1 (downstream_gene_variant)	38
HLA-J (intron_variant)	38
HCG18 (upstream_gene_variant)	38
ZNF28 (intron_variant)	38
FOXP1 (downstream_gene_variant)	38
STK17B (downstream_gene_variant)	38
NFATC3 (intron_variant)	38
SYNRG (intron_variant)	38
AC008686.1 (intron_variant)	38
CNOT1 (downstream_gene_variant)	38
RRP36 (upstream_gene_variant)	38
CLN5 (upstream_gene_variant)	38
AL512844.1 (non_coding_transcript_exon_variant)	38
FARS2 (intron_variant)	38
ITPR1 (intron_variant)	38
SP140 (intron_variant)	38
HDLBP (upstream_gene_variant)	38
NAGLU (upstream_gene_variant)	37
MRPL19 (downstream_gene_variant)	37
AL662844.3 (downstream_gene_variant)	37
CYFIP2 (upstream_gene_variant)	37
ANKLE2 (downstream_gene_variant)	37
H6PD (3_prime_UTR_variant)	37
RAPGEF1 (intron_variant)	37
SPTAN1 (intron_variant)	37
DOCK8 (downstream_gene_variant)	37
ARNTL (intron_variant)	37
CAST (downstream_gene_variant)	37
TSG101 (intron_variant)	37
AC110275.1 (intron_variant)	37
KLC1 (upstream_gene_variant)	37
ABLIM1 (intron_variant)	37
GRB2 (intron_variant)	37
CARD8 (non_coding_transcript_exon_variant)	37
ELP2 (upstream_gene_variant)	37
AC007161.3 (intron_variant)	37
ERCC6L2 (intron_variant)	37
AC016074.2 (intron_variant)	37
NIBAN1 (intron_variant)	37
LZIC (intron_variant)	37
HLA-G (non_coding_transcript_exon_variant)	37
TAP1 (intron_variant)	37
OIP5-AS1 (downstream_gene_variant)	37
ITGAL (downstream_gene_variant)	37
TRAF3IP3 (intron_variant)	37
ABCA7 (upstream_gene_variant)	37
PTCD3 (downstream_gene_variant)	37
GLG1 (intron_variant)	36
AC034193.1 (intron_variant)	36
MCPH1-AS1 (intron_variant)	36
ANKRD10 (intron_variant)	36
RASGRP1 (intron_variant)	36
GPATCH2L (intron_variant)	36
LY9 (intron_variant)	36
HLA-F (downstream_gene_variant)	36
AEBP2 (intron_variant)	36
LINC00886 (intron_variant)	36
LHFPL3 (intron_variant)	36
CCDC66 (downstream_gene_variant)	36
MYO1F (intron_variant)	36
AC019205.1 (intron_variant)	36
IFI16 (intron_variant)	36
OVOL2 (intron_variant)	36
MBP (downstream_gene_variant)	36
TCP1 (upstream_gene_variant)	36
CHD2 (downstream_gene_variant)	36
HLA-DRB5 (missense_variant)	36
AC020915.5 (intron_variant)	36
AL671883.2 (non_coding_transcript_exon_variant)	36
DENND4A (intron_variant)	36
PDS5A (intron_variant)	36
NADSYN1 (downstream_gene_variant)	36
RNF111 (intron_variant)	36
AL354696.2 (intron_variant)	36
PPP1R16B (intron_variant)	36
ACOX1 (downstream_gene_variant)	36
LONP2 (intron_variant)	36
UNC13D (upstream_gene_variant)	36
PARP8 (intron_variant)	36
TRNT1 (intron_variant)	36
SNRPD3 (intron_variant)	36
OIP5-AS1 (non_coding_transcript_exon_variant)	36
AC073136.1 (non_coding_transcript_exon_variant)	36
AC068533.3 (intron_variant)	36
BCR (downstream_gene_variant)	35
EIF2B5 (downstream_gene_variant)	35
NCAPD2 (downstream_gene_variant)	35
CD46 (intron_variant)	35
TAF15 (intron_variant)	35
AC026877.1 (non_coding_transcript_exon_variant)	35
RAP1B (intron_variant)	35
FMNL1 (upstream_gene_variant)	35
KTN1 (intron_variant)	35
TAF8 (downstream_gene_variant)	35
TAF8 (intron_variant)	35
CNST (intron_variant)	35
KHDC1 (intron_variant)	35
LYST (intron_variant)	35
AC019205.1 (non_coding_transcript_exon_variant)	35
NUP88 (intron_variant)	35
STRADA (intron_variant)	35
LDLRAD4 (intron_variant)	35
ATP10A (intron_variant)	35
ELMO1 (intron_variant)	35
PRKCA (intron_variant)	35
AC004949.1 (non_coding_transcript_exon_variant)	35
FYN (upstream_gene_variant)	35
SMCHD1 (upstream_gene_variant)	35
CLEC2D (intron_variant)	35
AP4S1 (downstream_gene_variant)	35
THEM4 (downstream_gene_variant)	35
PIGQ (downstream_gene_variant)	35
TRAF1 (intron_variant)	35
CCDC84 (upstream_gene_variant)	35
FAM107B (intron_variant)	35
IQGAP2 (downstream_gene_variant)	35
ABLIM1 (downstream_gene_variant)	35
ZNF814 (upstream_gene_variant)	35
AC007283.1 (upstream_gene_variant)	35
CASP8 (intron_variant)	35
AC093423.2 (intron_variant)	35
SPN (upstream_gene_variant)	35
MCUB (intron_variant)	35
TGOLN2 (downstream_gene_variant)	35
CTR9 (downstream_gene_variant)	34
MIATNB (intron_variant)	34
METTL22 (upstream_gene_variant)	34
NT5C2 (intron_variant)	34
UMAD1 (intron_variant)	34
CCT8P1 (non_coding_transcript_exon_variant)	34
RPSAP41 (downstream_gene_variant)	34
EIF3EP1 (non_coding_transcript_exon_variant)	34
PSMA3-AS1 (intron_variant)	34
PLPP1 (intron_variant)	34
FGD3 (intron_variant)	34
STRADB (intron_variant)	34
RNF141 (downstream_gene_variant)	34
AC001226.2 (intron_variant)	34
CASTOR3 (intron_variant)	34
BNIP2 (downstream_gene_variant)	34
LZIC (3_prime_UTR_variant)	34
SFXN1 (intron_variant)	34
ISG20 (intron_variant)	34
AC002377.1 (intron_variant)	34
CCM2 (intron_variant)	34
LINC00894 (intron_variant)	34
XPOTP1 (non_coding_transcript_exon_variant)	34
XPO6 (intron_variant)	34
AC011468.2 (intron_variant)	34
BTBD11 (intron_variant)	34
LZIC (downstream_gene_variant)	34
SNRPD3 (3_prime_UTR_variant)	34
MICA (downstream_gene_variant)	34
LINC00200 (intron_variant)	34
AC008012.1 (intron_variant)	34
MFSD4B (intron_variant)	34
CCDC84 (intron_variant)	34
SLC35E4 (intron_variant)	34
AL121845.3 (intron_variant)	34
MYO9B (intron_variant)	34
SUN1 (downstream_gene_variant)	34
TPM3P9 (intron_variant)	34
P2RY8 (intron_variant)	34
DHRS4-AS1 (intron_variant)	34
MIR2052HG (intron_variant)	34
CGGBP1 (intron_variant)	34
TLN1 (upstream_gene_variant)	34
COTL1 (intron_variant)	34
SNX5 (intron_variant)	34
MPRIP (downstream_gene_variant)	34
USP3-AS1 (intron_variant)	34
AP4S1 (3_prime_UTR_variant)	34
MAP4K1 (downstream_gene_variant)	34
FUT11 (downstream_gene_variant)	34
TRAJ33 (upstream_gene_variant)	34
AC010197.2 (intron_variant)	34
LMF1 (intron_variant)	33
AC004922.1 (intron_variant)	33
DGCR2 (intron_variant)	33
SEPTIN9 (upstream_gene_variant)	33
LINC00910 (upstream_gene_variant)	33
SQSTM1 (downstream_gene_variant)	33
SLC9A9 (intron_variant)	33
EXOC5P1 (non_coding_transcript_exon_variant)	33
AC067852.1 (upstream_gene_variant)	33
OXR1 (intron_variant)	33
HCP5 (non_coding_transcript_exon_variant)	33
CAP1P2 (non_coding_transcript_exon_variant)	33
AC126544.2 (downstream_gene_variant)	33
PAFAH1B1 (intron_variant)	33
JRK (downstream_gene_variant)	33
ST3GAL1 (intron_variant)	33
METTL16 (intron_variant)	33
AL358177.1-C1orf100 (intergenic_region)	33
DNAH1 (intron_variant)	33
HNRNPKP2 (non_coding_transcript_exon_variant)	33
CLCN3P1 (downstream_gene_variant)	33
MTND1P23 (downstream_gene_variant)	33
RCSD1 (intron_variant)	33
DNASE1 (intron_variant)	33
KMT5A (downstream_gene_variant)	33
AP000357.2 (downstream_gene_variant)	33
RBL2 (downstream_gene_variant)	33
HSPA8P1 (non_coding_transcript_exon_variant)	33
PREX1 (intron_variant)	33
CD58 (intron_variant)	33
TRPC4AP (intron_variant)	33
FAM174B (intron_variant)	33
LDHB (intron_variant)	33
BET1L (intron_variant)	33
BRWD1 (intron_variant)	33
RCAN3 (3_prime_UTR_variant)	33
FDFT1 (upstream_gene_variant)	33
CCDC88C (intron_variant)	33
RCAN3 (downstream_gene_variant)	33
ESYT2 (intron_variant)	33
AC025283.2 (intron_variant)	33
GLG1 (downstream_gene_variant)	33
MTND4P12 (downstream_gene_variant)	33
TAF1D (intron_variant)	33
ZNF765 (downstream_gene_variant)	33
HSPA8P8 (non_coding_transcript_exon_variant)	33
SNX1 (intron_variant)	33
YARS2 (downstream_gene_variant)	33
IFNAR2 (intron_variant)	33
BX322650.1 (non_coding_transcript_exon_variant)	33
AC092821.4 (downstream_gene_variant)	33
EEF1DP1 (non_coding_transcript_exon_variant)	33
ITPKB (intron_variant)	33
TMEM165 (intron_variant)	33
FBXL3 (downstream_gene_variant)	33
INPP5B (downstream_gene_variant)	33
AC001226.2 (upstream_gene_variant)	33
HOOK3 (intron_variant)	33
ZC3HAV1 (intron_variant)	33
HLA-DQB1 (missense_variant)	32
FBF1 (upstream_gene_variant)	32
SQSTM1 (intron_variant)	32
AC063947.2 (non_coding_transcript_exon_variant)	32
AL355497.1 (intron_variant)	32
AL121845.3 (upstream_gene_variant)	32
ULBP1 (downstream_gene_variant)	32
SYNE1 (intron_variant)	32
ZNF131 (intron_variant)	32
MYH9 (intron_variant)	32
AC073610.2 (intron_variant)	32
ERN1 (intron_variant)	32
ZBTB25 (3_prime_UTR_variant)	32
TESPA1 (intron_variant)	32
LINC00426 (upstream_gene_variant)	32
ELF1 (intron_variant)	32
ATF7IP (intron_variant)	32
TRAJ34 (upstream_gene_variant)	32
TRAJ37 (downstream_gene_variant)	32
LITAF (intron_variant)	32
HSP90B1 (intron_variant)	32
TMOD3 (downstream_gene_variant)	32
AC016957.2 (upstream_gene_variant)	32
CD226 (downstream_gene_variant)	32
CARS2 (downstream_gene_variant)	32
MUC20-OT1 (non_coding_transcript_exon_variant)	32
GAPDHP1 (non_coding_transcript_exon_variant)	32
ECE1 (intron_variant)	32
IST1 (intron_variant)	32
AC025287.1 (intron_variant)	32
DDX6 (intron_variant)	32
SP110 (downstream_gene_variant)	32
AC010636.2 (intron_variant)	32
ANKRD10 (downstream_gene_variant)	32
EIF4A1P10 (non_coding_transcript_exon_variant)	32
WWOX (intron_variant)	32
LINC00861 (intron_variant)	32
NUP88 (downstream_gene_variant)	32
AL662844.4 (non_coding_transcript_exon_variant)	32
AL139300.1 (intron_variant)	32
GAPDHP65 (non_coding_transcript_exon_variant)	32
PTPRC (downstream_gene_variant)	32
VPS53 (intron_variant)	32
AL669831.3 (upstream_gene_variant)	32
RNF4 (intron_variant)	32
MTND2P28 (downstream_gene_variant)	32
