	CFS: CD4 (S2,S4,S6) - TA (S1,S3,S5) - Healthy: CD4 (S8) - TA (S7)
LBH	-42.342211000000006
CAP1	-41.63213300000001
MFNG	-41.247265
SERINC3	-41.113082000000006
NDUFA4	-40.642359000000006
RAB6A	-40.558766000000006
PCSK5	-40.489984099999994
ARPC1B	-40.203016000000076
ITGAL	-40.193609999999985
HP1BP3	-40.132608000000005
SEC11C	-39.86842600000003
SLC38A2	-39.65614400000001
UBE2B	-39.57149799999998
C19orf53	-39.564944999999994
CD99	-39.53853929999997
HSP90AA1	-39.401542000000006
XRCC5	-39.330225999999996
RNF166	-39.12662441969999
SLC25A6	-38.83971
LIMS1	-38.7888059000002
PUF60	-38.73272948455812
ARPC5	-38.54455000000007
MZT2B	-38.527449000000004
SOD2	-38.50555300000005
DOCK9	-38.28867673852762
NDRG1	-38.10642561499998
SNRPN	-37.810455999999995
LRCH4	-37.33267900000001
TCEA1	-37.10173040000001
SUMO1	-36.50701020000001
SEPTIN1	-36.469434999999976
CBFB	-36.351820000000004
OCIAD2	-36.327759999999955
ARL6IP1	-36.061229
CCND3	-36.022628900364765
CSDE1	-35.85428715294705
LCK	-35.79880592220002
OPTN	-35.61601600000003
CYFIP2	-35.54364920748003
CD247	-35.510536000000116
PLSCR3	-35.260574000000034
PPP4R3A	-35.14163699999999
CMPK1	-35.07449899999999
FAM107B	-35.0461909
CD3E	-35.021284
PSME1	-34.99593000246098
ARHGEF3	-34.718433999999995
CBLL1	-34.65064300000002
ARHGAP30	-34.0141613626071
PPP1CC	-33.96497500000001
TNFAIP8	-33.784569999999974
SYNE1	-33.70598827002512
PSMB8	-33.494934700000016
CCNI	-33.45668299999997
EIF4B	-33.399581999999995
SUMO2	-33.31299999999999
FAM104A	-33.278479000000004
EHD1	-33.2198351253102
POLR2J3	-33.173488190624795
CNIH1	-33.047898
M6PR	-32.763557100000014
P2RY10	-32.15116999999998
PDIA3	-31.968320000000006
TMC6	-31.912061999999864
CANX	-31.851558588969965
KHDRBS1	-31.739927999999995
PSMD8	-31.67817400000004
RETREG3	-31.40566580000001
FYTTD1	-31.33631100000001
GPSM3	-31.120258000000035
EEF1D	-31.066135783260506
SUB1	-30.738473
XRCC6	-30.725188000000003
TRAPPC6A	-30.583215999999993
TECPR1	-30.483045017161594
CNOT2	-30.22577009443755
MED16	-30.158402596863247
UBE2N	-29.96655400000003
PTBP1	-29.827390600242097
MTSS1	-29.767756899999995
SATB1	-29.716790800000012
UXS1	-29.679124799999983
SNRPD3	-29.482003000000002
SINHCAF	-29.406240500000003
FLNA	-29.382336199999997
ISG15	-29.281517717999108
FXYD5	-29.005976000000004
OAZ1	-28.777378000000454
CAPRIN1	-28.66928969600002
HCLS1	-28.449149000000006
CREB1	-28.434257000000024
NCOA4	-28.41440350000001
NACA	-28.26794257778994
TMED10	-28.201381999999988
PSMC6	-28.116881
APBA2	-28.08317081618003
NEK7	-27.932397000000005
HNRNPF	-27.862099999999828
TUBA4A	-27.716318999999984
RPA1	-27.68738744071001
EIF4A1	-27.680064641537342
CCT5	-27.63930099999996
IDH2	-27.591093000000008
GIT2	-27.58877199999999
MGAT1	-27.408657000000005
SPATA13	-27.39766750000001
SNRK	-27.225333999999997
RASA4	-26.998117080206896
CORO1B	-26.976930199999998
CSGALNACT1	-26.75352199999999
LRRC8D	-26.73062800000001
SLU7	-26.686409000000026
SEPTIN2	-26.603521190968422
MEA1	-26.429959399999987
TRIM14	-26.369169999999997
IL6ST	-26.324135472755998
ANKH	-26.29261176917
RNF114	-26.221947
PDCD6IP	-26.17844319999999
FXYD2	-26.0180249
SPN	-25.872712200000052
FBXL3	-25.775178000000007
IGFLR1	-25.653854999999993
PCMTD2	-25.529855386699957
MYADM	-25.340892378310002
HIF1A	-25.286851542440004
PPP6C	-25.28098
S100A4	-25.260779000000014
VPS4B	-25.195216007480767
MYC	-25.147720999999997
RNPEPL1	-25.13664300000005
SLC44A2	-25.10062609999997
MOB1A	-25.019272
MPI	-24.950630297781984
SAMHD1	-24.94523220156904
BLOC1S1	-24.894993000000014
COPA	-24.819699278616795
CDK9	-24.693030000000014
EWSR1	-24.563181999999983
CDK4	-24.505749071000004
STX8	-24.470217099999992
ANP32A	-24.451200400000005
LDHA	-24.288640000000157
SNAP23	-24.273619726595907
TMX4	-24.230985999999998
MACROH2A1	-24.181350524599935
JAK3	-24.164429859785983
TBC1D4	-24.16155
TRIM27	-24.15388690486308
SMARCA2	-24.013606230626053
ST6GAL1	-23.804364599999985
SF3B1	-23.789779555299987
RHOH	-23.713443596736113
ESYT2	-23.685753000000002
DCAF13	-23.547221387600008
SNU13	-23.43903951670194
RDH11	-23.349125791680024
WDR46	-23.33588948498209
TRIM28	-23.291175996449116
HMOX2	-23.273396191751942
SCAF11	-23.196509000000006
MGAT4A	-23.152044993600825
TOB1	-23.03447
MOB3A	-22.894184000000006
TOR1AIP1	-22.781363999999982
CFAP298	-22.776084
EID1	-22.715199999999996
DIAPH1	-22.69439799999998
PLCG1	-22.512431999999983
TRIM22	-22.416631000000017
TBCB	-22.237531899999993
CHI3L2	-22.227904699999996
SACM1L	-22.12302599999999
FGD3	-22.08441732000003
AKT1	-22.039854027396196
CNOT1	-22.000226500000025
ISG20	-21.98516649999999
CAPNS1	-21.898935219869344
SMIM10L1	-21.858300000000003
AKTIP	-21.801602000000017
PARP1	-21.6899905
YPEL3	-21.619291999999973
GPR171	-21.540900000000022
VCP	-21.536760000000015
PAG1	-21.479260000000018
CSNK1A1	-21.386218102728
RNF126	-21.257437000000003
RSU1	-21.1518034
UBL4A	-21.114060532367468
ATP6V0E2	-21.072448
SRP72	-21.02366828091
PPP2R1A	-21.01581300000001
GPN1	-21.000532302463
FYN	-20.928314022599807
RNASEH2C	-20.80913711066001
NAAA	-20.77231100000001
LCP2	-20.677204000000017
POLR2L	-20.67563
ECH1	-20.613532952
NUDT21	-20.534060999999998
BIRC2	-20.522332550899993
IL6R	-20.40983699999999
MTPN	-20.367599999999992
UBE2H	-20.366258239000008
ZFAND6	-20.32653185000001
ATRAID	-20.206621017560977
EDEM1	-20.165931
GUCD1	-20.1650497944086
NFATC2	-20.142230999999995
CAPZA1	-20.127775160000027
PSMD13	-20.126499600000017
GRB2	-20.10423902414731
IDS	-20.034335999999982
BNIP2	-19.961412110000012
YPEL5	-19.958135000000027
RNF38	-19.933445
MKRN1	-19.905164142809994
MEAF6	-19.85291519999999
MON1B	-19.826271000000006
NFKBIA	-19.729232999999994
TMEM45B	-19.652480000000004
CAPZB	-19.61034999999999
HMGN3	-19.578720000000004
FTO	-19.541394197999992
TNFRSF1B	-19.4939775089
S100A6	-19.490049999999997
NAPRT	-19.46502396691804
RAB18	-19.407729999999987
TMEM156	-19.401075000000002
ARHGAP25	-19.386038764220018
G3BP1	-19.364233000000002
TM9SF3	-19.28616999999999
SS18	-19.27298569999999
GNG5	-19.258946000000005
TBCA	-19.222595645890003
NLRC3	-19.080593
NDUFA9	-19.031890000000004
EMP3	-18.95440999999994
FERMT3	-18.89556899999998
ARRDC3	-18.888772999999997
TPP2	-18.858571100000013
PDE4D	-18.84235820000001
PDE3B	-18.820626
METTL26	-18.816466999999996
NARS1	-18.797483200000002
TRAPPC5	-18.641621999999998
PIM2	-18.600299999999947
ARID5A	-18.570560000000008
RAP1A	-18.558980000000005
CERK	-18.539977000000004
FKBP8	-18.387919999999994
ARHGAP4	-18.36685161249359
OSTM1	-18.334559
ADCY7	-18.300694000000007
CNST	-18.290460841699996
PSMF1	-18.26397549999993
ANXA11	-18.22522323329201
PPP1CA	-18.165738900000036
ACAP2	-18.132447799999987
RBIS	-18.131325000000018
TMED4	-18.089706
UBE2G2	-17.981870000000004
SNF8	-17.96049099999999
EBP	-17.861232899999983
FAM117A	-17.843918000000002
DEK	-17.79039462909998
ABCE1	-17.787665000000004
PSMA4	-17.68574998750998
NUP50	-17.6781296
LAMTOR4	-17.642774485298503
MORF4L1	-17.608805669789973
FUS	-17.60598759999999
FLII	-17.587982188641206
NOP53	-17.58136580000002
NUP62	-17.57682661789198
DPF2	-17.566392998268043
ATP6V1D	-17.525353799999998
TBC1D15	-17.501239599999998
AQP3	-17.48094099999999
RAD21	-17.453086
HSPA9	-17.41499
ZBED1	-17.306025000000012
TECR	-17.28486199999999
ERAP1	-17.282578999999995
LEMD3	-17.274147999999997
STAT5B	-17.260611100000002
NOSIP	-17.23500499999996
ENSA	-17.190044557463033
UBXN4	-17.119171900000012
TMEM219	-17.077286000000008
ZNF414	-17.069391700000004
RBM34	-17.024284999999992
ARRDC2	-16.922615999999977
SFI1	-16.81658455341999
RAB5B	-16.79261300000004
PIK3CD	-16.782451000000002
MAD1L1	-16.776666890981375
USP3	-16.759110699999994
PRPF8	-16.711254200000006
TMIGD2	-16.62312999999999
MTCH2	-16.586692
DRAP1	-16.568838000000014
POLR1D	-16.5630515
ELOF1	-16.542747000000006
TMEM199	-16.51515
RBBP4	-16.479187000000053
RBBP7	-16.478346000000016
PXN	-16.452507497761488
DNTTIP2	-16.4319
TMEM167B	-16.413001
MPP7	-16.406904964899283
MOGS	-16.389258689553422
SRSF5	-16.34668425784224
PLIN3	-16.322657121099002
NOP2	-16.28268338516661
PTPN7	-16.261842
IFITM1	-16.226558765999997
XPC	-16.2199555659
USP10	-16.156503899999983
GTF2I	-16.140291000000005
PSMB3	-16.134987999999993
CRIP1	-16.106869000000017
UGP2	-16.092068470131604
SUGP1	-16.083166300000006
PWP1	-16.00617100000001
CREM	-16.00449185000005
PIK3IP1	-16.00352
TCF25	-15.929652999999995
TOR3A	-15.922405000000001
SLC2A3	-15.910510845917997
JPT1	-15.859647499999987
LRPAP1	-15.813332000000003
INTS8	-15.80010956530002
NUDT16L1	-15.780152000000001
MAEA	-15.7529836
NUMB	-15.744428726039999
AP1M1	-15.699736999999999
PDLIM2	-15.682131949999999
STK26	-15.622981
RNF149	-15.577515000000005
CIAO2A	-15.544772000000005
XPOT	-15.481373000000001
BTG2	-15.475399999999999
ATP6V0C	-15.473672999999994
CTNNB1	-15.415111222816556
MTIF3	-15.401754000000018
NAA38	-15.392931999999988
ARPP19	-15.37116345399999
SNRPB2	-15.367100000000022
LMBR1	-15.325640757673995
DUSP16	-15.305301999999994
RUNX1	-15.3027749
POLR1B	-15.292841237401
ZNF394	-15.231038999999999
PUM1	-15.212769999999978
PCNP	-15.19126
GTF2A2	-15.179440000000042
PLPBP	-15.157301980152198
H3-3A	-15.155179999999996
STARD7	-15.136751000000004
ASB8	-15.133188629500019
SPSB3	-15.115735000000008
PNPO	-15.092043467671997
ZNF362	-15.041520000000002
RAN	-15.034143000000029
YME1L1	-15.023161258956996
TPGS2	-14.95919000000002
UBA2	-14.887349999999984
TGOLN2	-14.883057999999991
CNOT7	-14.865437000000014
BIN1	-14.855177000000012
TMEM263	-14.807536000000002
TSPAN14	-14.753617000000048
CRLF3	-14.753531000000002
HDAC2	-14.735533199999992
HAGH	-14.725192999999997
DYRK2	-14.646444999999993
GMCL1	-14.602580153099998
APEX1	-14.590939860000006
NDFIP1	-14.585978999999998
BET1L	-14.581328000000042
BCKDK	-14.568041000000003
DOCK8	-14.519294612500005
YEATS4	-14.503312974852598
RAB43	-14.483082720999999
PAK2	-14.437742
RAB5C	-14.436806999999991
PSMD9	-14.431010953461893
HPS1	-14.430664000000007
POLR3F	-14.40099
CCM2	-14.398188000000005
MEF2D	-14.3877871
BCR	-14.344435299999997
NAP1L1	-14.32999319999999
TXN2	-14.326729999999998
RASSF5	-14.30339600000002
SRGN	-14.240700000000004
PSMC3	-14.230727999999957
DENND4B	-14.173466999999999
ECI1	-14.148277000000007
GNPDA1	-14.139437699999995
KPNA1	-14.105724999999993
UBB	-14.094870999999898
CS	-14.024718899999996
PHPT1	-14.007439119999997
TMEM106B	-13.944516499999999
GMIP	-13.943608000000008
TARS1	-13.933323167319223
SMARCC1	-13.921346300000003
PNRC2	-13.915193
UBE2G1	-13.890909
C1orf43	-13.887915360082005
CELF2	-13.872468795501987
C16orf74	-13.8454
NEDD9	-13.836263558587994
TRIP12	-13.821098800000023
CCNC	-13.803197999999973
RAB8B	-13.791962999999999
CPNE7	-13.786058012653303
TMC8	-13.777740423599994
ATG9A	-13.771208200000011
RNF138	-13.726218000000003
DENND1C	-13.673389000000002
NUCB2	-13.665926999999982
PHC3	-13.626443999999978
MAP4	-13.610604700000007
DNAJC17	-13.590412
BSCL2	-13.588690467191832
CCR6	-13.534500092400002
VASP	-13.517744000000004
ULK3	-13.514520340000011
SSR1	-13.470964999999978
KDM5A	-13.438317999999981
BTN3A3	-13.425131061480009
SLC30A5	-13.405383098813342
ZSCAN25	-13.4024571
TKFC	-13.400593000000008
TMEM258	-13.357849899999998
GTF2H1	-13.338991000000004
PPT1	-13.320708999999994
TRA2A	-13.318033
ZNF430	-13.308467454133996
SZRD1	-13.291309000000005
ADIPOR1	-13.27764
FAM98A	-13.2664908
APRT	-13.26524099999996
GANAB	-13.263263996944524
CTDSP2	-13.255426999999997
ARHGAP9	-13.249652000000054
STIP1	-13.246238083100407
PSMD7	-13.227449999999997
PSMD5	-13.217837000000001
OSGEP	-13.18535
ASF1A	-13.158491
ZC3HAV1	-13.154928999999996
SNRPB	-13.135610000000003
C1D	-13.126617
GPN3	-13.115688
ICAM2	-13.106480999999945
SLFN5	-13.103459999999998
GAK	-13.100194899999991
ZER1	-13.068071000000002
FRMD8	-13.063747005302037
DCTN2	-13.058141975500007
CAND1	-13.045060000000007
CHMP3	-12.989027999999983
TREX1	-12.958383999999995
CYLD	-12.953945772941779
ABI2	-12.937750199701593
CCDC107	-12.928778000000015
POLR2M	-12.914350800000003
SH3GLB1	-12.898194000000025
HDAC1	-12.884229000000005
PAFAH2	-12.883288000000002
RAB8A	-12.861879000000009
ARCN1	-12.829010000000004
ANXA2	-12.821430746000033
STK10	-12.813438000000005
ZFP1	-12.784752359999988
ZNF655	-12.774004329999997
SLC35C2	-12.772404099999992
KIAA2013	-12.761860000000006
MSL2	-12.754748999999997
APEH	-12.7445578591513
PANK4	-12.726065399999989
HEBP2	-12.715042000000004
RPN2	-12.689967
F11R	-12.682171
KTN1	-12.66545620009817
TMEM254	-12.6070029766387
ARMC1	-12.581535578730003
ADI1	-12.5716144364
CCDC47	-12.5679656
STT3B	-12.567612999999994
POLR2E	-12.515843001535004
DCTN1	-12.498426841749989
ZNF146	-12.488112999999998
RCSD1	-12.472938999999997
TOLLIP	-12.454992300000011
RHOF	-12.426269999999999
EIF4H	-12.403441999999984
HPCAL1	-12.385912571080006
MOB4	-12.383526999999997
SYNGR2	-12.365947999999946
RAC2	-12.347845000000007
MAPK1	-12.324582000000007
IFITM2	-12.323197
FAM133B	-12.268956000000003
LIPA	-12.263101765054003
STAT1	-12.260903100000002
TSTD1	-12.23357200000001
ERICH1	-12.225439399999999
RFXANK	-12.217672799999995
DDT	-12.173920299999999
SLC2A1	-12.159427999999984
TBL1XR1	-12.157830999999995
KIAA1191	-12.157271829000003
NSG1	-12.139468999999991
FBH1	-12.121760299999998
TMEM134	-12.109716999999975
USP15	-12.094129118999987
COPZ1	-12.088952000000003
SRSF4	-12.078593999999999
PLEKHB1	-12.069257574449793
POLR2I	-12.059131999999977
EVI2A	-12.050800000000002
WASHC2C	-12.035495363399995
SSB	-12.027383999999998
DKC1	-11.996103
KCTD10	-11.979839400000001
AMD1	-11.955952000409749
DPAGT1	-11.928815000000009
PLEKHM1	-11.926033916904421
ZNF292	-11.893128000000011
KDELR2	-11.848825699999994
POLR2B	-11.819655000000001
PCYOX1	-11.785352999999999
CSNK2A1	-11.767538492476241
CHORDC1	-11.755509437459999
RIF1	-11.73978082
MIER3	-11.723025
FBXO3	-11.710142864400005
RACGAP1	-11.707610999999998
MAZ	-11.663449241979002
GTPBP6	-11.65184
AAMP	-11.6423792
RNF216	-11.636761999999994
ZNF506	-11.635542000000026
OXLD1	-11.62789399999999
GTF3C2	-11.57663369999998
HDAC4	-11.572038
EIF3C	-11.570129908890507
NFYC	-11.560295236399966
ATF1	-11.553136000000002
TENT2	-11.54874670000001
LAIR1	-11.538411424199914
FCGRT	-11.524689895247402
ADH5	-11.501608000000019
LANCL1	-11.486490716599999
PYM1	-11.481910000000006
MAL	-11.45784
RNF4	-11.457586078029994
RNASET2	-11.431977000000103
BTBD11	-11.426588499999998
GGNBP2	-11.425976999999968
WIPI2	-11.415163300000017
HOXB2	-11.392338000000002
GUK1	-11.390413986329946
NIF3L1	-11.368196000000001
A1BG	-11.356061
CHST12	-11.327408
ATF2	-11.317302554519248
RAB2A	-11.313604999999981
MFF	-11.31293212742996
PPA2	-11.306721199999998
CDCA7L	-11.261447715630002
DENR	-11.25625
ORAI1	-11.237011999999964
PSMA3	-11.217555999999998
LZTS2	-11.19618725343
ATG13	-11.19442660177998
CYREN	-11.189598000000025
HERPUD1	-11.187893441558828
ARHGDIB	-11.186203000000006
SSBP4	-11.163822999999994
ZDHHC4	-11.151442999999997
ANKRD13A	-11.148472000000002
SON	-11.12688929999996
SLC25A39	-11.105283971476382
THAP1	-11.095232999999997
GLTP	-11.069439
NPEPPS	-11.054408098784972
ZNF518B	-11.03525200027924
SLC35E2B	-11.03253699999999
ESYT1	-11.031179999999964
LAMP2	-11.029920000000011
AP2M1	-11.027198988418093
ZNF451	-10.948710334121003
RAVER1	-10.925936346728001
PRUNE1	-10.925040770334991
ALDH18A1	-10.909089000000003
SNRNP200	-10.908625000000002
SRPRB	-10.872314849999999
GLE1	-10.869774000000001
SIRT7	-10.8599742
ZBTB1	-10.852651699999996
DCAKD	-10.846644000000001
PCID2	-10.837428106057196
AMFR	-10.828845700000004
NUDT9	-10.817751000000003
WDFY1	-10.799771999999999
GTF2F1	-10.7986319597424
SIK3	-10.774327400000004
LASP1	-10.769382962513404
FAM234A	-10.765832200000006
RRM1	-10.760685000000008
SRRM2	-10.748769799999977
IPCEF1	-10.734769
PNN	-10.723052
VAMP8	-10.68494
RABEP1	-10.683492000000001
MKRN2	-10.663790000000002
AMPD2	-10.663220999999993
NME3	-10.642651396420007
PRMT1	-10.640107200000045
RPS6KB1	-10.60662803500001
FIP1L1	-10.590672999999981
PPDPF	-10.573631000000004
WDR3	-10.532220000000002
DEDD2	-10.524661999999992
MALSU1	-10.498230000000007
UBASH3A	-10.497983000000012
MDM2	-10.4916177
TKTL1	-10.47279
SYS1	-10.470736000000002
KHNYN	-10.469473000000004
HCST	-10.433999999999997
TMOD3	-10.404868896699998
UBXN7	-10.395239999999994
PACSIN2	-10.369234500000001
TAF2	-10.321066499999999
PYCR2	-10.309567000000005
RPAIN	-10.303703998499085
CDS2	-10.300240000000002
ACSS1	-10.2939973
RAB10	-10.258247999999995
TIMM8B	-10.257799999999996
HDDC2	-10.254086300000004
MVB12A	-10.253259999999997
TFPT	-10.242297992261683
GTF3C6	-10.226750000000003
ACLY	-10.224869999999996
DCAF11	-10.206826603802483
PLD3	-10.20078284299997
TIMM17B	-10.187339999999978
CPSF7	-10.179595199999996
CEACAM21	-10.178753999999984
DDHD2	-10.168279228514695
EMC3	-10.162170000000017
ZNF585A	-10.122937999999998
PIK3R5	-10.113863453879768
ATXN7	-10.11178316966501
APP	-10.090706999999998
CPSF2	-10.075184
BECN1	-10.059827700000014
TMEM205	-10.042905000000005
SRPK1	-10.020557899999979
MAGED2	-10.013265177399987
EPHB6	-9.985725660323599
KEAP1	-9.96908299999999
ZNF207	-9.966824000000003
TRIM23	-9.9515867572
SNX6	-9.90375000000001
ZC3H11A	-9.896012463000005
CLN3	-9.896009799965114
PDXDC1	-9.887455600962696
CPSF6	-9.887304999999998
TMEM209	-9.886969290000007
CR1	-9.87108680516365
ADGRE5	-9.86139099999994
COPB2	-9.847278000000001
EIF4A3	-9.83738618
MDH1	-9.8331935
JADE2	-9.828662000000001
ABTB1	-9.81678899930349
C19orf25	-9.812930000000009
UBA5	-9.79105533800001
GSR	-9.785059716081735
SRSF2	-9.771589000000006
MAP7D1	-9.739742100000015
ANP32E	-9.730054
ZNF395	-9.707644000000005
IPO11	-9.702960999999998
TRAT1	-9.700977999999996
CEMIP2	-9.700461200000001
LYSMD3	-9.690522
MTHFR	-9.670649088940646
ARPC3	-9.661623000000002
RGS19	-9.659519999999993
FZR1	-9.640646634620001
ZBTB22	-9.6378555
RBM22	-9.625749081071904
NOL11	-9.615033999999994
GDI2	-9.609158
AP1G1	-9.605880309000002
AKIP1	-9.600732699411612
DLGAP4	-9.592348600000001
IRAG2	-9.576252417000013
PSMD10	-9.561205399999999
NR2C1	-9.559049338984813
LARP4B	-9.558792099999994
XRN1	-9.551267210700011
PRDX5	-9.55031
ECD	-9.54695551
SLC10A3	-9.544230000000006
ERO1A	-9.544115999999999
GPATCH2L	-9.541275849999998
RABGAP1L	-9.522310199999993
CDKN2D	-9.514399999999995
ZNF330	-9.5096499680085
ZNF688	-9.500214999999997
TMEM9	-9.498731100000008
FAM162A	-9.479630000000007
MTMR14	-9.479358700000002
RB1CC1	-9.477874600000003
PSMD2	-9.467880800000017
CLTC	-9.443544999999972
PHF5A	-9.437854999999999
EMC1	-9.394163398944954
HERC3	-9.382455079999993
SEL1L	-9.373407399999998
LATS1	-9.361016
TMBIM4	-9.357898999999975
NPAT	-9.348489917952497
VSIR	-9.336700000000008
HACL1	-9.327616000000003
TMEM14B	-9.310542600000005
TBL3	-9.31025667985
RASSF7	-9.307485065674996
CLASP2	-9.306181467210001
DTD2	-9.291474000000003
LRRC14	-9.28511
REPIN1	-9.280392700000007
TRIM65	-9.266179999999997
ZNF573	-9.251787724451695
FUT8	-9.248830650000006
UNC13D	-9.247378000000008
CBX4	-9.221667
MED28	-9.197294000000007
SLC9A3R1	-9.195057999999994
GALM	-9.189829000000003
NEK9	-9.176193000000001
TBP	-9.163778299999999
SDCBP	-9.15425473393448
GNG2	-9.147865999999993
BCL10	-9.135088
DERL1	-9.123764000000005
PSPC1	-9.113242
TMEM179B	-9.109569999999998
THEMIS2	-9.100396000000003
NUP54	-9.08548380605
NOLC1	-9.084329865300006
TNFRSF10B	-9.08344
SHKBP1	-9.058898000000003
ZNF429	-9.055829
PHB2	-9.054012999999998
EIF2B4	-9.052693000000001
MECP2	-9.03644000000001
WARS1	-9.026738323470838
CTC1	-9.024160700000003
HLA-DOA	-9.019117399999999
ITCH	-9.015218
DDOST	-8.989535000000004
ZFR	-8.987515999999992
SPTBN1	-8.9673611
ZFP36	-8.96515
NUP133	-8.936165016999999
ZNF350	-8.927662000000002
QARS1	-8.925353973055039
RAB7A	-8.924916
TDP1	-8.921224899999991
TUBB	-8.902007739999988
SHMT2	-8.882353870200014
STAG1	-8.871364948892003
TTC7A	-8.854137770420007
CUL5	-8.853653999999995
DUT	-8.835678999999985
IKBKB	-8.834168013444042
PAQR8	-8.832047999999999
SPTLC1	-8.8291793
BAZ2A	-8.825164699999998
TIMM13	-8.8153
SSBP1	-8.78487386412349
RBM38	-8.776950000000006
TNPO1	-8.770747999999998
MCCC2	-8.766965796020243
ARFRP1	-8.76476089999997
UBTF	-8.756557004566247
ICE2	-8.754994000000032
MTRF1L	-8.742126005836857
SASH3	-8.739800000000002
PRKD2	-8.738421971960896
EIF3G	-8.730810999999996
ENOX2	-8.713119983710502
EEF1G	-8.681449
MTRF1	-8.679577999999996
SPINT2	-8.673339985997202
PARP16	-8.671744
KDM5B	-8.651921719982298
LY6E	-8.643790999999993
RNF11	-8.618888999999998
WAC	-8.61708599999999
ID3	-8.615624000000011
ARIH1	-8.611049999999999
CPNE2	-8.605289752000001
DPP7	-8.586795000000002
ATG9B	-8.585668604999995
BUB3	-8.58420000000001
ABI1	-8.574439267200006
PDIA4	-8.565298000000002
PAIP1	-8.5627234175142
ITGA4	-8.559825000000004
RBM4	-8.543557694429964
ZNF268	-8.53175078
ABHD14B	-8.502750999999996
STARD5	-8.4934646
SHOC2	-8.484010800000002
TMEM30A	-8.481884870267999
CASP2	-8.479901
IK	-8.475162000000012
DUS1L	-8.453489899999994
SBF1	-8.452503
CISD3	-8.441812000000002
ATG3	-8.4406225
SLC25A32	-8.438776789
CSNK1G3	-8.435885999999996
VMP1	-8.427166999999997
TXNDC15	-8.425857903397787
PRMT5	-8.419776625668359
LDLRAD4	-8.413914700000003
MICU2	-8.4128654
NUDCD2	-8.41272
TAX1BP1	-8.406896300000014
STIM1	-8.396424999999994
