	Enrichment	P-Value	Q-Value
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_NUCLEATION	0.7652867551836764	0.1	1.0
GOCC_IPAF_INFLAMMASOME_COMPLEX	0.7646984731558247	0.1	1.0
HP_NEVUS_FLAMMEUS_OF_THE_FOREHEAD	0.761757327670946	0.1	1.0
HP_IMBALANCED_HEMOGLOBIN_SYNTHESIS	0.7613858055835673	0.1	1.0
GOMF_CCR1_CHEMOKINE_RECEPTOR_BINDING	0.7609982510426015	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS	0.7609470639670894	0.1	1.0
GOBP_EMBRYONIC_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY	0.7598708549134686	0.1	1.0
GOBP_POSITIVE_REGULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST	0.758201205516047	0.1	1.0
BIOCARTA_TCAPOPTOSIS_PATHWAY	0.7580989755285865	0.1	1.0
GOBP_OUTER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	0.7579874890696849	0.1	1.0
REACTOME_MYOCLONIC_EPILEPSY_OF_LAFORA	0.7571004061902207	0.1	1.0
REACTOME_INLA_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELLS	0.7540157313186647	0.1	1.0
HP_DEEP_SET_NAILS	0.7535755901549063	0.1	1.0
GOBP_SPINDLE_ELONGATION	0.7528164644592068	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_MAST_CELL_DEGRANULATION	0.7517475386093272	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	0.751277725718249	0.1	1.0
GOBP_REGULATION_OF_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	0.7498915454433076	0.1	1.0
HP_APLASIA_HYPOPLASIA_INVOLVING_THE_MUSCULATURE_OF_THE_UPPER_LIMBS	0.749831831023751	0.1	1.0
GOBP_REGULATION_OF_EOSINOPHIL_MIGRATION	0.7488221537240866	0.1	1.0
GOBP_MEIOTIC_MISMATCH_REPAIR	0.7470080437298918	0.1	1.0
GOBP_REGULATION_OF_T_HELPER_17_CELL_LINEAGE_COMMITMENT	0.7467512236740482	0.1	1.0
REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT	0.7447023208880479	0.1	1.0
WP_EFFECTS_OF_NITRIC_OXIDE	0.7439847785222654	0.1	1.0
LIANG_SILENCED_BY_METHYLATION_DN	0.7439226106893133	0.1	1.0
GOMF_PROTEIN_PHOSPHATASE_2B_BINDING	0.7437166142767844	0.1	1.0
HP_ABNORMAL_VESTIBULO_OCULAR_REFLEX	0.743634066177227	0.1	1.0
HP_NEONATAL_HYPERBILIRUBINEMIA	0.7434858447803459	0.1	1.0
WP_DUAL_HIJACK_MODEL_OF_VIF_IN_HIV_INFECTION	0.7428137766984582	0.1	1.0
GOBP_NEGATIVE_REGULATION_BY_HOST_OF_SYMBIONT_MOLECULAR_FUNCTION	0.742382457792416	0.1	1.0
HP_MACROCEPHALY_AT_BIRTH	0.74194987183754	0.1	1.0
HP_ABNORMALITY_OF_DERMAL_MELANOSOMES	0.7413561146239073	0.1	1.0
GOCC_HEMOGLOBIN_COMPLEX	0.7397887087006052	0.1	1.0
GOCC_HAPTOGLOBIN_HEMOGLOBIN_COMPLEX	0.7397389315031768	0.1	1.0
GOMF_HAPTOGLOBIN_BINDING	0.7396891610038548	0.1	1.0
HP_ABNORMAL_MITOCHONDRIAL_NUMBER	0.7396067341955715	0.1	1.0
GOMF_HEMOGLOBIN_ALPHA_BINDING	0.7395896400941958	0.1	1.0
IPA_STAT4_DN	0.7381964774198884	0.1	1.0
HP_OLIGURIA	0.7381913605168444	0.1	1.0
HP_NARROW_FORAMEN_OBTURATORIUM	0.7380423814329934	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	0.7374018903266079	0.1	1.0
GOBP_REGULATION_OF_NK_T_CELL_PROLIFERATION	0.7373831729204341	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY	0.7369714329742499	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_TAU_PROTEIN_KINASE_ACTIVITY	0.7351674963002413	0.1	1.0
HP_ABNORMAL_FACTOR_IX_ACTIVITY	0.7343728899646725	0.1	1.0
GOBP_REGULATION_OF_T_CELL_EXTRAVASATION	0.7337025058697425	0.1	1.0
GOMF_DEOXYCYTIDINE_DEAMINASE_ACTIVITY	0.7323163967520071	0.1	1.0
GOBP_REGULATION_OF_ANTIMICROBIAL_HUMORAL_RESPONSE	0.7318533467877703	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_SENSORY_PERCEPTION_OF_PAIN	0.7314813515137902	0.1	1.0
HP_FRONTAL_HIRSUTISM	0.7313386362018791	0.1	1.0
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	0.7306797240116694	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION_IN_OTHER_ORGANISM	0.730171543895043	0.1	1.0
REACTOME_PTK6_REGULATES_RTKS_AND_THEIR_EFFECTORS_AKT1_AND_DOK1	0.7300873053433954	0.1	1.0
HP_PERIANAL_ABSCESS	0.7291624621594971	0.1	1.0
IPA_YWHAE_DN	0.7291134131574911	0.1	1.0
GOMF_SMALL_PROTEIN_ACTIVATING_ENZYME_BINDING	0.7284224688867285	0.1	1.0
GOBP_REGULATION_OF_TRAIL_ACTIVATED_APOPTOTIC_SIGNALING_PATHWAY	0.7283244770296831	0.1	1.0
LUI_THYROID_CANCER_CLUSTER_4	0.7280460477771968	0.1	1.0
HP_SCLEROSING_CHOLANGITIS	0.7271571399769938	0.1	1.0
HP_MULTIPLE_EXOSTOSES	0.726693790176104	0.1	1.0
HP_SILVER_GRAY_HAIR	0.7264836478030667	0.1	1.0
GOMF_ANAPHASE_PROMOTING_COMPLEX_BINDING	0.7257177793543439	0.1	1.0
GOCC_U4_SNRNP	0.7255034068165114	0.1	1.0
GOBP_REGULATION_OF_MICROTUBULE_NUCLEATION	0.725449462644694	0.1	1.0
IPA_PLAGL1_UP	0.7250674124374776	0.1	1.0
GOBP_REGULATION_OF_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	0.7238097854727861	0.1	1.0
GOMF_CALMODULIN_DEPENDENT_PROTEIN_PHOSPHATASE_ACTIVITY	0.7237148089777815	0.1	1.0
HP_LOW_LEVELS_OF_VITAMIN_B1	0.7228902653297714	0.1	1.0
HP_PECTORAL_MUSCLE_HYPOPLASIA_APLASIA	0.7221175837480828	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY	0.721697995303584	0.1	1.0
BIOCARTA_CTL_PATHWAY	0.7208550869549648	0.1	1.0
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT	0.7208242663659774	0.1	1.0
HP_ANISOSPONDYLY	0.720366951277543	0.1	1.0
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_DN	0.7200172872132223	0.1	1.0
GOCC_ELONGIN_COMPLEX	0.7186196690433794	0.1	1.0
HP_PARIETAL_FORAMINA	0.7185951956258366	0.1	1.0
HP_REFRACTORY_ANEMIA	0.7179409394150092	0.1	1.0
HP_ABNORMAL_BOWEL_SOUNDS	0.7173685023859293	0.1	1.0
WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE	0.7166374076458205	0.1	1.0
SCC2 Hippo Pathway	0.7161367532252387	0.1	1.0
IPA_PRRX1_UP	0.7159480729130728	0.1	1.0
GOMF_MHC_CLASS_II_PROTEIN_BINDING	0.7155914277536769	0.1	1.0
HP_CHRONIC_LYMPHOCYTIC_MENINGITIS	0.7145242217990427	0.1	1.0
REACTOME_REGULATION_OF_PTEN_LOCALIZATION	0.7132578656991363	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_P38MAPK_CASCADE	0.7123182366165179	0.1	1.0
IPA_TBX2_UP	0.7117942547779968	0.1	1.0
GOBP_CLEAVAGE_FURROW_FORMATION	0.7116824226346432	0.1	1.0
GNF2_MKI67	0.7116452161482935	0.1	1.0
HP_PERIPHERAL_HYPERMYELINATION	0.7112396583035764	0.1	1.0
IPA_E2F2_UP	0.7112077335045129	0.1	1.0
GOMF_CALCIUM_CHANNEL_INHIBITOR_ACTIVITY	0.7101633598166625	0.1	1.0
HP_PROXIMAL_RADIO_ULNAR_SYNOSTOSIS	0.7096253447231385	0.1	1.0
GOMF_HEMOGLOBIN_BINDING	0.7094603687256341	0.1	1.0
GOBP_IMMUNE_COMPLEX_CLEARANCE	0.7079744812883021	0.1	1.0
REACTOME_SUMO_IS_PROTEOLYTICALLY_PROCESSED	0.7067449833045991	0.1	1.0
HP_ABSENT_LACRIMAL_PUNCTUM	0.7059806415314792	0.1	1.0
HAY_BONE_MARROW_CD34_POS_MEP	0.7058447853999471	0.1	1.0
GOBP_MEMBRANE_REPOLARIZATION_DURING_ATRIAL_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.7051128270956604	0.1	1.0
REACTOME_LINOLEIC_ACID_LA_METABOLISM	0.7049274882961857	0.1	1.0
HP_NEONATAL_ASPHYXIA	0.704822135554678	0.1	1.0
IPA_ATF6_DN	0.7045110366252152	0.1	1.0
GOMF_NITRIC_OXIDE_SYNTHASE_REGULATOR_ACTIVITY	0.7044729690809856	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	0.70427444860332	0.1	1.0
GOBP_PROTEIN_TRANSPORT_TO_VACUOLE_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.7031484556764473	0.1	1.0
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_MOLECULAR_FUNCTION	0.7030807028437123	0.1	1.0
GOCC_CYTOLYTIC_GRANULE	0.702835997052714	0.1	1.0
GOBP_DTMP_METABOLIC_PROCESS	0.7027917928019528	0.1	1.0
KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN	0.7027409352362187	0.1	1.0
GOBP_DNA_CYTOSINE_DEAMINATION	0.702027156199248	0.1	1.0
REACTOME_LRR_FLII_INTERACTING_PROTEIN_1_LRRFIP1_ACTIVATES_TYPE_I_IFN_PRODUCTION	0.7019146279328536	0.1	1.0
GOCC_UNCONVENTIONAL_MYOSIN_COMPLEX	0.7018980466837413	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_B_CELL_DIFFERENTIATION	0.701744982752215	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_GLOMERULAR_MESANGIAL_CELL_PROLIFERATION	0.7014873479646171	0.1	1.0
GOBP_MODULATION_OF_MOLECULAR_FUNCTION_IN_OTHER_ORGANISM	0.7012679075571787	0.1	1.0
GOMF_VOLTAGE_GATED_SODIUM_CHANNEL_ACTIVITY_INVOLVED_IN_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.7012174614918752	0.1	1.0
GOBP_REGULATION_OF_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_DEPOLARIZATION	0.700995560339017	0.1	1.0
GOBP_NK_T_CELL_PROLIFERATION	0.7009617904035795	0.1	1.0
GNF2_CDC20	0.7009362047620807	0.1	1.0
GOBP_PURINE_DEOXYRIBONUCLEOTIDE_CATABOLIC_PROCESS	0.6990550736732446	0.1	1.0
GOBP_RESPONSE_TO_IRON_II_ION	0.6985662432172784	0.1	1.0
GOCC_PHOTORECEPTOR_RIBBON_SYNAPSE	0.698304856719991	0.1	1.0
HP_CENTRAL_HETEROCHROMIA	0.6980817428836692	0.1	1.0
GOCC_COMMITMENT_COMPLEX	0.6972242126846694	0.1	1.0
HP_ABNORMAL_CARDIOMYOCYTE_MORPHOLOGY	0.6963000924401652	0.1	1.0
RICHERT_PBMC_HIV_LIPO_5_AGE_37_48YO_STIMULATED_VS_UNSTIMULATED_0W_14W_METALLOTHIONEIN_SUBSET_UP	0.6952400764990458	0.1	1.0
GOBP_REGULATION_OF_DEVELOPMENT_HETEROCHRONIC	0.6942740983474122	0.1	1.0
IPA_RAD21_UP	0.6941757618849969	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_NAD_P_H_OXIDASE_ACTIVITY	0.6934142863993245	0.1	1.0
GOBP_REGULATION_OF_GLYCOGEN_CATABOLIC_PROCESS	0.6931437915823191	0.1	1.0
HP_SPONDYLOLYSIS	0.6927164449149233	0.1	1.0
GOBP_MODULATION_BY_SYMBIONT_OF_HOST_APOPTOTIC_PROCESS	0.6910839828510397	0.1	1.0
GOMF_KAINATE_SELECTIVE_GLUTAMATE_RECEPTOR_ACTIVITY	0.6903398223325334	0.1	1.0
GOMF_LIPASE_BINDING	0.6899636755010792	0.1	1.0
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_MYELOID_CELLS	0.6890950363708538	0.1	1.0
BAFNA_MUC4_TARGETS_UP	0.689042846572887	0.1	1.0
REACTOME_ENOS_ACTIVATION	0.688970382449548	0.1	1.0
IPA_TFAM_UP	0.6885017510242912	0.1	1.0
REACTOME_SUMO_IS_TRANSFERRED_FROM_E1_TO_E2_UBE2I_UBC9	0.6881937709725975	0.1	1.0
REICHERT_MITOSIS_LIN9_TARGETS	0.6881374976756793	0.1	1.0
GOBP_PROLACTIN_SECRETION	0.6870385101488647	0.1	1.0
GOCC_BORC_COMPLEX	0.6848772027366498	0.1	1.0
GNF2_HMMR	0.6848596929142169	0.1	1.0
GOMF_C_X3_C_CHEMOKINE_BINDING	0.6844483993882512	0.1	1.0
GOBP_FLOOR_PLATE_DEVELOPMENT	0.684346885976887	0.1	1.0
GOCC_UBIQUITIN_CONJUGATING_ENZYME_COMPLEX	0.6842851720201838	0.1	1.0
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.6831942949408536	0.1	1.0
GOMF_ALPHA_N_ACETYLNEURAMINATE_ALPHA_2_8_SIALYLTRANSFERASE_ACTIVITY	0.6831026840351596	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE	0.6817450021478382	0.1	1.0
GOMF_D_GLUCOSE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.6817026731788434	0.1	1.0
MARSHALL_VIRAL_INFECTION_RESPONSE_UP	0.6816995388129121	0.1	1.0
GOBP_PURINE_NUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS	0.6809623885952517	0.1	1.0
GOCC_SIGNAL_PEPTIDASE_COMPLEX	0.6803798218683508	0.1	1.0
GOBP_GLYCOLYTIC_FERMENTATION	0.6803335058459139	0.1	1.0
CHIN_BREAST_CANCER_COPY_NUMBER_DN	0.6802962404097427	0.1	1.0
GNF2_CCNB2	0.6798256073400578	0.1	1.0
GOMF_CROSSOVER_JUNCTION_ENDODEOXYRIBONUCLEASE_ACTIVITY	0.6790683396829219	0.1	1.0
MODULE_4	0.6779053580677862	0.1	1.0
GOMF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_CYTOSOLIC_CALCIUM_LEVELS	0.6778090707326636	0.1	1.0
MIR487B_3P	0.6774907790046841	0.1	1.0
GOCC_TRANSLOCON_COMPLEX	0.677461629426959	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	0.6768682316540265	0.1	1.0
GOCC_NLRP3_INFLAMMASOME_COMPLEX	0.6761635782357295	0.1	1.0
HP_MACULOPAPULAR_EXANTHEMA	0.6761242817536226	0.1	1.0
GOMF_N_ACETYLGALACTOSAMINE_4_O_SULFOTRANSFERASE_ACTIVITY	0.6757653867551332	0.1	1.0
GOMF_PROTEIN_TAG	0.6756451219593482	0.1	1.0
BIOCARTA_ASBCELL_PATHWAY	0.6754972285342282	0.1	1.0
GOBP_DE_NOVO_CENTRIOLE_ASSEMBLY	0.6752102253615303	0.1	1.0
GOCC_DEUTEROSOME	0.6751648055965762	0.1	1.0
SA_FAS_SIGNALING	0.6748435727504217	0.1	1.0
GOMF_CCR5_CHEMOKINE_RECEPTOR_BINDING	0.6743596241963983	0.1	1.0
HP_HEINZ_BODIES	0.6739897930536203	0.1	1.0
GOBP_ZYMOGEN_INHIBITION	0.6727916627122336	0.1	1.0
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_OXIDATION_OF_A_PAIR_OF_DONORS_RESULTING_IN_THE_REDUCTION_OF_MOLECULAR_OXYGEN_TO_TWO_MOLECULES_OF_WATER	0.6727590045684213	0.1	1.0
GNF2_TTK	0.6724614022288405	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_SISTER_CHROMATID_COHESION	0.6723478513692192	0.1	1.0
IPA_IRF2_UP	0.672038692403636	0.1	1.0
IPA_GFI1B_DN	0.6719340141929679	0.1	1.0
REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A	0.6718839733678346	0.1	1.0
HP_NEOPLASM_OF_THE_THYMUS	0.670120456259322	0.1	1.0
GNF2_ESPL1	0.669703488430818	0.1	1.0
HP_SUPRANUCLEAR_OPHTHALMOPLEGIA	0.6696554203220443	0.1	1.0
GOBP_RESPONSE_TO_OLEIC_ACID	0.6689008247558336	0.1	1.0
REACTOME_PHOSPHORYLATION_OF_EMI1	0.6685459392208457	0.1	1.0
HP_SPOTTY_HYPERPIGMENTATION	0.6679735895885849	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS	0.6672957593769272	0.1	1.0
GOBP_REGULATION_OF_UBIQUITIN_SPECIFIC_PROTEASE_ACTIVITY	0.6669013989949062	0.1	1.0
ZIRN_TRETINOIN_RESPONSE_DN	0.6666880706085999	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_CALCIUM_ION_CONCENTRATION	0.6659976987477515	0.1	1.0
GOBP_REGULATION_OF_CD40_SIGNALING_PATHWAY	0.6657442286678262	0.1	1.0
GNF2_H2AFX	0.6656979147593004	0.1	1.0
GOCC_SPERMATOPROTEASOME_COMPLEX	0.6651866801211495	0.1	1.0
BIOCARTA_IL17_PATHWAY	0.665030127866537	0.1	1.0
GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION	0.6649241368055688	0.1	1.0
HP_LARGE_CAFE_AU_LAIT_MACULES_WITH_IRREGULAR_MARGINS	0.6644197749297381	0.1	1.0
PARK_APL_PATHOGENESIS_UP	0.6643255864409396	0.1	1.0
IPA_CTCF_UP	0.6640535502176012	0.1	1.0
GNF2_BUB1	0.6636996851499625	0.1	1.0
BIOCARTA_RECK_PATHWAY	0.6636020329935263	0.1	1.0
GOBP_CLATHRIN_COAT_DISASSEMBLY	0.6635548429358978	0.1	1.0
HP_APLASIA_HYPOPLASIA_OF_THE_GALLBLADDER	0.663547734953358	0.1	1.0
MIR4746_5P	0.6629880502376111	0.1	1.0
REACTOME_CALCINEURIN_ACTIVATES_NFAT	0.6621456049445928	0.1	1.0
GOBP_URINARY_BLADDER_SMOOTH_MUSCLE_CONTRACTION	0.6620122603621029	0.1	1.0
GOMF_TRANSLATION_TERMINATION_FACTOR_ACTIVITY	0.6619623886293915	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_MEMORY_T_CELL_DIFFERENTIATION	0.6618116940915006	0.1	1.0
MODULE_82	0.6617094688289809	0.1	1.0
GOCC_VCB_COMPLEX	0.6613513741568827	0.2	1.0
GOBP_POSITIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION	0.6609557022692151	0.1	1.0
GOBP_PEPTIDE_MODIFICATION	0.6608247135954929	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION	0.6606522946757264	0.1	1.0
HP_CHYLOTHORAX	0.6606296307546072	0.1	1.0
GOMF_INTERLEUKIN_1_RECEPTOR_ACTIVITY	0.6605712459359147	0.1	1.0
HP_PARATHYROID_CARCINOMA	0.6602220009283005	0.1	1.0
GOBP_PURINE_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS	0.6592797266787472	0.2	1.0
HP_APLASIA_HYPOPLASIA_OF_THE_5TH_METACARPAL	0.658725740938849	0.1	1.0
HP_PULMONARY_VENOUS_HYPERTENSION	0.6583567932339024	0.1	1.0
IPA_CIITA_DN	0.6581583548740407	0.1	1.0
HP_ABNORMALITY_OF_THE_FORAMEN_MAGNUM	0.6576659158830205	0.1	1.0
GOBP_SYNAPSE_PRUNING	0.6563802090188249	0.1	1.0
HP_4_5_TOE_SYNDACTYLY	0.6561512073719381	0.1	1.0
BIOCARTA_STEM_PATHWAY	0.6556579227678081	0.1	1.0
GOBP_SPINDLE_ASSEMBLY_INVOLVED_IN_MEIOSIS	0.6545993189204277	0.1	1.0
GOBP_TORC2_SIGNALING	0.6543577632693204	0.1	1.0
HP_SHAGREEN_PATCH	0.6537737118255961	0.1	1.0
GOCC_ARYL_HYDROCARBON_RECEPTOR_COMPLEX	0.653591183356757	0.1	1.0
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN	0.6531671253169218	0.1	1.0
GOBP_OTOLITH_DEVELOPMENT	0.6525818939023753	0.1	1.0
HP_IMPAIRED_USE_OF_NONVERBAL_BEHAVIORS	0.6524557720736813	0.1	1.0
HP_DACRYOCYSTITIS	0.6521660103221889	0.1	1.0
HP_INCREASED_SERUM_SEROTONIN	0.6518407485938248	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_CGMP_MEDIATED_SIGNALING	0.6518307973972916	0.1	1.0
GOBP_MACROPHAGE_INFLAMMATORY_PROTEIN_1_ALPHA_PRODUCTION	0.6517940938198281	0.1	1.0
HP_AXONAL_REGENERATION	0.6512234358078459	0.1	1.0
GOBP_RECEPTOR_MEDIATED_VIRION_ATTACHMENT_TO_HOST_CELL	0.6493439541905307	0.1	1.0
HP_SECOND_DEGREE_ATRIOVENTRICULAR_BLOCK	0.6491558485234877	0.3	1.0
GOBP_POSITIVE_REGULATION_OF_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	0.6490982629683953	0.1	1.0
GOMF_C_X_C_CHEMOKINE_BINDING	0.6488736389759672	0.1	1.0
IPA_EOMES_DN	0.6488274850949587	0.1	1.0
