	Selected	N	n	.
chr5q11	False	85	31	0.36470588235294116
chr12q21	False	128	49	0.3828125
chr11p12	False	19	7	0.3684210526315789
chr6q11	False	6	1	0.16666666666666666
chr12q14	False	105	36	0.34285714285714286
chr7q22	False	213	129	0.6056338028169014
chr16q23	False	104	48	0.46153846153846156
chr11p14	False	56	16	0.2857142857142857
chr16p11	False	263	110	0.41825095057034223
chr13q33	False	55	18	0.32727272727272727
chr12q23	False	145	72	0.496551724137931
chr4p15	False	122	40	0.32786885245901637
chr1q41	False	92	33	0.358695652173913
chr19p12	False	111	33	0.2972972972972973
chr14q13	False	59	20	0.3389830508474576
chr1q24	False	123	53	0.43089430894308944
chr13q13	False	78	27	0.34615384615384615
chrXq13	False	160	55	0.34375
chr2p12	False	53	7	0.1320754716981132
chr2q32	False	108	42	0.3888888888888889
chr4q35	False	105	36	0.34285714285714286
chr8q12	False	88	26	0.29545454545454547
chr2q23	False	51	20	0.39215686274509803
chr4q27	False	29	14	0.4827586206896552
chr2q34	False	45	15	0.3333333333333333
chr3p11	False	24	7	0.2916666666666667
chr16p12	False	164	82	0.5
chr6p21	False	467	259	0.5546038543897216
chr14q22	False	90	46	0.5111111111111111
chr10p13	False	64	28	0.4375
chr1p36	False	656	325	0.4954268292682927
chr10q24	False	181	104	0.574585635359116
chr3q22	False	117	51	0.4358974358974359
chr17q23	False	112	51	0.45535714285714285
chr20q11	False	237	95	0.4008438818565401
chr13q22	False	61	11	0.18032786885245902
chr7p14	False	163	56	0.34355828220858897
chr8p22	False	45	18	0.4
chr21q22	False	353	126	0.35694050991501414
chr1p31	False	217	68	0.31336405529953915
chr2p25	False	117	42	0.358974358974359
chr7q36	False	145	73	0.503448275862069
chrXq21	False	136	28	0.20588235294117646
chr15q25	False	152	66	0.4342105263157895
MT	False	37	0	0.0
chr10q11	False	184	55	0.29891304347826086
chr13q14	False	240	83	0.3458333333333333
chr4p12	False	24	12	0.5
chr2q22	False	68	10	0.14705882352941177
chr17q25	False	297	181	0.6094276094276094
chr8q21	False	178	60	0.33707865168539325
chrXq12	False	26	7	0.2692307692307692
chr5q14	False	130	41	0.3153846153846154
chr1q22	False	70	46	0.6571428571428571
chr7p15	False	96	42	0.4375
chr5q22	False	55	24	0.43636363636363634
chr13q12	False	232	65	0.2801724137931034
chr9q22	False	185	75	0.40540540540540543
chrXq25	False	48	7	0.14583333333333334
chr1p34	False	275	158	0.5745454545454546
chr9q33	False	131	66	0.5038167938931297
chr4p13	False	31	9	0.2903225806451613
chr16q24	False	130	69	0.5307692307692308
chr3p21	False	304	183	0.6019736842105263
chr16q12	False	96	31	0.3229166666666667
chr5q33	False	109	62	0.5688073394495413
chr2q21	False	146	32	0.2191780821917808
chr5p14	False	32	5	0.15625
chr7q21	False	164	68	0.4146341463414634
chr2p24	False	74	24	0.32432432432432434
chr1q23	False	217	108	0.4976958525345622
chr6q12	False	21	4	0.19047619047619047
chr17p13	False	336	206	0.6130952380952381
chr14q31	False	56	15	0.26785714285714285
chr5q12	False	62	26	0.41935483870967744
chr18q11	False	80	27	0.3375
chr9p24	False	101	36	0.3564356435643564
chr2q12	False	79	24	0.3037974683544304
chr3q23	False	56	23	0.4107142857142857
chr1q21	False	392	180	0.45918367346938777
chr11q13	False	421	234	0.5558194774346793
chrXq27	False	89	11	0.12359550561797752
chr15q21	False	167	84	0.5029940119760479
chr8q11	False	70	18	0.2571428571428571
chr4q12	False	79	33	0.4177215189873418
chr14q23	False	124	56	0.45161290322580644
chr10q23	False	190	82	0.43157894736842106
chr17p12	False	63	19	0.30158730158730157
chr2p15	False	43	16	0.37209302325581395
chr10p15	False	86	31	0.36046511627906974
chr3q28	False	30	9	0.3
chr13q11	False	23	0	0.0
chr21q11	False	46	5	0.10869565217391304
chr4q33	False	14	6	0.42857142857142855
chr6p22	False	346	143	0.41329479768786126
chr3p24	False	99	27	0.2727272727272727
chr5p15	False	189	49	0.25925925925925924
chr6p11	False	8	2	0.25
chr7q31	False	129	51	0.3953488372093023
chr2p16	False	114	30	0.2631578947368421
chr8q22	False	153	58	0.3790849673202614
chr18p11	False	201	60	0.29850746268656714
chrXq24	False	80	29	0.3625
chr7q32	False	90	43	0.4777777777777778
chr9p13	False	170	79	0.4647058823529412
chr20p12	False	104	36	0.34615384615384615
chr5p13	False	128	51	0.3984375
chr6q22	False	119	51	0.42857142857142855
chr14q24	False	191	106	0.5549738219895288
chr9q12	False	7	1	0.14285714285714285
chr7p11	False	82	16	0.1951219512195122
chr11q23	False	205	105	0.5121951219512195
chr18q12	False	96	39	0.40625
chrXq26	False	163	54	0.3312883435582822
chr2q13	False	59	20	0.3389830508474576
chrXq11	False	29	7	0.2413793103448276
chr2q11	False	146	64	0.4383561643835616
chr4p16	False	211	98	0.46445497630331756
chr9p23	False	19	0	0.0
chr1p13	False	205	106	0.5170731707317073
chr12q12	False	58	22	0.3793103448275862
chr21p12	False	14	5	0.35714285714285715
chrXq23	False	89	15	0.16853932584269662
chr19q13	False	1165	707	0.6068669527896996
chr4q25	False	87	27	0.3103448275862069
chr14q12	False	101	49	0.48514851485148514
chr14q21	False	91	27	0.2967032967032967
chr4q24	False	56	23	0.4107142857142857
chr6q14	False	93	33	0.3548387096774194
chr17q11	False	161	77	0.4782608695652174
chr16q11	False	12	7	0.5833333333333334
chr4q22	False	70	27	0.38571428571428573
chr10p14	False	47	15	0.3191489361702128
chr10q22	False	202	86	0.42574257425742573
chr11q22	False	98	42	0.42857142857142855
chr8q13	False	71	28	0.39436619718309857
chr5q15	False	60	23	0.38333333333333336
chr14q11	False	325	72	0.22153846153846155
chr18q23	False	39	15	0.38461538461538464
chr20q13	False	400	186	0.465
chr16q22	False	179	121	0.6759776536312849
chr20q12	False	24	6	0.25
chr4q31	False	157	61	0.3885350318471338
chr20p13	False	117	66	0.5641025641025641
chr1p35	False	130	80	0.6153846153846154
chr8p11	False	95	49	0.5157894736842106
chr18q22	False	61	21	0.3442622950819672
chr14q32	False	546	119	0.21794871794871795
chr17p11	False	199	65	0.32663316582914576
chr3q21	False	138	62	0.4492753623188406
chr15q26	False	193	66	0.34196891191709844
chr16q21	False	74	38	0.5135135135135135
chr17q24	False	94	32	0.3404255319148936
chr8p21	False	128	77	0.6015625
chr11q24	False	183	59	0.3224043715846995
chr6q26	False	14	7	0.5
chr5q34	False	38	14	0.3684210526315789
chr3q29	False	122	46	0.3770491803278688
chr8p12	False	67	21	0.31343283582089554
chr7q34	False	180	47	0.2611111111111111
chr15q11	False	208	16	0.07692307692307693
chr2p21	False	80	33	0.4125
chr8q23	False	44	14	0.3181818181818182
chr6q27	False	75	23	0.30666666666666664
chr1q25	False	160	70	0.4375
chr22q12	False	213	104	0.48826291079812206
chr1p33	False	60	21	0.35
chr1p12	False	49	13	0.2653061224489796
chr1q32	False	266	135	0.5075187969924813
chr15q23	False	65	31	0.47692307692307695
chr6q13	False	56	19	0.3392857142857143
chr6p23	False	15	7	0.4666666666666667
chr2p13	False	137	73	0.5328467153284672
chr2q33	False	195	70	0.358974358974359
chr1q43	False	60	19	0.31666666666666665
chrYp11	False	122	3	0.02459016393442623
chr6q15	False	48	22	0.4583333333333333
chr1p22	False	129	61	0.4728682170542636
chr3q26	False	186	49	0.26344086021505375
chr12q15	False	55	23	0.41818181818181815
chr2p22	False	98	40	0.40816326530612246
chr15q24	False	116	60	0.5172413793103449
chrYq11	False	309	11	0.03559870550161812
chr16p13	False	407	219	0.538083538083538
chr9q32	False	47	33	0.7021276595744681
chr22q13	False	305	180	0.5901639344262295
chr3p25	False	145	75	0.5172413793103449
chr13q32	False	95	28	0.29473684210526313
chr3q25	False	152	56	0.3684210526315789
chr9q21	False	188	62	0.32978723404255317
chr3p26	False	44	14	0.3181818181818182
chr22q11	False	384	113	0.2942708333333333
chr18q21	False	189	68	0.35978835978835977
chr5q31	False	287	125	0.4355400696864111
chr7q33	False	52	25	0.4807692307692308
chr4p14	False	64	27	0.421875
chr7q11	False	253	87	0.3438735177865613
chr9q31	False	128	50	0.390625
chr6p25	False	82	31	0.3780487804878049
chr3q11	False	50	14	0.28
chr7p13	False	50	26	0.52
chr6q23	False	106	40	0.37735849056603776
chr21p11	False	38	4	0.10526315789473684
chr3q12	False	46	22	0.4782608695652174
chr10q21	False	116	40	0.3448275862068966
chr7q35	False	65	15	0.23076923076923078
chr7p12	False	58	19	0.3275862068965517
chr3p13	False	40	10	0.25
chr2q24	False	125	45	0.36
chr8q24	False	321	156	0.48598130841121495
chr20p11	False	145	42	0.2896551724137931
chrXp21	False	82	14	0.17073170731707318
chr4q32	False	113	37	0.3274336283185841
chr11q12	False	333	122	0.3663663663663664
chr17q22	False	86	41	0.47674418604651164
chr3q13	False	187	83	0.44385026737967914
chr2p14	False	58	18	0.3103448275862069
chr1p21	False	99	34	0.3434343434343434
chr3p12	False	66	8	0.12121212121212122
chr15q13	False	87	28	0.3218390804597701
chr1p32	False	152	64	0.42105263157894735
chr3q27	False	115	53	0.4608695652173913
chr15q22	False	124	63	0.5080645161290323
chr3p22	False	165	74	0.4484848484848485
GRABARCZYK_BCL11B_TARGETS_UP	True	81	74	0.9135802469135802
SIMBULAN_PARP1_TARGETS_UP	True	31	30	0.967741935483871
GARCIA_TARGETS_OF_FLI1_AND_DAX1_UP	True	50	49	0.98
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	True	301	266	0.8837209302325582
BIOCARTA_CPSF_PATHWAY	True	10	9	0.9
MARIADASON_RESPONSE_TO_CURCUMIN_SULINDAC_7	True	14	13	0.9285714285714286
BIOCARTA_VOBESITY_PATHWAY	True	8	8	1.0
BIOCARTA_S1P_PATHWAY	True	8	8	1.0
WEI_MYCN_TARGETS_WITH_E_BOX	True	790	716	0.9063291139240506
PID_RET_PATHWAY	True	39	39	1.0
REACTOME_GPCR_LIGAND_BINDING	False	463	363	0.7840172786177105
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	True	55	46	0.8363636363636363
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	True	266	242	0.9097744360902256
LIAN_LIPA_TARGETS_3M	True	64	56	0.875
SENESE_HDAC3_TARGETS_UP	True	496	457	0.9213709677419355
WP_SIMPLIFIED_INTERACTION_MAP_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY	True	21	17	0.8095238095238095
BIOCARTA_TOB1_PATHWAY	True	19	19	1.0
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN	True	815	756	0.9276073619631902
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	True	30	28	0.9333333333333333
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	True	81	74	0.9135802469135802
BIOCARTA_CTBP1_PATHWAY	True	8	8	1.0
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	True	136	114	0.8382352941176471
FRIDMAN_SENESCENCE_UP	True	77	73	0.948051948051948
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	True	471	423	0.8980891719745223
PAL_PRMT5_TARGETS_DN	False	29	23	0.7931034482758621
WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19	True	22	22	1.0
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	True	9	9	1.0
REACTOME_NEURONAL_SYSTEM	True	410	370	0.9024390243902439
REACTOME_LAGGING_STRAND_SYNTHESIS	True	20	20	1.0
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	True	62	60	0.967741935483871
FUNG_IL2_SIGNALING_2	True	11	10	0.9090909090909091
LU_TUMOR_VASCULATURE_UP	False	29	23	0.7931034482758621
LEIN_CHOROID_PLEXUS_MARKERS	True	105	91	0.8666666666666667
PID_FOXM1_PATHWAY	True	40	39	0.975
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	True	26	25	0.9615384615384616
MOOTHA_PGC	True	421	363	0.8622327790973872
FERRANDO_TAL1_NEIGHBORS	True	20	17	0.85
HOLLEMAN_ASPARAGINASE_RESISTANCE_B_ALL_UP	False	28	18	0.6428571428571429
KEGG_GALACTOSE_METABOLISM	True	26	24	0.9230769230769231
WP_INTEGRINMEDIATED_CELL_ADHESION	True	104	97	0.9326923076923077
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_DN	True	10	10	1.0
PYEON_HPV_POSITIVE_TUMORS_DN	False	10	7	0.7
KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP	True	130	128	0.9846153846153847
KEGG_OTHER_GLYCAN_DEGRADATION	True	16	15	0.9375
WANG_LSD1_TARGETS_DN	True	37	36	0.972972972972973
KYNG_WERNER_SYNDROM_UP	True	14	14	1.0
ZHAN_MULTIPLE_MYELOMA_CD1_AND_CD2_UP	True	95	90	0.9473684210526315
DAZARD_RESPONSE_TO_UV_SCC_UP	True	105	100	0.9523809523809523
RUAN_RESPONSE_TO_TROGLITAZONE_UP	True	24	23	0.9583333333333334
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	True	382	350	0.9162303664921466
REACTOME_COMPLEX_I_BIOGENESIS	False	57	4	0.07017543859649122
REACTOME_NEF_AND_SIGNAL_TRANSDUCTION	True	8	8	1.0
CHICAS_RB1_TARGETS_LOW_SERUM	False	103	68	0.6601941747572816
LEI_MYB_TARGETS	True	323	286	0.8854489164086687
REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION	False	8	5	0.625
SHEN_SMARCA2_TARGETS_DN	False	323	249	0.7708978328173375
WP_ZINC_HOMEOSTASIS	True	37	32	0.8648648648648649
REACTOME_SIGNALING_BY_RETINOIC_ACID	True	43	38	0.8837209302325582
XU_CREBBP_TARGETS_UP	True	22	19	0.8636363636363636
MEISSNER_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3	False	14	11	0.7857142857142857
LU_TUMOR_ENDOTHELIAL_MARKERS_DN	True	5	4	0.8
WP_RAS_AND_BRADYKININ_PATHWAYS_IN_COVID19	False	29	23	0.7931034482758621
REACTOME_NECTIN_NECL_TRANS_HETERODIMERIZATION	True	7	7	1.0
GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_DN	True	21	20	0.9523809523809523
PID_NFAT_3PATHWAY	True	53	53	1.0
VILIMAS_NOTCH1_TARGETS_UP	True	51	50	0.9803921568627451
REACTOME_TFAP2A_ACTS_AS_A_TRANSCRIPTIONAL_REPRESSOR_DURING_RETINOIC_ACID_INDUCED_CELL_DIFFERENTIATION	True	5	5	1.0
NADERI_BREAST_CANCER_PROGNOSIS_DN	True	18	17	0.9444444444444444
LANDIS_ERBB2_BREAST_TUMORS_324_UP	True	151	149	0.9867549668874173
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	True	16	16	1.0
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	True	16	16	1.0
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION	True	92	90	0.9782608695652174
REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA	True	6	6	1.0
PID_TRAIL_PATHWAY	True	28	27	0.9642857142857143
ABE_VEGFA_TARGETS	True	19	18	0.9473684210526315
KANG_AR_TARGETS_UP	True	17	17	1.0
HUANG_DASATINIB_SENSITIVITY_UP	True	80	78	0.975
WP_TCELL_ANTIGEN_RECEPTOR_TCR_SIGNALING_PATHWAY	True	91	88	0.967032967032967
CHEN_ETV5_TARGETS_TESTIS	True	26	21	0.8076923076923077
STAMBOLSKY_BOUND_BY_MUTATED_TP53	False	18	14	0.7777777777777778
BIOCARTA_PYK2_PATHWAY	True	27	27	1.0
CHEBOTAEV_GR_TARGETS_DN	True	126	116	0.9206349206349206
SESTO_RESPONSE_TO_UV_C5	True	46	46	1.0
REACTOME_HEME_BIOSYNTHESIS	True	14	12	0.8571428571428571
REACTOME_ESR_MEDIATED_SIGNALING	True	221	208	0.9411764705882353
REACTOME_SENSING_OF_DNA_DOUBLE_STRAND_BREAKS	True	6	6	1.0
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_TRIGLYCERIDE_LIPOLYSIS_IN_ADIPOSE	True	5	5	1.0
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_CYAN_UP	True	17	16	0.9411764705882353
WP_NUCLEOTIDE_METABOLISM	True	19	19	1.0
REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING	True	26	24	0.9230769230769231
TRAYNOR_RETT_SYNDROM_DN	True	15	14	0.9333333333333333
SMIRNOV_RESPONSE_TO_IR_6HR_DN	True	114	114	1.0
WU_HBX_TARGETS_2_DN	True	16	13	0.8125
MIKKELSEN_IPS_ICP_WITH_H3K27ME3	True	55	45	0.8181818181818182
YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN	True	17	15	0.8823529411764706
DARWICHE_SKIN_TUMOR_PROMOTER_DN	True	188	172	0.9148936170212766
REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM	True	14	14	1.0
REACTOME_SODIUM_PROTON_EXCHANGERS	True	9	9	1.0
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	True	327	306	0.9357798165137615
REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE	True	23	23	1.0
GAVIN_FOXP3_TARGETS_CLUSTER_P2	True	81	78	0.9629629629629629
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	True	33	30	0.9090909090909091
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP	True	10	10	1.0
WHITESIDE_CISPLATIN_RESISTANCE_UP	True	11	11	1.0
BIOCARTA_P35ALZHEIMERS_PATHWAY	True	8	7	0.875
REACTOME_HOMOLOGY_DIRECTED_REPAIR	True	138	133	0.9637681159420289
REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME	True	13	13	1.0
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	True	23	23	1.0
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	True	26	24	0.9230769230769231
REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION	True	12	12	1.0
SUZUKI_CTCFL_TARGETS_UP	False	12	9	0.75
WANG_RESPONSE_TO_BEXAROTENE_UP	True	34	30	0.8823529411764706
BAELDE_DIABETIC_NEPHROPATHY_UP	True	89	82	0.9213483146067416
BIOCARTA_IL10_PATHWAY	True	13	13	1.0
PID_ERBB_NETWORK_PATHWAY	True	15	14	0.9333333333333333
REACTOME_HIV_TRANSCRIPTION_INITIATION	True	47	47	1.0
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	True	53	51	0.9622641509433962
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	True	13	13	1.0
LOPEZ_MBD_TARGETS_IMPRINTED_AND_X_LINKED	True	17	14	0.8235294117647058
MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_UP	True	41	37	0.9024390243902439
MIKKELSEN_IPS_WITH_HCP_H3K27ME3	False	103	75	0.7281553398058253
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	True	144	121	0.8402777777777778
WANG_SMARCE1_TARGETS_DN	True	384	347	0.9036458333333334
WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA	True	36	33	0.9166666666666666
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP	True	83	71	0.8554216867469879
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	False	120	32	0.26666666666666666
WP_UREA_CYCLE_AND_ASSOCIATED_PATHWAYS	True	24	23	0.9583333333333334
KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_DN	True	61	61	1.0
BIOCARTA_TFF_PATHWAY	True	24	21	0.875
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	True	7	7	1.0
REACTOME_PYRIMIDINE_CATABOLISM	True	12	10	0.8333333333333334
NOUSHMEHR_GBM_SILENCED_BY_METHYLATION	True	50	43	0.86
SASSON_RESPONSE_TO_FORSKOLIN_UP	True	88	81	0.9204545454545454
REACTOME_WNT_MEDIATED_ACTIVATION_OF_DVL	True	8	8	1.0
KYNG_DNA_DAMAGE_BY_UV	True	54	51	0.9444444444444444
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN	False	30	19	0.6333333333333333
WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_PUBERTY_STAGE_2_OF_4	True	13	11	0.8461538461538461
BIOCARTA_PITX2_PATHWAY	True	16	16	1.0
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY	True	27	27	1.0
FONTAINE_PAPILLARY_THYROID_CARCINOMA_UP	True	66	60	0.9090909090909091
LEIN_MEDULLA_MARKERS	True	86	80	0.9302325581395349
ONDER_CDH1_TARGETS_1_DN	True	170	152	0.8941176470588236
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	False	106	13	0.12264150943396226
HAN_SATB1_TARGETS_UP	True	425	404	0.9505882352941176
BIOCARTA_CK1_PATHWAY	True	16	14	0.875
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	True	44	39	0.8863636363636364
REACTOME_P75NTR_SIGNALS_VIA_NF_KB	True	16	13	0.8125
REACTOME_REGULATED_NECROSIS	True	56	53	0.9464285714285714
PUIFFE_INVASION_INHIBITED_BY_ASCITES_UP	True	79	76	0.9620253164556962
YAGUE_PRETUMOR_DRUG_RESISTANCE_UP	True	8	7	0.875
BIOCARTA_P38MAPK_PATHWAY	True	36	35	0.9722222222222222
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY	True	38	37	0.9736842105263158
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	True	43	43	1.0
ROETH_TERT_TARGETS_DN	True	9	9	1.0
BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_DN	True	31	29	0.9354838709677419
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_DN	True	145	129	0.8896551724137931
CHANG_IMMORTALIZED_BY_HPV31_DN	True	60	53	0.8833333333333333
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	True	76	73	0.9605263157894737
CUI_TCF21_TARGETS_2_DN	True	845	816	0.9656804733727811
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	True	297	277	0.9326599326599326
BASSO_CD40_SIGNALING_DN	True	71	67	0.9436619718309859
PID_TRKR_PATHWAY	True	61	57	0.9344262295081968
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	True	23	22	0.9565217391304348
PID_WNT_SIGNALING_PATHWAY	True	28	25	0.8928571428571429
HUANG_FOXA2_TARGETS_UP	True	47	47	1.0
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION	True	5	5	1.0
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	True	24	23	0.9583333333333334
SEKI_INFLAMMATORY_RESPONSE_LPS_DN	True	22	20	0.9090909090909091
WP_BMP_SIGNALING_PATHWAY_IN_EYELID_DEVELOPMENT	False	20	15	0.75
REACTOME_TYROSINE_CATABOLISM	True	5	5	1.0
BIOCARTA_HCMV_PATHWAY	True	17	17	1.0
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS	True	11	11	1.0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	True	15	15	1.0
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	True	72	70	0.9722222222222222
LIAN_NEUTROPHIL_GRANULE_CONSTITUENTS	True	25	20	0.8
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	True	79	73	0.9240506329113924
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_DN	True	7	7	1.0
MATTHEWS_AP1_TARGETS	True	17	16	0.9411764705882353
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN	True	33	30	0.9090909090909091
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	True	103	100	0.970873786407767
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_UP	True	28	27	0.9642857142857143
WP_TRANSSULFURATION_PATHWAY	True	10	10	1.0
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	True	5	5	1.0
KOBAYASHI_EGFR_SIGNALING_24HR_UP	True	102	97	0.9509803921568627
CADWELL_ATG16L1_TARGETS_UP	True	104	91	0.875
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	True	20	20	1.0
WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH	True	59	57	0.9661016949152542
REACTOME_EGFR_TRANSACTIVATION_BY_GASTRIN	True	9	8	0.8888888888888888
TENEDINI_MEGAKARYOCYTE_MARKERS	True	62	60	0.967741935483871
MIKKELSEN_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	True	210	182	0.8666666666666667
REACTOME_NEGATIVE_REGULATION_OF_FGFR3_SIGNALING	True	29	25	0.8620689655172413
MARKS_ACETYLATED_NON_HISTONE_PROTEINS	True	12	11	0.9166666666666666
