	CD4 minus TA in CFS vs CD4 minus TA in Healthy
GIMAP4	-38.2306490000002
SLC38A2	-38.07535800000001
HPCAL1	-38.000815972759995
PKM	-37.75391347999994
ZFP36	-37.57697000000002
PDIA3	-37.276188999999874
RABAC1	-37.058689000000015
PIK3CD	-36.883272999999974
TMEM204	-36.75400467994001
FAM107B	-36.745548299999996
H1-10	-36.64699999999999
TNFAIP8	-36.44424500000002
OAZ1	-36.34382899999969
PTBP1	-36.29056
HSP90AA1	-36.23629999999997
MYH9	-36.15800100000001
RFFL	-36.00249999999999
PLSCR3	-35.997809000000004
CD3E	-35.77497500000004
SLC9A3R1	-35.646097
CNIH1	-35.485072
GPSM3	-35.44075360000002
OPTN	-35.418419000000014
EID1	-35.29960000000003
ANXA11	-35.185418772031
SATB1	-35.0454034
TMC6	-34.969949000000014
TSPAN7	-34.92060000000001
RACK1	-34.787919526890164
CNOT8	-34.76354140000001
C4orf48	-34.550177
G3BP2	-34.30772486000001
G3BP1	-34.23051400000003
ID3	-34.035281999999995
HNRNPM	-34.029263799999995
SUMO2	-34.00080000000003
SYNE1	-33.99046502909533
POLR2L	-33.981336999999996
SMAP2	-33.792794000000015
CUTA	-33.78314399999999
FAM104A	-33.640930999999995
TIGIT	-33.54368700000002
STK10	-33.45354600000002
FBXL3	-33.406527000000054
PSMB3	-33.042006000000015
TSPO	-32.962816000000004
FYTTD1	-32.88138599999999
PSMD8	-32.48755889170499
UBE2N	-32.404811000000024
RAB6A	-32.302094
FERMT3	-32.12699800000004
ABHD17A	-31.982370999999972
CANX	-31.9588646
BEX3	-31.954611
ITGB7	-31.901670000000053
CORO1B	-31.8893432
ICAM3	-31.879897
TCEA1	-31.832259999999962
JUND	-31.671899999999965
TRADD	-31.367291999999992
SRP72	-31.326890000000006
TRAPPC6A	-31.26659700000002
HNRNPF	-30.939390000000003
RETREG3	-30.908105000000006
NDUFA4	-30.892162000000013
ESYT1	-30.888097000000016
TECPR1	-30.856030007791922
DEF6	-30.73573300000001
REEP5	-30.704111799999993
NOG	-30.599391999999995
LDHA	-30.41809900000004
ICAM2	-30.41428600000006
SEC11C	-30.242310000000003
MGAT4A	-30.14557699458473
RNPEPL1	-30.078481699999998
ATRAID	-29.72425001932551
SERINC3	-29.713798999999995
MSN	-29.70188500000006
CXCR4	-29.625907000000097
PIK3IP1	-29.609170000000063
TMEM160	-29.552400000000006
ABRACL	-29.501965000000013
MTSS1	-29.497366599999992
DCK	-29.49113219999998
PCMTD2	-29.486601054499985
NMT2	-29.428159
CNOT2	-29.269990221949
CNOT1	-29.2384031
IDH2	-29.226612000000003
TMCO1	-29.14969599999999
SLX1A	-29.111018472180014
WDR82	-29.093999999999994
GUK1	-29.048321549769952
NEK7	-29.01883500000001
APBA2	-28.803663219500002
TECR	-28.704060000000027
SPATA13	-28.694587499999997
PRPF8	-28.68208940000001
KHDRBS1	-28.617353000000023
PSMC6	-28.616760000000014
TMC8	-28.584577622300003
FKBP8	-28.552271000000005
ZCRB1	-28.505373
RNASET2	-28.46548800000005
SUB1	-28.462086
HINT1	-28.348111999999844
CCT5	-28.083618
ANKH	-27.998037935310016
U2AF1	-27.9231645253347
SLU7	-27.915301000000014
S100A4	-27.83011999999985
CSGALNACT1	-27.819302300000004
PSMB8	-27.76907790000007
NDRG1	-27.663590800166006
HIF1A	-27.654651696019997
CMPK1	-27.63559700000002
CDK9	-27.41901999999999
LRRC8D	-27.381896000000012
RAD21	-27.307757999999993
PYCR2	-27.302149299999996
BTG2	-27.208699999999993
VPS4B	-27.07693800105588
SNRPD3	-26.863207000000003
AKTIP	-26.848565000000008
ADORA2A	-26.75474179585521
FYN	-26.69671667369994
FXYD2	-26.629266199999993
GRB2	-26.594979999999993
MYADM	-26.551489395124996
CREB1	-26.530300000000004
ABI1	-26.497420149699963
SPTAN1	-26.476005553830007
GRAP	-26.453264999999995
SHKBP1	-26.44402746700004
IL6ST	-26.438870057366984
GLG1	-26.280355076000006
MTPN	-26.278999999999996
TRIM14	-26.27425000000001
SPN	-26.272867400000024
LDLRAD4	-26.224730600000004
CD99	-26.169797000000074
PSMF1	-26.158132400000028
ERAP1	-26.12977200000001
PAGR1	-26.022400000000005
P2RY10	-26.01991000000001
SP3	-26.009646000000018
RBM4	-25.920621804033345
RBX1	-25.911285000000007
VKORC1	-25.809231799999992
DEDD2	-25.725308999999996
GRK2	-25.67250630000001
HMOX2	-25.642616752889978
HCLS1	-25.60905400000007
PIN1	-25.48019792084301
CD7	-25.426421199999993
TRIM28	-25.394638
IGFLR1	-25.38240000000002
STAT5B	-25.36769749999999
RHOH	-25.309564655084444
PFKL	-25.259733510887017
ANP32A	-25.15432299999999
ARHGDIA	-25.12332040000001
DIAPH1	-25.107794999999996
BLOC1S1	-25.061452000000017
SAMHD1	-25.05634599999999
EIF3I	-25.013310999999987
DRAP1	-24.833433
SINHCAF	-24.57758179999999
SLFN5	-24.576060000000012
TMEM156	-24.52456
MACROH2A1	-24.4785938567
TMEM219	-24.440766999999994
RDH11	-24.251694180279998
TBC1D4	-24.224455000000006
C12orf57	-24.158218000000005
ASB8	-24.130051153799997
UBE2G2	-24.095664000000006
CIAO2A	-24.037256999999983
SIPA1	-24.03561200000003
MGAT1	-24.035083999999983
RNASEH2C	-24.03401999999999
ARID5A	-24.00710000000001
MEA1	-23.998099999999994
RNF126	-23.991739999999993
TRIR	-23.981902045320027
MEAF6	-23.971416600000026
RNF138	-23.96140899999999
LY6E	-23.867281200000022
EGLN2	-23.816342106318587
GPA33	-23.80217299999999
SMIM10L1	-23.776699999999998
MPI	-23.77359692663201
JAK3	-23.737510909132837
PSMD13	-23.686195400000003
RASGRP2	-23.67028668800002
MAP3K1	-23.64387099999999
WDR46	-23.631067540545025
PPP2R1A	-23.59612200000001
CLPP	-23.571694999999977
YPEL3	-23.55055100000004
EWSR1	-23.528647000000007
MTRNR2L4	-23.4837
NUP50	-23.456778
AKR1B1	-23.40626500237815
ARF5	-23.347195
TMED2	-23.311934999999977
TOR1AIP1	-23.293932999999996
ATP6V0E2	-23.286534186999944
SCAF11	-23.283758000000006
UCP2	-23.265098999999964
PPP6C	-23.126179999999998
PLCG1	-23.101304
SSU72	-22.87007300000002
SDF2L1	-22.868205000000003
IL6R	-22.792829000000005
C16orf54	-22.78500000000001
CDCA7L	-22.72697008555
NDUFA9	-22.584801999999996
MOB3A	-22.580177000000006
SUMF2	-22.533627998872134
GRK6	-22.449577000000005
PDCD6IP	-22.44921050000002
RASA4	-22.407069635800006
MZT2A	-22.316463999999982
ADCY7	-22.291892999999988
CD247	-22.28444009000009
TMX4	-22.22004400000001
LCP2	-21.980934000000005
TRIM27	-21.828177658415882
MED16	-21.72894603462386
CCND3	-21.72333050000003
PAG1	-21.720360000000007
VOPP1	-21.697186414529995
LAMTOR2	-21.686775999999995
BIRC2	-21.595788
ITPKB	-21.577959999999997
ARPP19	-21.571723900000002
CD47	-21.536200000000008
FAM89B	-21.49511999999997
LYPLA1	-21.463430000000002
JUNB	-21.451999999999998
SF3B1	-21.43530738429999
ARAF	-21.430638000000002
CAPNS1	-21.419862939178074
SNAP23	-21.34117214630068
TBCB	-21.317957499999977
MON1B	-21.299750999999986
TXN2	-21.283540000000002
METTL26	-21.23573899999998
UNC13D	-21.215784
EDEM1	-21.16577200000002
ATP6AP2	-21.160389538543853
PCNP	-21.159696999999994
FBXL14	-21.093886999999995
PPP4C	-21.039746998863677
SEMA4D	-20.815076400000038
RHOF	-20.766611999999995
MAT2B	-20.73773399999999
CCND2	-20.72314
APRT	-20.715729999999894
TSTD1	-20.572940000000017
RSU1	-20.415073800000002
FTO	-20.401830989999993
PPDPF	-20.317475999999985
SIT1	-20.314189999999954
HMGN1	-20.275574300000017
TMEM263	-20.241323
ACAP2	-20.198537799999997
PIM2	-20.119069999999994
CLK3	-20.10199699886661
HMGN3	-20.06778
XPO6	-20.021012899999995
VAMP8	-19.972279999999984
NBR1	-19.970684000000006
ADAR	-19.890639000000007
API5	-19.888986999999986
CTDSP2	-19.87928500000001
CHI3L2	-19.830289756530302
JPT1	-19.748190466423097
CAP1	-19.739766299999985
GTF2I	-19.730142
EIF3G	-19.691296000000023
CALR	-19.64885600000001
TMEM167B	-19.570959999999992
NAPRT	-19.5604165862475
EIF4B	-19.543633800000023
TPP2	-19.54192169999999
SYPL1	-19.539656981876007
SUMO1	-19.464003007835686
PPIB	-19.325898999999993
EBP	-19.317487800000002
OSTM1	-19.287001000000004
LAMTOR4	-19.269338226108857
SNF8	-19.241614900000016
ESYT2	-19.223669
LEMD3	-19.205543000000006
CAPRIN1	-19.17208175600001
RNF38	-19.03861158000001
UBE2H	-18.966515338000008
SSNA1	-18.96384900000001
FUS	-18.903119099999998
UXS1	-18.903071900000015
PDE4D	-18.887952300000006
RAP1A	-18.82745
TMEM250	-18.782016
TWF2	-18.645757000000003
PLEKHF1	-18.640870999999997
RBBP4	-18.62623400000001
SIVA1	-18.554962999999987
TSNAX	-18.539952999999997
CNST	-18.527540000000002
RBBP7	-18.496837
BOLA2B	-18.402399999999986
FAAP20	-18.343434999999992
ELK3	-18.33442
TRAPPC5	-18.315635999999998
VPS51	-18.27698500000001
PSMA4	-18.206313865629994
CCDC167	-18.20430000000001
NUDT21	-18.177781999999993
RELA	-18.172495995025457
SRRM2	-18.16543419999998
BAX	-18.128634000000034
FRMD8	-18.12631400508291
LBR	-18.052425098815235
ARHGAP25	-18.03773580739997
ZNF362	-17.97484
PRKCB	-17.959738999999985
PPM1M	-17.947164630099998
GIT2	-17.919943999999987
TMEM106B	-17.913234300000013
SMARCC1	-17.891032199999998
PDE7A	-17.86074400000001
ABHD14B	-17.836562999999998
CCM2	-17.804817000000014
BNIP2	-17.803041636779994
ANP32E	-17.788897999999996
ZNF414	-17.781138899999995
RASAL3	-17.7810834
PUM1	-17.779446999999976
CPNE7	-17.757971314124596
RHOG	-17.752440000000007
PDIA4	-17.74274100000001
NLRC3	-17.688312
RAB18	-17.67729229999999
MAF1	-17.632320999999962
PHPT1	-17.62442814
ZC3HAV1	-17.610407600000016
RAB5B	-17.593874
RRM1	-17.551102000000007
NUDT22	-17.52208300000001
ZBED1	-17.517773
RCC2	-17.497386000000002
TBC1D15	-17.452403000000004
SLC44A2	-17.444380600000017
NAAA	-17.42814199999998
SNRPB	-17.41912000000002
TMEM45B	-17.414582999999997
CBX7	-17.39730099999999
TXK	-17.38389223000001
SCAND1	-17.36524999999999
MCRIP1	-17.301011398527002
UBL4A	-17.28890399444748
KTN1	-17.279699880126344
CTC1	-17.275747000000003
CERK	-17.214299999999994
TMIGD2	-17.181169000000008
ZFP1	-17.139055730000003
ELOF1	-17.104415999999986
REX1BD	-17.08024499999999
RAN	-17.079298800000004
PTPN7	-17.079076
TMED10	-17.076073000000008
RASA3	-17.057310400000006
CCDC69	-17.047196
ARRDC2	-17.027209400000004
SMARCA2	-17.012693452614016
MAX	-16.976045999999997
PXN	-16.961425498085603
ABTB1	-16.93149200000002
UBA1	-16.851648100000006
TOLLIP	-16.844869999999993
ARHGEF3	-16.802208499999978
RNF114	-16.794552999999993
AP1M1	-16.76527699999997
PHC3	-16.759265
MPP7	-16.73162795721801
C19orf53	-16.705566000000005
SPINT2	-16.6876419882462
SYNGR2	-16.648393999999996
MAD1L1	-16.635242906717934
DDX6	-16.630079999999992
CDK4	-16.597525387000005
MEF2D	-16.5829894
KPNA1	-16.57444199999999
HNRNPU	-16.54041799999999
NUDT16L1	-16.516558999999987
AP2S1	-16.489946000000003
CGGBP1	-16.459599999999995
ZFAND6	-16.447393999999974
CREM	-16.443407379999996
TGIF2	-16.44089053
GPAA1	-16.412368999999998
MTCH2	-16.406565999999998
PDLIM2	-16.388039520000007
GFUS	-16.354156499999995
PWP1	-16.351160999999998
NUCB2	-16.333966999999973
STARD7	-16.314751
CDV3	-16.311977999999996
STK26	-16.24204300000001
NMT1	-16.238165999999993
CHMP3	-16.191287000000017
KIAA2013	-16.111020000000025
PLPBP	-16.083148986294105
EVI2A	-16.070330000000013
HDAC2	-16.017203999999992
ASF1A	-15.963669999999993
NUMB	-15.961637404680005
GLTP	-15.947962999999994
DGCR6L	-15.918453999999997
RASSF5	-15.902582999999993
YDJC	-15.874994999999998
TCEAL8	-15.824774999999988
RBIS	-15.819338999999985
BET1L	-15.794482999999993
GNA13	-15.76835699999998
UBXN4	-15.742711
SH3BGRL	-15.73552699999999
TM9SF3	-15.70478799999998
LARS1	-15.691068000000001
SRPRA	-15.679171999999994
SLC25A46	-15.664949012173995
ARHGEF18	-15.650196000000008
LMBR1	-15.649854914981006
TERF2IP	-15.645910999999984
C16orf74	-15.611652999999997
CNOT7	-15.599198000000001
UBA2	-15.58735
PSMC3	-15.574736533999996
TMEM199	-15.572651999999998
RUNX1	-15.5550705
PSD4	-15.551381009999997
RAB37	-15.525185800000003
INTS8	-15.521982654500007
NEDD9	-15.508182659492995
ENSA	-15.414057204163107
GMCL1	-15.412765000000007
PGLS	-15.390103000000003
ARF1	-15.3799479999999
SRPRB	-15.33340539000001
TANGO2	-15.331012113299998
TMED4	-15.309893999999993
PPP1CB	-15.282621999999975
AIP	-15.271390999999994
ELOVL5	-15.214914899999997
PPA2	-15.185521999999978
FBXW5	-15.178416999999982
NAP1L1	-15.172856999999993
DDB1	-15.156875
RB1CC1	-15.1459346
PEX16	-15.142365000000005
DUSP16	-15.127640000000007
STXBP2	-15.107618850000009
PKN1	-15.106632003833155
RAB11B	-15.101033000000001
SS18	-15.0798961
SNRNP200	-15.07340099999999
ATG9A	-15.063812799999994
IL17RA	-15.049686499999986
NME3	-15.035200991309999
DENND4B	-15.022066000000002
M6PR	-15.016504000000026
PPT1	-15.002406999999977
HPS1	-14.998530580171149
HNRNPUL1	-14.981125508862817
BIN1	-14.942938000000012
LASP1	-14.9372886679173
PSMD7	-14.907133000000002
NAA38	-14.841879999999989
DNTTIP2	-14.82559400000001
DOCK8	-14.80857070602
MTMR14	-14.803654899999998
WDR83OS	-14.801500000000033
EIF2S3	-14.794415
HMG20B	-14.769720999999997
PSAP	-14.758489046790089
RAB43	-14.757459004422001
MAP2K2	-14.751937100000006
MAEA	-14.741145000000003
GTF2A2	-14.701660000000004
MAPK1	-14.680919000000003
CAND1	-14.657620000000009
CNNM3	-14.633612999999997
UBE2G1	-14.626873000000003
TPD52L2	-14.615356586763
FAM117A	-14.615110000000001
SNX1	-14.596568699999992
XPOT	-14.572566999999992
SNRPB2	-14.520444000000012
LRPAP1	-14.513672999999983
CMTM3	-14.508887999999999
PAK2	-14.501431000000004
ZSCAN25	-14.4938708
SON	-14.488161900000023
FAM32A	-14.481065999999998
DCAF13	-14.478986130000003
SNX20	-14.472546000000023
CELF2	-14.455219890676815
CHMP1A	-14.451207099999998
DYRK2	-14.404679000000023
MOB4	-14.383386999999999
CACYBP	-14.29211399999997
ABHD3	-14.276954999999994
ADRM1	-14.269692000000006
RGS19	-14.245799999999996
TRIP12	-14.223840800000005
MAL	-14.196068999999994
RGCC	-14.128319999999974
GHITM	-14.087999999999994
BCR	-14.066737599999989
SUGP1	-14.062157399999997
LSM7	-14.059984999999983
AKAP8	-14.051473000000001
TPGS2	-14.051328000000026
ATP6V0C	-14.048700999999994
ECI1	-14.030344
KDM5A	-14.023888
MTIF3	-14.016735999999995
EIF4H	-14.009340000000037
GPR160	-14.001352239411002
RBM42	-13.986645999999993
TSPAN14	-13.979407999999978
PAQR8	-13.952191000000006
VASP	-13.931321000000004
SSR1	-13.926641999999987
SLC25A39	-13.915321379492596
ZMYND11	-13.913207
POLR1B	-13.906071249769003
TTC1	-13.900543099999993
PSMD9	-13.888527259277495
EAPP	-13.874928000000011
CES2	-13.863084384584006
GZMM	-13.861020000000003
DDT	-13.857500799999997
MFSD14B	-13.838549
TACC3	-13.828105000000008
OTUB1	-13.823474999999988
NDFIP1	-13.818939999999998
HAGH	-13.808719299999993
SVBP	-13.803063999999985
SERBP1	-13.789979000000045
TNFAIP8L2	-13.753
VPS28	-13.74019190300001
OGDH	-13.732979
FBH1	-13.71699240000001
SEPTIN2	-13.681718127318106
HINT2	-13.65327550000002
DPF2	-13.61165099868802
GMIP	-13.60960099999999
MAP4	-13.592933399999996
ARRDC3	-13.589420000000004
IL18R1	-13.560386000000003
OCIAD2	-13.548406
CYB561A3	-13.542317866862
CCR6	-13.536632999999995
PARP1	-13.472193699999991
ABI2	-13.4717901
HDAC4	-13.467540000000001
CCDC47	-13.439533199999993
TARS1	-13.42676397901969
ERH	-13.42404999999998
RAB7A	-13.40165737000001
TKFC	-13.396465999999997
CYLD	-13.371336684243886
MAP7D1	-13.344242500000007
HECA	-13.341799999999992
PLEKHM1	-13.317984851474023
RHOA	-13.28536600000001
PQBP1	-13.266752390000008
TIMM13	-13.231200000000008
GADD45GIP1	-13.200800000000001
SUSD3	-13.19792000000001
RNF19A	-13.194776000000005
TCF3	-13.19210058841955
CBX4	-13.173503
SAE1	-13.166692000000012
SLC35C2	-13.135889300000002
CCDC85B	-13.131
OASL	-13.126780000000007
ATF1	-13.116179000000002
PAFAH1B3	-13.094643999999999
ZNF292	-13.093796000000001
USP9X	-13.088582699999996
TMEM134	-13.085497000000004
PLEKHB1	-13.0809828662438
ARHGAP4	-13.035962616467899
SH3GLB1	-13.033103000000011
DNAJC17	-12.994489000000002
ZER1	-12.929182999999988
KEAP1	-12.867666
APBA3	-12.815976
TSR2	-12.8095
BECN1	-12.808890699999978
MPC1	-12.790739999999992
CHMP2A	-12.784387474033991
DCTN1	-12.761081206609994
SQOR	-12.752114821339006
HEBP2	-12.747751999999998
CSTB	-12.74269000000001
ETHE1	-12.712257299999997
PLEC	-12.606598119171991
ZNF430	-12.59735683533981
SCP2	-12.581863616083893
ULK3	-12.578203304011026
CCNI	-12.56361000000004
NAXE	-12.550490000000025
ABCE1	-12.528484300000002
CCDC25	-12.526422800000006
PIM1	-12.526269999999997
VPS36	-12.514826000000006
PCMTD1	-12.485361999999995
CPSF2	-12.479557
BNIP3L	-12.477600292000005
DCTN2	-12.474873527699998
POLR2A	-12.45647499999999
FAM133B	-12.421957000000003
XRN1	-12.413995337696988
ACSS1	-12.413951800000007
TDP1	-12.405909999999992
LAMP2	-12.40276
STUB1	-12.390236281000028
OAS1	-12.38061795382501
GTF3C2	-12.35085500000001
AP2M1	-12.329340450182542
IFI27L2	-12.327961999999992
FBXL8	-12.294344000000002
CHTOP	-12.281874000000002
SRPK2	-12.25564580000001
ZNF395	-12.251165
NPEPPS	-12.248623834456993
CCNC	-12.244729555700005
PCYOX1	-12.233602000000005
OPA1	-12.207718700000001
ITGA6	-12.166340533699994
PRKCH	-12.139377000000025
NFYC	-12.120143955700001
PTPN18	-12.115496
PDE3B	-12.108631999999986
SLC35E2B	-12.106939000000004
GYS1	-12.102038
EPS15	-12.098492999999998
NSG1	-12.09015500000001
SFI1	-12.08748012971001
PNPLA2	-12.068981000000015
CLN3	-12.068896875501942
SSBP4	-12.058254999999996
SEC11A	-12.051469174299982
ZAP70	-12.01985599999999
PKIA	-12.016619998111665
GTPBP6	-11.997460000000004
DENR	-11.993529999999993
TMOD3	-11.950994893000008
PLGRKT	-11.864445000000003
ARRB2	-11.841193386299992
DPP9	-11.817394199999999
COASY	-11.787634999999995
NUDT9	-11.7729
CNN2	-11.756570000000067
DENND1C	-11.748637000000002
PSPC1	-11.742763999999994
ZFR	-11.739871300000004
TBL1XR1	-11.712688000000007
SYS1	-11.683433000000008
YBX1	-11.641037999999995
ZNF518B	-11.638531000331113
GET3	-11.635452
IL7R	-11.610660000000053
HLA-DOA	-11.600263600000002
KANK1	-11.5947508
IPCEF1	-11.594733999999988
PLIN3	-11.586361999999994
THAP11	-11.572000000000031
A1BG	-11.5698599
MAZ	-11.562100062644205
LAIR1	-11.554494899041714
ERO1A	-11.533861000000009
REPIN1	-11.514632809999988
THEMIS2	-11.509811999999997
GUCD1	-11.47729699834862
GANAB	-11.459908914732978
RAVER1	-11.450783922104698
CD3G	-11.445223999999996
NIPSNAP1	-11.443874999999991
TJP2	-11.439530104
ZNF655	-11.438447030000006
LZTS2	-11.429707531839998
CIAO3	-11.396432612494692
LCLAT1	-11.381330077080001
GSTM3	-11.374861
BZW2	-11.364169983263999
FLYWCH2	-11.356165
NUCB1	-11.352869458707389
FCGRT	-11.326737632155602
THAP1	-11.311331999999997
ATP2A3	-11.29727170000001
ATG13	-11.262575063705981
AMPD2	-11.253120400899999
ZDHHC20	-11.250963999999996
INPP4A	-11.245720400000003
FZR1	-11.236145414790006
ZBTB1	-11.223303300000005
SBF1	-11.208061000000004
ICE2	-11.205898699999999
FAM234A	-11.201032700000003
TMX1	-11.199005
ZDHHC12	-11.196995999999999
NCALD	-11.194850388412743
RCAN3	-11.181486000000007
RNF144A	-11.180266000000003
IQSEC1	-11.170950000000005
UBL7	-11.158407450878002
TESPA1	-11.15327400000001
POLD2	-11.126632000000008
F11R	-11.115284000000003
USP22	-11.08630049966078
MALSU1	-11.081119999999999
POLR2E	-11.074735774630966
RAB8B	-11.069242999999993
FN3KRP	-11.054974999999999
BAD	-11.052439000000007
BCL7C	-11.051768899999999
DCAKD	-11.033873999999997
TRA2A	-11.020421990900005
ZNF506	-11.016410999999998
ZNHIT1	-11.008468
PSMC4	-11.005927999999997
CLTC	-10.990888999999981
KCTD10	-10.981420799999995
NPAT	-10.96518981530999
HERPUD1	-10.958486034552692
HPCAL4	-10.948394362322325
ST6GALNAC6	-10.947294356048573
MKNK2	-10.937508599999994
CEACAM21	-10.928035999999985
TIMM17B	-10.900600000000011
PSTPIP1	-10.900019
MCRIP2	-10.894645100000002
GPATCH2L	-10.893932400000002
RPP21	-10.876511923034101
TNIP1	-10.860546301644945
COMMD10	-10.853773740220003
NOP2	-10.845287622883262
PLD3	-10.844738658000011
ST6GALNAC1	-10.835667
CTSA	-10.822878899999992
DGKD	-10.79722934886141
NUP62	-10.772946005361987
SASH3	-10.754700000000014
ZNF394	-10.738915000000006
GLE1	-10.733281999999996
ZNF585A	-10.720572999999995
GLUL	-10.717834000000003
SIRT7	-10.696117900000012
SZRD1	-10.687921000000003
SAP30BP	-10.687723382719994
TMBIM4	-10.686392999999953
TAF2	-10.683989999999998
WDR18	-10.667189999999998
