	CD4 minus TA in CFS163 vs CD4 minus TA in Healthy
BTG2	-18.959599999999966
GTF3C2	-18.949242000000012
MAZ	-18.949086062644206
ADA	-18.9470539
FUS	-18.903119099999998
CAPNS1	-18.887984139178087
FBXW5	-18.854163999999983
SLA	-18.848930800000005
LFNG	-18.829733999999995
ATG9A	-18.79860099999999
TMEM250	-18.782016
TIMM13	-18.756900000000016
CD3G	-18.755728000000005
MYL6	-18.689092349199882
CTDSP2	-18.670725999999995
ORMDL2	-18.65347
TWF2	-18.645757000000003
PLEKHF1	-18.640870999999997
TMCO1	-18.60999299999999
FAM78A	-18.596714000000002
UBA2	-18.589509000000007
OCIAD2	-18.57292000000001
SUMF2	-18.54967795689234
ZDHHC12	-18.541546999999994
STARD7	-18.540592000000004
STARD3	-18.535106000000006
NCKAP1L	-18.52841100000002
CDC42SE2	-18.504410000000064
PSD4	-18.452261880000002
ARHGAP4	-18.452179416467885
CHI3L2	-18.4372263
MFF	-18.4131972
RBM42	-18.413194999999988
BOLA2B	-18.402399999999986
GLG1	-18.37398006761572
ARL4C	-18.369730000000004
TRIM27	-18.369372741415873
FAAP20	-18.343434999999992
TOLLIP	-18.304291999999997
ECI1	-18.304084000000003
ANP32E	-18.29314199999999
STK40	-18.275450300000003
TES	-18.26922660944564
APPBP2	-18.25532800000001
NEDD9	-18.250489617898992
RRM1	-18.209109999999995
CCDC167	-18.20430000000001
EWSR1	-18.179195544089993
PFDN6	-18.15851555199999
MFSD14B	-18.141551000000007
DPF2	-17.98830873768803
LEMD3	-17.987742000000004
ZNF362	-17.97484
TRAPPC2L	-17.960769048729986
PPM1M	-17.947164630099998
RHOF	-17.916590999999997
KLHDC3	-17.894794000000005
MKNK2	-17.886023999999995
ADA2	-17.87139992199998
CDV3	-17.86964499999999
ACO2	-17.861086200000017
PDE7A	-17.86074400000001
DTD2	-17.816404000000002
RB1CC1	-17.792068599999997
BTN3A3	-17.78568642757999
FIP1L1	-17.783810000000003
PUM1	-17.779446999999976
CPNE7	-17.757971314124596
SNRPB2	-17.732364000000004
TSNAX	-17.731978999999995
ALDH18A1	-17.658609
LBR	-17.60183409881523
BIRC2	-17.581701000000002
PRUNE1	-17.559298400000003
ULK3	-17.55856130401103
PPP1R8	-17.555864999999997
SLC39A7	-17.497008
NAA38	-17.496490999999992
ESYT2	-17.452906999999996
TBC1D15	-17.452403000000004
SNRPB	-17.41912000000002
ARL6IP1	-17.396620000000013
FAM117A	-17.373981
SCAND1	-17.36524999999999
PTPRA	-17.357394999999997
ARPP19	-17.298843899999994
UBL4A	-17.28890399444748
SNX1	-17.271108727999987
ILF2	-17.270318999999972
COQ8A	-17.267411201515415
CDIPT	-17.191506209099984
KPNA1	-17.17799099999999
CYTH4	-17.165885999999993
CSK	-17.16135071
NSFL1C	-17.108820367133333
ELOF1	-17.104415999999986
PLCL2	-17.091955699999993
PTPN7	-17.079076
H1-2	-17.047699999999992
IARS2	-17.027378999999996
ATP6AP1	-17.01673910000001
SHMT2	-16.9951666218016
ALDOC	-16.984846800000007
MAX	-16.976045999999997
PPP6R1	-16.97104040000002
GNG2	-16.838733099999985
ABI2	-16.833589000000003
C16orf74	-16.828262
EAPP	-16.826960000000014
ZAP70	-16.821462999999994
LMNB1	-16.799012473713795
AGFG1	-16.7437058891
EPS15	-16.73142
C19orf53	-16.705566000000005
SPATA13	-16.700962000000004
CLSTN3	-16.689441182697696
MPI	-16.675383736
SS18	-16.645991099999996
TRAPPC1	-16.631246000000004
TMOD3	-16.60947789300001
PRMT1	-16.567403839999997
SNX15	-16.556772000000002
MAPRE1	-16.548800000000014
MGAT4A	-16.539341994584717
CBX4	-16.490758
CHD4	-16.484340000000003
ZFAND6	-16.447393999999974
NIN	-16.445597816482994
ARRDC1	-16.420103603
GGNBP2	-16.41148840000001
MTCH2	-16.406565999999998
USE1	-16.399781000000004
SYTL1	-16.382235999999992
VDAC1	-16.331258000000005
GTF2B	-16.294183000000004
MED4	-16.202349999999996
ACAP1	-16.141673999999995
DCTN1	-16.136731106609986
BLOC1S2	-16.133981
SDR39U1	-16.11559000999999
HNRNPH1	-16.096722952129994
PLPBP	-16.083148986294105
APP	-16.003098985870004
SLC20A1	-15.998553000000001
MKRN2	-15.993626999999996
SUGP1	-15.989785999999995
MPC1	-15.92946599999999
WIPI2	-15.921253300000004
CAB39	-15.921102599999955
TMED4	-15.892685999999998
TRIM14	-15.857936000000016
PLD3	-15.822858458000013
HLA-DOA	-15.8171858
UTP11	-15.802207199999998
BET1L	-15.794482999999993
FAM107B	-15.793913499999974
SMIM11A	-15.793166853659999
DPAGT1	-15.739773
PSMD2	-15.737031965
CYB561D1	-15.736490999999996
ZNHIT1	-15.720701000000012
PQBP1	-15.717859230000002
TM9SF3	-15.70478799999998
TPD52L2	-15.675483700300006
CLN3	-15.663117127000014
ERGIC3	-15.660648299999991
TBCB	-15.641343500000005
RNASEH2C	-15.626259999999995
BAD	-15.610418999999993
HDAC1	-15.609422000000023
TGIF2	-15.54992583
PHF5A	-15.548902999999996
ELAC2	-15.49217706193
IL17RA	-15.486894499999984
ZMYND11	-15.439982
CASC3	-15.407928000000013
ARF1	-15.3799479999999
UBE2G1	-15.376148999999998
OGDH	-15.355508000000007
HMOX2	-15.348374440599997
NUMB	-15.336472114904005
DENND4B	-15.335377000000005
SLC1A4	-15.324359979740702
OPTN	-15.323523000000023
AIP	-15.271390999999994
POLR1B	-15.255490249769004
KLHL24	-15.241617767489998
ERAP1	-15.222160000000017
JPT2	-15.212838690999998
GMCL1	-15.124748000000004
FAM32A	-15.123753999999991
RAB11B	-15.101033000000001
PRR13	-15.03365500000001
TARS1	-15.012880119305706
UBE2Z	-15.005223999999998
SCAF11	-14.988255194800018
SH2D3C	-14.975773999999994
CAND1	-14.95414000000001
FAM53B	-14.936404000000003
ZNF500	-14.887158300000003
PTTG1	-14.878897999999989
TAP2	-14.863185020688121
LRP10	-14.861249
TAP1	-14.838595164672512
SNRNP200	-14.826215999999988
COG8	-14.823717000000002
MEF2D	-14.804595099999997
APEH	-14.798786975885179
EIF2S3	-14.794415
MAGEH1	-14.786700000000003
PSAP	-14.758489046790089
SERINC1	-14.743000000000023
SLC8B1	-14.7029344611
MAPK1	-14.680919000000003
GFUS	-14.647649944662987
AKR7A2	-14.644084000000007
APBB1	-14.626975000000016
SEC11A	-14.604467174299984
TCF3	-14.604409116419554
TPGS1	-14.597909999999992
SCAP	-14.596442070000002
LMBR1	-14.570276914981008
SART1	-14.518853003795535
LRPAP1	-14.513672999999983
ATP6V1D	-14.512013800000005
CMTM3	-14.508887999999999
NUDT21	-14.492193
SNX20	-14.472546000000023
RAD23B	-14.420840000000002
PIGS	-14.417053398859991
EIF3I	-14.402417999999955
ST3GAL2	-14.389481999999994
ZFP1	-14.37830173
BCL11B	-14.372029999999999
RASGRP1	-14.328448017147025
USP22	-14.322338001805868
EXOSC5	-14.317915999999997
MDH1	-14.30626829999997
CCDC47	-14.305844299999997
SUN1	-14.278758481512355
H2AZ2	-14.257683788000037
PTPN18	-14.2561106
SIAH2	-14.225499
TMEM229B	-14.224598935
ZER1	-14.22331299999999
CD226	-14.206392999999991
SQOR	-14.183604821339003
NINJ1	-14.12522400000001
GSR	-14.12122599891191
IDS	-14.094033999999994
GHITM	-14.087999999999994
ELK3	-14.045871000000005
ZSCAN25	-14.038283999999997
DENND10	-14.013600999999994
CYCS	-13.984800000000007
UBL7	-13.979834450878002
GYS1	-13.963479
PSMC2	-13.947743000000017
PAQR8	-13.937040000000003
ST6GALNAC6	-13.918520079114998
ATP8B2	-13.899031999999998
ANKRD30BL	-13.889962699999996
LMF2	-13.887224000000003
SRA1	-13.869367088030003
MFN2	-13.869149999999998
WDR54	-13.851238999999993
HAGH	-13.808719299999993
RNF125	-13.763660000000009
DNASE2	-13.76162
SH3GLB1	-13.756653299999996
RPS6KA1	-13.750673781648658
GLE1	-13.702335999999988
GEMIN4	-13.69833555
UBE2I	-13.66980418499999
CES2	-13.662848384584002
GTF2A2	-13.648650000000004
GMIP	-13.60960099999999
VAMP7	-13.604568
GTPBP6	-13.596110000000003
ARRDC3	-13.589420000000004
RNF220	-13.568901200000013
IL18R1	-13.560386000000003
HNRNPH3	-13.555439030000002
CYB561A3	-13.542317866862
CCR6	-13.536632999999995
CEP41	-13.53297196
ZNF518B	-13.521073000331114
SLC35E2B	-13.504419000000006
KEAP1	-13.495756
H2AJ	-13.49444754000001
NMT1	-13.446855999999997
RAD23A	-13.434003999999973
DPP9	-13.4084672
PTOV1	-13.404359100000008
RAVER1	-13.403935622104697
PAFAH2	-13.399215999999996
XPOT	-13.386197999999993
NBPF15	-13.378267959999999
CYLD	-13.371336684243886
NAAA	-13.285961999999984
PSMB5	-13.276305999999991
RAB43	-13.237145637800001
NCR3	-13.230069650000003
CNOT1	-13.226600099999999
SMIM15	-13.220399999999998
BCL7C	-13.204790899999999
SAE1	-13.166692000000012
GPR18	-13.14959030999999
C12orf57	-13.14642409999999
PLEKHG2	-13.135515300000002
PHB2	-13.134629000000004
MTMR12	-13.131859102489003
OASL	-13.126780000000007
FZR1	-13.123843000000008
ATF1	-13.116179000000002
PSPC1	-13.11519899999999
CIZ1	-13.109540511330941
SKA2	-13.106309000000003
MCL1	-13.086990000000014
ATG13	-13.076475186805993
KHNYN	-13.07008900000001
ABHD17B	-13.064999999999998
IP6K1	-13.037855762999989
ZCCHC10	-13.023036970200003
SH3GLB2	-12.997842098384837
ACAT2	-12.994692999999998
DNAJC17	-12.994489000000002
TKTL1	-12.99368
TRIP12	-12.985728800000004
BECN1	-12.969111999999981
TACC3	-12.952089300000011
