	CD4 minus TA in CFS251 vs CD4 minus TA in Healthy
VCP	-57.339852000000036
FGD3	-57.333203
P2RY8	-57.26015499999994
FLNA	-57.11362356353493
ICAM3	-56.996212000000014
PRDX2	-56.595425000000034
G3BP1	-56.514073000000025
CTSA	-56.288895
CCR6	-56.13222999999999
ARF1	-55.93477899999988
TAPBP	-55.70229066566225
C9orf16	-55.67726009000002
TSPO	-55.51090199999999
GUK1	-55.20288454976995
DPP7	-55.10275999999999
TPI1	-54.35173099999986
TRADD	-54.097038999999995
TBCB	-53.46144750000002
RNASET2	-53.384360999999956
SNRPB	-53.34500300000002
MDH2	-53.29690800000003
KLF2	-53.11568
EID1	-52.89160000000001
TMEM219	-52.751575
DYNLL1	-52.65635257999989
PRNP	-52.371027999999995
VAMP8	-52.32431
ZFP36	-52.31623000000002
PTPRC	-52.2233789090817
GLO1	-52.1872717
SRRM2	-52.14109359999999
PRDX5	-52.00061000000002
BZW1	-51.50212899999997
G3BP2	-51.082445860000036
ICAM2	-50.99829900000003
YWHAB	-50.80092400000001
SF3B3	-50.28249300000002
IL16	-49.867962599999885
CAMK4	-49.68692899999999
PDIA3	-49.21271399999989
ALOX5AP	-49.03121899999985
HLA-F	-48.90794983242466
SON	-48.76314863599998
RHOG	-48.704125000000005
ITGB7	-48.30926100000002
C11orf58	-48.14810108488081
RORA	-47.97933049999999
REEP5	-47.88757399999999
HNRNPM	-47.508360589999995
PSMD13	-47.50755749999999
SEPTIN6	-47.20243799999997
PTP4A2	-47.184612100000095
MSN	-46.939662
PSMF1	-46.353316000000035
LSM14A	-46.281542524639235
PPP1R2	-46.263724999999965
CANX	-46.02275660000004
AHNAK	-45.77352899999999
GNB1	-45.564492
CAPN2	-45.267778699999994
GLG1	-45.154693627
CAPZB	-45.023840999999834
CTBP1	-44.878648999999996
WIPF1	-44.8735672
SLC3A2	-44.64015013585578
PKM	-44.4345650075
CHCHD2	-44.23725999999999
NEK7	-44.008841000000004
ITGB2	-43.85754280404052
DDIT4	-43.372245
PLP2	-43.359919999999974
TMED10	-43.179355000000015
ENO1	-43.11634000000004
RUNX3	-42.97214100000002
P4HB	-42.87323470000001
CSNK1A1	-42.65286000030201
NOSIP	-42.41094599999997
RHBDD2	-42.282478315330025
BSG	-42.0946759
ADAM10	-41.97165626839998
PLSCR3	-41.92857500000001
ESYT1	-41.72322900000003
RGS2	-41.70675299999999
SH2D2A	-41.406290999999996
HCLS1	-40.92891199999997
TMEM160	-40.8228
LMAN2	-40.822325000000006
FAM104A	-40.759619999999984
CALHM2	-40.67859999899409
ARHGEF1	-40.57689300000001
SLC38A1	-40.08532099999999
TRIR	-39.902210999999966
DOCK9	-39.81568397336359
SPON1	-39.73539000000001
HMOX2	-39.64256135288997
LIMS1	-39.55112890000004
SLC2A3	-39.53035799999999
RNPEPL1	-39.5071767
PUF60	-39.42558648121698
KDSR	-39.30268020000001
LPXN	-39.27202099999997
JUNB	-39.26599999999999
ARHGAP30	-39.068859992678654
SSR4	-39.03915290000009
OPTN	-38.776109000000005
PLEKHF1	-38.63045299999999
EHD1	-38.57929015846213
CCDC107	-38.54913199999999
POLR2J3	-38.28238884072999
CMPK1	-38.091083999999995
SLC9A3R1	-38.015042999999935
GTF3A	-37.83463000000006
GHITM	-37.78199999999998
SIT1	-37.61241999999996
CELF2	-37.323626990989965
TMEM204	-37.322
LAMTOR2	-37.25412799999998
RAB6A	-37.22193799999998
SERINC3	-36.94174000000001
LCP1	-36.88495100000023
LRCH4	-36.72233399999999
MAT2B	-36.67891599999996
CD4	-36.66236299999997
SELENOT	-36.59496999999999
NMT2	-36.58698899999998
MZT2A	-36.576286999999994
ERN1	-36.47042000000001
ITGB1BP1	-36.41093774999998
VKORC1	-36.33393100000001
SYNE1	-36.27139339838982
MYH9	-36.15800100000001
ARPC1B	-36.110220999999996
POLR2L	-36.01370700000001
RFFL	-36.00249999999999
CD164	-35.99653299999994
TMED2	-35.87360399999997
M6PR	-35.830233400000026
CNOT2	-35.772867501948994
SSR1	-35.67253699999998
CD28	-35.660165000000006
SASH3	-35.5924
TRAPPC6A	-35.51731100000002
XBP1	-35.48022199999997
H4C3	-35.44900000000001
MGAT1	-35.34823699999998
MCUB	-35.1737
TMC6	-34.969949000000014
TSR3	-34.81384700000001
FAM89B	-34.76487
PIN1	-34.676199920843004
SCAND1	-34.63826
HPCAL1	-34.589232591712715
SLX1A	-34.55614847218001
C4orf48	-34.550177
SPATA13	-34.45530050000001
AURKAIP1	-34.41684699999999
SRP72	-34.358300000000014
CUTA	-34.352457999999956
ABRACL	-34.220751000000035
TSPAN7	-34.13644
SUMO2	-34.00080000000003
DEF6	-33.984624999999994
CKLF	-33.915396000000015
SUMF2	-33.91497824887213
CNOT8	-33.6716079
TMCO1	-33.653418999999985
SMAP2	-33.64725499999997
CERK	-33.612302000000014
HP1BP3	-33.56334399999997
SMC4	-33.49876130000001
RBM38	-33.36303000000004
ABHD17A	-33.29628999999997
TMEM50A	-33.25812399999998
PPP2R1A	-33.186544000000026
ANXA11	-33.162908065751
SPTAN1	-33.10744958383002
FBXL3	-33.07497700000003
TRIM14	-32.914732000000015
ADRM1	-32.90474400000002
FERMT3	-32.82984300000004
TNFAIP8	-32.73894799999999
SH2D1A	-32.662494626599994
PVRIG	-32.61630259999998
SAMSN1	-32.58155380000001
P2RY10	-32.441810000000004
NAPRT	-32.4409235807458
UBE2N	-32.404811000000024
MEAF6	-32.20008860000004
ARF5	-32.18628099999998
CMTM3	-32.098270000000014
BNIP2	-32.05210146548
SMARCA2	-32.00865966671334
ATP6AP2	-31.89260491835563
JUND	-31.671899999999965
GIMAP4	-31.669190000000185
SYNE2	-31.618597337910003
CDC42EP3	-31.407314999999997
HLA-DRB5	-31.348232000000003
NFKBIA	-31.322716000000014
PLEKHB1	-31.293292294243805
SYNGR2	-31.280714646229995
GPI	-31.261202499999968
YPEL3	-31.18069600000007
ARL6IP1	-31.087216999211904
NDUFA4	-30.892162000000013
TECPR1	-30.841703007791928
PTBP1	-30.803469899999982
SH3KBP1	-30.754309000000006
TMEM134	-30.653954000000013
CTSH	-30.627152999999993
SDCBP	-30.594084827974996
TWF2	-30.522917000000007
DEDD2	-30.492828000000003
TNFSF13B	-30.256887000000006
SNF8	-30.176410900000022
PSMD8	-30.148586168069016
FTO	-30.1322761
WDR46	-29.948524499264025
LY6E	-29.940324200000006
ATRAID	-29.72425001932551
CXCR4	-29.625907000000097
APEH	-29.613499975885162
PIK3IP1	-29.609170000000063
TNFAIP3	-29.604704855399973
PXN	-29.52872349808561
RAP1A	-29.516590000000008
MTSS1	-29.497366599999992
THAP11	-29.38700000000003
HCST	-29.368000000000052
ADCY7	-29.34561099999999
HIF1A	-29.342306696020003
PSAP	-29.32923500000004
RHOF	-29.24085699999999
CNOT1	-29.2384031
VPS4B	-28.88529199999998
EIF3I	-28.884845999999982
MEA1	-28.762500000000003
TECR	-28.704060000000027
PRPF8	-28.68208940000001
RNF10	-28.626533999999992
BLOC1S1	-28.606684000000016
SPN	-28.574138400000024
H3-3A	-28.511630000000196
GRB2	-28.363561000000004
TNFRSF1B	-28.187656000000004
CCT5	-28.083618
RAB18	-27.941494300000002
SSU72	-27.890446999999995
CEP57	-27.87574140000001
ATP6V0E1	-27.8399
CSGALNACT1	-27.819302300000004
SNU13	-27.784927999999994
MED16	-27.69174122298392
NDRG1	-27.663590800166006
CDK2AP2	-27.616014999999976
MAP3K1	-27.593810999999988
NUP50	-27.494603999999995
ABHD14B	-27.4349
ARHGDIA	-27.324326000000013
PYCR2	-27.302149299999996
HERPUD1	-27.239341302
GALM	-27.237920999999986
ERAP1	-27.07355900000001
ACAP1	-27.04750100000001
TSTD1	-26.948910000000012
FIS1	-26.835487
EVL	-26.829465999999996
FYN	-26.69671667369994
TCEA1	-26.630178999999956
UBB	-26.508221999999932
ABI1	-26.497420149699963
SHKBP1	-26.44402746700004
KDM5A	-26.434950814180993
SURF4	-26.298712000000023
SP3	-26.27204900000001
PLD3	-26.230186894300004
LDLRAD4	-26.224730600000004
SOD2	-26.060917699999976
FAM102A	-26.054819000000037
EIF3C	-26.029132040000007
GOLPH3	-25.845559999999992
C16orf54	-25.724000000000018
ATG13	-25.687649363705987
ARRDC2	-25.684629399999977
PPP6C	-25.67483000000002
SARS1	-25.59321
SLA	-25.58525200000001
IGFLR1	-25.38240000000002
STAT5B	-25.36769749999999
DUT	-25.355356000000015
SLC38A2	-25.33665600000002
STK24	-25.3317098
PPP1CC	-25.29320900000002
PCSK7	-25.275645999999995
TOR1AIP1	-25.26900841682999
PDIA4	-25.255429000000007
ELOF1	-25.178720999999996
TMEM250	-25.15404899999998
DIAPH1	-25.107794999999996
GTF2I	-25.090704000000002
METTL26	-25.05541599999998
PSMD2	-25.029445900000013
TKTL1	-25.021813
TM9SF2	-25.019301999999968
ZBTB38	-24.954384807139988
ZC3HAV1	-24.904407600000013
SLFN5	-24.904150000000016
EIF3G	-24.879943000000026
DPF2	-24.87290599868801
PLPBP	-24.86157906038548
RABGAP1L	-24.860345699999996
SRPRA	-24.835328000000004
OASL	-24.734692999999996
YWHAH	-24.726253
PIM2	-24.69054
NDUFA9	-24.689249999999987
STXBP2	-24.68870151246
PSMC4	-24.671424000000002
TRIM27	-24.639088785975588
GFUS	-24.5384501
ANKH	-24.407609535309994
RBM42	-24.344643999999995
NELL2	-24.244594794999983
ARAF	-24.227132313999988
SNRPD3	-24.137715000000014
UBL4A	-24.08004399444748
ADORA2A	-24.042036195855204
BATF	-23.961584999999992
STX8	-23.946142599999995
RDH11	-23.891182180279998
VMP1	-23.879040999999994
P2RX4	-23.836057899999986
EGLN2	-23.816342106318587
TNIP1	-23.758831701644937
TPGS2	-23.751610000000014
JAK3	-23.737510909132837
LY9	-23.729927999999987
NUDT22	-23.719718999999998
TANK	-23.618870107300012
NAA50	-23.61614399999999
UROD	-23.578869330000003
EWSR1	-23.528647000000007
PA2G4	-23.491731000000016
CAPG	-23.448849300000003
FBXL14	-23.44757699999999
MACROH2A1	-23.3511075567
DEK	-23.300235999999998
SDF2L1	-23.298460000000006
SCAF11	-23.283758000000006
HMGB1	-23.267979999999966
CFAP97	-23.248858999999996
HOPX	-23.239494178499996
CDK9	-23.144679999999994
RPN2	-23.108404000000007
SFXN1	-23.10140100000001
SRP9	-23.032870000000003
NAAA	-23.003151999999986
UNC13D	-22.912237999999995
ASB8	-22.83407872779999
UBA1	-22.827209600000003
TMBIM1	-22.80161720000001
IL6R	-22.792829000000005
RNF187	-22.786309999999986
PBRM1	-22.772239877908333
LAMP2	-22.755719999999997
TENT2	-22.736062199999992
STING1	-22.734382999999966
ARL4C	-22.649069999999995
PAG1	-22.64797
CCDC69	-22.613533000000004
ADA	-22.606468800000002
MOB3A	-22.580177000000006
PSMD9	-22.574050859277506
PEX16	-22.46122599999999
MAP2K3	-22.459962000000004
GRK6	-22.449577000000005
PDCD6IP	-22.44921050000002
RASA4	-22.407069635800006
GART	-22.37759353
PSMC5	-22.348309274833525
FLII	-22.299085799999986
RAB8A	-22.224177999999995
DRAP1	-22.160509999999988
SLC25A39	-22.153072770224924
ARPP19	-22.105488900000005
RRM1	-21.996484000000002
SIGIRR	-21.99155904938999
LCP2	-21.980934000000005
HNRNPC	-21.97970161492003
TMX4	-21.969136999999996
RPS6KA3	-21.938840000000006
SIPA1	-21.915577000000013
SIVA1	-21.904950999999983
FYTTD1	-21.900581999999986
BTG2	-21.87699999999998
TINF2	-21.827132752985335
SDF4	-21.81768199999999
SSNA1	-21.749232000000006
VOPP1	-21.697186414529995
H2AZ1	-21.694450000000018
CTSC	-21.67918999999999
GADD45GIP1	-21.589
TNFRSF4	-21.568484
CLK3	-21.53069199741209
SNX1	-21.513744399999993
EBP	-21.5016533
CD320	-21.469775000000006
PEF1	-21.452513999999994
HNRNPF	-21.423787000000004
CAPNS1	-21.419862939178074
DCP1B	-21.320683000000002
MON1B	-21.299750999999986
ABHD3	-21.299223999999995
SINHCAF	-21.287602339999992
TXN2	-21.283540000000002
ORAI2	-21.26905946314426
GMCL1	-21.180138000000007
RPN1	-21.17079799999999
ADAM8	-21.164368200000006
RSU1	-21.14316079999999
PDLIM2	-21.09305198
ARHGAP25	-21.0478352824
LARS1	-20.953079000000017
APOBEC3C	-20.945099999999996
NUDT21	-20.90731799999999
REX1BD	-20.891419
FKBP8	-20.87825790000001
TMEM9B	-20.850870999999984
CREB1	-20.845884940000005
GIT2	-20.80234800849297
RBBP7	-20.799699000000004
NAPA	-20.79340900000001
KRT1	-20.774631399999997
CCND2	-20.72314
APRT	-20.715729999999894
BEX3	-20.68907
SEC11C	-20.65557579999998
GSPT1	-20.60423400000002
SNX20	-20.572987999999995
ABLIM1	-20.568680000000057
CHMP2A	-20.52209099999999
TCF25	-20.473237999999995
LEMD3	-20.472059
HPS1	-20.461353913171152
TLN1	-20.435940800000004
ITPKB	-20.401449999999997
PPDPF	-20.317475999999985
F11R	-20.284616
MOB1A	-20.266459999999967
RELA	-20.26563599502545
MTCH2	-20.258495000000003
EDEM1	-20.232980999999995
ACAP2	-20.198537799999997
PPP4C	-20.190718998863673
SND1	-20.175606200000004
RNF19A	-20.174685000000004
DUSP16	-20.16380000000001
CES2	-20.160884384584
RAB2A	-20.014612999999997
NUDT16L1	-20.00813699999999
PTPN7	-19.995796999999996
ATXN7	-19.984194
ELK3	-19.952208000000006
LMBR1	-19.950678514981007
HM13	-19.927691326599984
LRRFIP1	-19.924251897939996
MVB12A	-19.917066000000005
SF3A1	-19.90270532090001
RBM14	-19.89961000000001
GDPD5	-19.8939107
ADAR	-19.890639000000007
HSP90AA1	-19.888964999999985
PWP1	-19.830295999999997
RNF114	-19.803839999999994
KHDRBS1	-19.74395600000001
CAP1	-19.739766299999985
GLUD1	-19.719932999999983
KLHL21	-19.7095586
NPIPB3	-19.7031838
OSTM1	-19.678275000000006
DOK2	-19.627719
ECHS1	-19.615499999999997
KIAA2013	-19.60527000000002
RETREG3	-19.5530579
PAGR1	-19.5482
STK10	-19.540112000000022
ALDH18A1	-19.536879999999996
FRMD8	-19.53135400508291
DBP	-19.526414000000003
MYADM	-19.521513635124997
SUMO1	-19.464003007835686
TOM1	-19.455386098046006
SEC61A1	-19.374316899999997
PPIB	-19.325898999999993
ATF1	-19.296622999999997
PIM3	-19.29365
LAMTOR4	-19.269338226108857
APBA3	-19.25099699999999
ESYT2	-19.223669
CNNM3	-19.222286000000004
OSTF1	-19.205900000000014
COPS9	-19.176637999999997
PCMTD2	-19.167645199999995
FBXW5	-19.163042999999973
MTMR14	-19.1572659
SLC2A1	-19.152904
SAP30BP	-19.071323766719985
ZDHHC20	-19.049853
RNF38	-19.03861158000001
URM1	-19.033844000000002
PPCS	-19.029186999999993
ANKRD13A	-19.01983499999998
HSPA1A	-19.00225280038798
HNRNPU	-18.983957000000032
MAPK1	-18.95811900000001
CS	-18.905294646599998
NFKB1	-18.896299999999997
TNRC6B	-18.89385399999999
PDE4D	-18.893187600000005
STUB1	-18.887561281000018
TKFC	-18.8840937
SNX5	-18.878328005114696
DDX6	-18.869715
MAP4K1	-18.853528080000018
BIRC2	-18.850837
ZNF362	-18.848825
ELOVL5	-18.844668999999996
IFI27L2	-18.832878
MKLN1	-18.794118000000005
KCNA3	-18.776999999999987
CD63	-18.75423576599779
TNRC6A	-18.7239732
TMEM273	-18.69551
MCRIP1	-18.520172398527002
RRP7A	-18.504990000000006
EIF5A	-18.47411200000002
ANXA7	-18.47306040000001
SLAMF1	-18.466699999999975
SEPTIN2	-18.463848195598416
NME3	-18.45564677
PDXDC1	-18.355232671798404
STK4	-18.35487600000002
UBE2H	-18.31892400000001
AP1M1	-18.31651499999998
XRN1	-18.28445633769698
GDE1	-18.222485
MAP2K2	-18.198465099999993
HDLBP	-18.197096997104936
ZBED1	-18.190369999999994
NEDD9	-18.183949924411472
CBX7	-18.17590299999999
CD7	-18.158974
SLU7	-18.130183000000017
UBE2L3	-18.12326999999999
DNTTIP2	-18.12299200000001
PUM1	-18.115532299999984
SLC38A10	-18.0997372
NFYC	-18.08435900000002
ENOX2	-18.081701248611832
RER1	-18.04514850000001
UBAP1	-18.042500999999994
EML4	-18.014119999999977
PRR5	-17.994944997387847
DDT	-17.991872799999996
PSMC3	-17.98877043399999
TMEM167B	-17.948519999999995
TDP1	-17.944926599999995
TIFA	-17.940500000000007
TMEM106B	-17.913234300000013
RBM34	-17.903890999999987
FLYWCH2	-17.878126
CYB561	-17.872206447670003
ADGRE5	-17.850337999999994
CLPP	-17.83911599999999
CORO1B	-17.805337
CCM2	-17.804817000000014
HEXB	-17.803506
ANP32E	-17.788897999999996
RASAL3	-17.7810834
ATP6V0C	-17.770200000000003
GOLGA7	-17.76884000000001
ZFR	-17.72946499999999
NLRC3	-17.688312
HINT2	-17.68686050000001
GUCD1	-17.68560399834862
NINJ1	-17.67998200000001
TTC39C	-17.66410700000001
CYREN	-17.545290095000006
PRKCB	-17.540408999999997
PPIE	-17.513843600000015
FAAP20	-17.511111
TPD52L2	-17.506492586763002
COQ8A	-17.494583200000008
TM9SF3	-17.45901699999999
PRPF31	-17.456880620000007
DDRGK1	-17.405938999999996
NBR1	-17.351032000000004
ZFP1	-17.349005730000005
MDFIC	-17.343272999999996
CDK4	-17.337169567300002
NMT1	-17.332896999999996
ETHE1	-17.325223
SMARCE1	-17.320276312917997
KLC1	-17.30289398100001
FLI1	-17.295225199999976
MIF4GD	-17.280446000000012
PSMC1	-17.279380000000003
CTC1	-17.275747000000003
PPP1R16B	-17.272959000000007
UBA3	-17.272259000000005
TOLLIP	-17.248052699999995
CD2	-17.2178100000001
TARS1	-17.216696979019694
ZNF207	-17.208273000000005
TOR3A	-17.184821
NIPSNAP1	-17.172695999999995
CCR4	-17.147
EIF4H	-17.144517000000036
PARP1	-17.12245199999998
BCKDK	-17.099406999999996
RAN	-17.079298800000004
CACYBP	-17.07769799999997
ZCRB1	-17.055882999999994
ABCE1	-17.042682000000013
DARS1	-17.024873542739968
GNA13	-16.981531999999987
AP2M1	-16.97463700000003
NUMB	-16.942639004680004
STARD7	-16.934392000000003
ABTB1	-16.93149200000002
CYB561A3	-16.920427851261998
NMRK1	-16.91336000000001
FAM50A	-16.90787307430027
RO60	-16.88197170000001
ATG4B	-16.869298000000008
IKBKE	-16.844568999999993
PRKCH	-16.81689300000005
ACAT1	-16.812182999999997
PHC3	-16.759265
SERBP1	-16.75601400000002
TRIM69	-16.740024002586004
MPP7	-16.73162795721801
NAXE	-16.73071800000001
LYPLA1	-16.722300328947
HSD17B10	-16.721832999999982
GYS1	-16.712798999999997
MPRIP	-16.7046002
CYB5A	-16.699482199999984
SPINT2	-16.6876419882462
ELAC2	-16.678835861748986
RNH1	-16.64402340000001
FURIN	-16.64363500000001
TGFBR3	-16.640581600000004
PLEC	-16.63877570587671
CD3E	-16.616309000000115
CEACAM21	-16.602722157999985
MEF2D	-16.5829894
ZNF672	-16.576033000000002
KPNA1	-16.57444199999999
LRPAP1	-16.537913000000003
GORASP2	-16.526045899999986
UBE2G1	-16.523581000000007
ING1	-16.51914
YDJC	-16.477064999999996
TGIF2	-16.469461829999993
CGGBP1	-16.459599999999995
OAS1	-16.457002182555
PRRC2C	-16.420473213988544
GPAA1	-16.412368999999998
PCYOX1	-16.404757000000004
MTRR	-16.401862407899287
RBL2	-16.392589999999927
ARF6	-16.349000000000018
HAX1	-16.34702299999998
CYB5R3	-16.326767199999992
CCND3	-16.317907500000018
PSMA7	-16.286340000000052
IL18R1	-16.273779999999995
LNPEP	-16.268916999999984
TMEM165	-16.250655634880005
KIAA0319L	-16.249025000000003
POLR2A	-16.235302999999988
SPSB3	-16.235011999999998
SEL1L	-16.230969
INPP5D	-16.224720121999994
MAP4	-16.216704499999995
GLIPR2	-16.205201999999993
DPM3	-16.18882
CCDC85B	-16.186099999999996
NSG1	-16.1837843
DERL2	-16.177217
NR1H2	-16.171691031800023
CTSD	-16.165177779050026
TSR2	-16.161299999999997
MBOAT7	-16.1432030161197
STIP1	-16.101671438189996
HDHD3	-16.092100000000002
RBM39	-16.082606975871528
CAND1	-16.066300000000012
IDS	-16.063828
ZBTB7A	-16.026309999999995
PLIN3	-16.0165783600639
NUDT9	-16.014586
IL9R	-16.0058
FOXN3	-15.998639400000002
CYFIP2	-15.984842017830005
LRP10	-15.9843549
DCTN2	-15.952536074039998
GLTP	-15.947962999999994
DGCR6L	-15.918453999999997
GTPBP6	-15.88118
CSNK2A1	-15.876726999999995
DSTN	-15.856439999999978
MCPH1	-15.854179000000002
CNBP	-15.822070000000053
WDR7	-15.797316169000002
API5	-15.783976999999965
STAG2	-15.739604711702555
ICE2	-15.733910699999996
TRIM22	-15.723087399999997
RGS19	-15.653829999999992
ZDHHC12	-15.64780799999999
TERF2IP	-15.645910999999984
GATA3	-15.619671000000004
DCTN1	-15.5722136085
RUNX1	-15.5550705
INTS8	-15.521982654500007
ZC3H12D	-15.516300000000008
CD300A	-15.498537999999996
RPS6KB2	-15.472586000000007
UMAD1	-15.466609000000012
MSC	-15.463239999999999
PIK3CD	-15.446019999999976
UNG	-15.431618000383843
ENSA	-15.414057204163107
IDH2	-15.412446000000003
TUBB4B	-15.411929999999998
SCNM1	-15.384499000000005
LSR	-15.331266
TMEM35B	-15.311000000000007
CCDC25	-15.290186800000008
EIF4B	-15.288031000000018
PPP1CB	-15.282621999999975
SS18	-15.273672700000006
LITAF	-15.27286325
TRIM26	-15.272094533599507
NPIPB4	-15.260522727356392
TIMM17B	-15.252485000000007
NCOR1	-15.234215599999999
SPRYD3	-15.234110999999992
CD96	-15.230180999999988
DCAF11	-15.222659607754693
ATP6V0E2	-15.203921186999949
CD46	-15.197107508000016
GPR160	-15.194173339411002
PPA2	-15.185521999999978
TRIM8	-15.180139999999994
PPT1	-15.171138999999982
ZYX	-15.163390000000007
DYRK2	-15.148944000000022
RAC1	-15.138387999999964
FAM32A	-15.103888000000012
CRAT	-15.095589
CIB1	-15.094699999999989
PSTPIP1	-15.091724999999997
PIGK	-15.081394000000003
DBNL	-15.074655314570009
GNPTG	-15.073946999999997
SNRNP200	-15.07340099999999
DNAJC17	-15.066308
RPS6KA5	-15.029350999999995
LRRC14	-15.007165
HNRNPUL1	-14.981125508862817
ERICH1	-14.944564499999998
BIN1	-14.942938000000012
KAT6A	-14.917642780000001
PSMD7	-14.907133000000002
DHRS13	-14.903403999999995
ARHGAP9	-14.872309999999999
AKR7A2	-14.85090799999999
NAA38	-14.841879999999989
CLPTM1L	-14.841646999999995
DOCK8	-14.80857070602
TAF2	-14.776295000000001
HMG20B	-14.769720999999997
CD58	-14.768813000000009
GSR	-14.750656999666305
MAEA	-14.741145000000003
PRADC1	-14.727519000000001
POLR2M	-14.686317700000004
TTC7A	-14.680730576690003
FBH1	-14.679998900000001
LBR	-14.67428514282625
SMIM7	-14.662522490270007
AMDHD2	-14.656087318209003
OPA1	-14.633258639000005
ATG9A	-14.629560819999995
WWP2	-14.616548600000002
RARG	-14.6146098
CHCHD5	-14.571863
UBL7	-14.565350830000014
RTCB	-14.533095000000003
FUT7	-14.526870000000002
F8A1	-14.515599999999992
UBE2G2	-14.507236000000006
PAK2	-14.501431000000004
KEAP1	-14.500426999999995
ZSCAN25	-14.4938708
RNF4	-14.485635271060033
CHMP1A	-14.451207099999998
RBMX	-14.444493999999992
RIOX2	-14.443200999999998
MX2	-14.417347000000007
CDS2	-14.391660000000002
HDAC4	-14.371861000000003
RHOA	-14.369107999999983
TPGS1	-14.350449999999995
COPG1	-14.342533635349994
PTTG1IP	-14.309397999681352
SLC66A3	-14.308366999999997
NUCB1	-14.297322962707398
ZNF688	-14.279080999999998
PEPD	-14.239074599999995
TRIP12	-14.223840800000005
WWP1	-14.1988384
WDR43	-14.175366999999994
UBXN1	-14.170721000000015
INPP4A	-14.159844
ANKHD1	-14.156976086762128
ITSN2	-14.12022512711701
