	CD4 minus TA in CFS208 vs CD4 minus TA in Healthy
CYFIP2	-40.11298174982997
RFFL	-39.86537960208324
CNIH1	-39.85874200000001
CALR	-39.63036200000002
NAP1L1	-39.61652710000001
LRRC8D	-39.442126
RGCC	-39.221720000000005
ZCRB1	-38.94869899999999
FIS1	-38.36025599999999
LIMS1	-38.29850300000004
ATP6V1G1	-38.09688999999997
SRSF2	-38.075107799999984
SNRK	-38.039393999999994
HPCAL1	-38.000815972759995
ARHGAP30	-37.68908653623464
ITGAL	-37.344314999999966
STK17B	-37.340190999999976
CNOT8	-37.203714899999994
CNOT2	-36.883668787827474
MZT2B	-36.88113400000003
STAT5B	-36.83861849999997
GTF2A2	-36.75905900000001
TMEM204	-36.75400467994001
SPTBN1	-36.737718199999996
PPP1CC	-36.00950500000002
MAP3K1	-35.98155999999999
CSNK1A1	-35.962289999999996
XPO6	-35.8846999
ERH	-35.548611999999984
CBLL1	-35.491191
CMPK1	-35.36798200000001
CD164	-35.27153199999998
RNASEH2C	-35.15696
SMARCA2	-35.14153169489434
EDEM1	-35.11792500000001
PPP1CB	-34.92719899999997
TMC6	-34.92384899999999
LMBR1L	-34.39653699999998
APBA2	-34.0144771765
FYTTD1	-33.92988799999999
SMAP2	-33.792794000000015
POLR2L	-33.697929999999985
HP1BP3	-33.201021
CXCR5	-33.1806
CHCHD2	-33.00309000000004
ABHD17A	-32.997478
PCMTD2	-32.976637654499996
DPEP2	-32.72376400000002
GPX4	-32.608023
SLC25A6	-32.41429999999991
BLOC1S1	-32.134204000000025
JAK1	-32.089065000000005
PDCD6IP	-32.07512350000002
CORO1B	-31.8893432
NDRG1	-31.82227062735376
CDK9	-31.77498999999999
LBR	-31.747473843851026
FOXP1	-31.58165420000003
AKR1B1	-31.418008000000015
CIAO2A	-31.379035999999985
PRDX5	-31.36302999999998
EIF3K	-31.343113000000045
PCSK5	-31.235119299999994
SRP72	-30.94143000000001
PSMC6	-30.723210000000016
TRAPPC5	-30.673255999999995
TMEM248	-30.463247999999993
ADAR	-30.42728720000001
TMC8	-30.390957622300007
MACROH2A1	-30.232360856700012
TMCO1	-30.22161899999999
GRAP	-30.207564999999995
PPP6C	-30.15122000000001
SORL1	-30.146656999999976
RAD21	-30.07030499999999
KLF3	-29.969759999999994
CCR9	-29.937257069319642
MOB1A	-29.852812999999998
RGS10	-29.754310000000004
CDCA7L	-29.741405
SYNE1	-29.687609676361006
MYADM	-29.622818907413
GIMAP6	-29.561350000000004
CALM3	-29.50745219999999
SLX1A	-29.26472047217998
SELENOH	-29.175382999999954
GTF3A	-29.137785000000065
C12orf57	-29.069761
BIRC2	-28.9623063405
SH3BGRL	-28.886860000000013
DNMT1	-28.60182180000001
RNASET2	-28.46548800000005
POLR2J3	-28.4000281
ITPKB	-28.258259999999993
GIMAP2	-28.208810000000028
BOLA2B	-28.179789999999997
FAM117A	-28.025934999999997
DRAP1	-28.011654207999996
TPP2	-28.00865069999999
ANKH	-27.998037935310016
TRA2A	-27.8779589909
JUND	-27.812599999999946
DEK	-27.776627782489996
CERKL	-27.684383200000006
EIF4B	-27.50901980000002
STAT1	-27.408754235858794
INTS8	-27.396277049557
RASA4	-27.364759899999996
ARRDC3	-27.24514600000002
IPCEF1	-27.09668699999999
CNST	-26.977839999999993
PIM2	-26.900449999999978
SP3	-26.864209000000017
SNRPD3	-26.863207000000003
AKTIP	-26.848565000000008
TMPO	-26.673049
PCBP2	-26.630064307856657
RAB6A	-26.575763999999992
CREB1	-26.530300000000004
ATRAID	-26.513348430922733
GIMAP7	-26.429999999999836
TRIM14	-26.27425000000001
ATP6V0E2	-26.233343186999946
RBIS	-26.170128000000005
P2RY10	-26.01991000000001
NDFIP1	-25.89514899999999
TLK1	-25.817990999920546
TCF3	-25.73202679241955
ACTR2	-25.681049
GRK2	-25.67250630000001
PDE7A	-25.650908
RBM3	-25.482967000000002
CNOT7	-25.44957500000004
TRIM28	-25.394638
STAT6	-25.274801999999994
PYCR2	-25.245346999999995
COPS9	-25.23054380000002
NSA2	-25.176819999999992
ARMH1	-25.16680790063719
ANP32A	-25.15432299999999
SPATA13	-25.111418999999998
SAMHD1	-25.05634599999999
G3BP2	-25.04185576000002
ANP32B	-24.88957599999999
ERCC5	-24.809457000000002
ARIH1	-24.793264308799998
CHI3L2	-24.6358466065303
PLCG1	-24.5972387
RAB37	-24.587359109999994
TMEM156	-24.52456
PDE3B	-24.495649999999998
ABRACL	-24.38945799999999
CCNI	-24.376460000000037
FXYD2	-24.36574759999999
TSNAX	-24.357723999999997
PRKCB	-24.244736999999986
PAGR1	-24.2145
MAT2B	-24.19470799999999
STK4	-24.144047999999998
SIPA1	-24.03561200000003
VASP	-23.983188999999996
ARHGEF18	-23.899840000000005
MYH9	-23.869913000000025
AP2S1	-23.808701732650007
MPI	-23.77359692663201
SUMF2	-23.694524199392333
APRT	-23.692665999999917
WDR46	-23.631067540545025
TMEM14B	-23.575267000000025
ZC3HAV1	-23.516730600000002
STAG2	-23.4169009023653
METTL26	-23.396456999999984
MAX	-23.39251900000002
ARRB2	-23.263567999999985
HECA	-23.203599999999994
TOR1AIP1	-23.178999017382893
TSPAN7	-23.039200000000005
SNRPE	-23.03015199999996
ERAP1	-22.701995050000008
TBC1D15	-22.671629300000006
ADORA2A	-22.667709395855212
DENR	-22.50766399999999
UXT	-22.48034099999998
UBTF	-22.237356959166576
UXS1	-22.234847100000025
MALSU1	-22.23381700000001
WDR82	-22.19605489999998
RNF126	-22.000952999999996
EVI2A	-21.834789999999998
SMCHD1	-21.669808500000002
PYURF	-21.638699999999986
STYX	-21.579027
WDR1	-21.560934900000063
SRPRB	-21.55981900000001
SUMO1	-21.545890999999983
VPS4B	-21.502916999999982
ADCY7	-21.500730299999987
PCMTD1	-21.49824199999999
ZFP1	-21.466099730000003
RAB5B	-21.463048
BDH1	-21.45204682
CTDSP2	-21.27809400000001
HSPB1	-21.19659999999999
EIF3E	-21.17972419999998
PCNP	-21.159696999999994
SELENOW	-21.124693000000036
RETREG3	-21.071297000000015
FUS	-21.0405715
TMEM106B	-20.974962000000005
SLC25A46	-20.953891012173997
ZNF414	-20.9122669
TACC3	-20.87308180000001
TMEM199	-20.854275
ARHGDIA	-20.844488400000017
TRIP12	-20.767874300000003
TCEAL8	-20.751299999999986
SMN2	-20.713659445502927
JAK3	-20.322206006185205
SRSF3	-20.283081100000032
H1-3	-20.235499999999988
SDHAF3	-20.227370000000004
UBE2N	-20.189240000000012
ABTB1	-20.17081199838489
ICAM2	-20.049273000000028
FAM133B	-19.992572000000003
CCNC	-19.981464278000004
ATG9B	-19.9478178
CARD16	-19.901339999999998
C16orf74	-19.886678999999997
FAM107B	-19.84115399999996
USP15	-19.827999004999995
RAB43	-19.743438540999996
EIF2S3	-19.71027699999999
TXK	-19.64131123000001
ALKBH7	-19.631134000000017
MT1X	-19.615438999999988
BTBD11	-19.595222999999997
RDH11	-19.49179318028
PKN1	-19.478546003833145
CBX7	-19.452244999999998
XPOT	-19.450078999999995
PNRC2	-19.421223999999995
BUB3	-19.40730000000002
YWHAZ	-19.386204999999904
ZNF655	-19.368930300000017
CGGBP1	-19.341043000000013
STAT2	-19.22793299999998
GNB1	-19.177993999999984
CTC1	-19.138186000000005
CCNL1	-19.019592990579994
PNPLA2	-18.897268000000004
TFPT	-18.896573995270145
FKBP8	-18.876035
TMEM45B	-18.85657
RAP1A	-18.82745
IL6R	-18.731266519422
DCAF13	-18.681295389999995
CLPP	-18.680173999999965
IRF9	-18.648041940000013
DNPH1	-18.633043
DPM3	-18.609750000000012
PNRC1	-18.608299999999872
BIN1	-18.578961298102
NUP50	-18.570181000000005
PPP1R35	-18.552203000000006
ARPP19	-18.515785756
H1-2	-18.468399999999995
SNRPB2	-18.42152
LARS1	-18.38685500000001
CDV3	-18.370480999999998
HIF1A	-18.352747715482877
DR1	-18.307484000000002
FAAP20	-18.269061999999998
SNRNP200	-18.24747699999999
PLSCR3	-18.225762000000003
NUDT21	-18.219858999999985
PACS1	-18.20326109999999
PGK1	-18.179065000000037
BAX	-18.128634000000034
SLC8B1	-18.087736540999998
C4orf3	-18.084379999999996
ZNF146	-18.08416099999998
DECR1	-18.070138000000014
KDM5C	-18.037645044
LYPLA1	-17.942935000000006
KHDRBS1	-17.93185000000001
FBH1	-17.9208347
HSPD1	-17.903146610000007
SMAD2	-17.894036
ZNF506	-17.893234
TRIM27	-17.883808399415884
OSTM1	-17.808939000000002
UBE2F	-17.805726272440012
BNIP2	-17.803041636779994
CNOT1	-17.756630099999995
ESYT2	-17.70675550999998
PTGER4	-17.652849025960016
RCAN3	-17.64899700000001
PHPT1	-17.62442814
DOCK10	-17.558693000000005
PQBP1	-17.48602439000001
SPOCK2	-17.48571757900004
ZNF480	-17.477489000000006
SLC44A2	-17.444380600000017
MED28	-17.430018800000006
U2AF1	-17.411876951915524
C4orf48	-17.39974500000001
ZBTB1	-17.385143300000017
PSMG2	-17.353572
RNF38	-17.281507782400002
SSB	-17.2502798
ARRDC2	-17.237976000000003
PRPF8	-17.219634600000006
KRT73	-17.2144907
TMIGD2	-17.181169000000008
PRKD3	-17.155442808999997
LSM7	-17.154334000000006
GMCL1	-17.09842286446
RASA3	-17.057310400000006
CCDC69	-17.047196
TRAPPC6A	-17.03975600000001
XRN2	-16.864400000000003
SRRM2	-16.856345599999983
PKIA	-16.820430000000005
UBE2D3	-16.814456200000052
CUL5	-16.775040999999995
CHMP3	-16.744329000000008
KRIT1	-16.644174099999997
SMIM4	-16.577746
RWDD1	-16.576895999999998
MOB4	-16.559443
MAD1L1	-16.52887177451703
SFI1	-16.500457771730012
PDK1	-16.495989
THOC7	-16.471913
PBXIP1	-16.46896000000004
CREM	-16.443407379999996
TGIF2	-16.44089053
XRCC5	-16.40593100000001
LSM5	-16.351935999999995
YBX1	-16.346278000000012
CYTIP	-16.305081
TXN2	-16.29554999999999
HNRNPH1	-16.255432652129997
STK26	-16.24204300000001
AKAP8	-16.227406
NIT1	-16.193273311
CYLD	-16.185670845840008
ZMYND11	-16.06947084
S1PR4	-16.067767000000117
ABI1	-16.050522209999983
RB1CC1	-16.044619
UBE2Q1	-16.027212000000002
VIPR1	-16.017301000408345
HDAC2	-16.017203999999992
ECI1	-16.001978
YEATS4	-15.984594982162804
IRAG2	-15.970163500000005
ASF1A	-15.963669999999993
DENND4B	-15.959762000000001
HNRNPUL1	-15.95728513445394
SH3GLB1	-15.89500430000001
PGLS	-15.844498999999999
CDK4	-15.804555687000004
ICOS	-15.799500000000002
ARHGAP9	-15.788342006637976
DPM1	-15.768152000000015
RPIA	-15.764200000000002
HDAC1	-15.758343000000025
SBF1	-15.755024000000006
CAPRIN1	-15.748114556000004
SERF2	-15.69640500000014
SYPL1	-15.668322981876003
AMFR	-15.656570400000007
CBX4	-15.616479000000002
EPHX2	-15.613812000000017
FXYD5	-15.561500999999907
PSD4	-15.551381009999997
RHOF	-15.539332000000002
CCT2	-15.531275000000008
TRIR	-15.510003680068024
ZSCAN25	-15.503475000000002
TFAM	-15.49156
DENND5A	-15.440459
MCRIP1	-15.388657998527009
DGKD	-15.375083391969412
BACH1	-15.332645426220203
SMARCC1	-15.312246000000002
RNF114	-15.301090949263184
TGOLN2	-15.27928
RUNX1	-15.2557035
U2SURP	-15.239261900000002
TNFAIP8L2	-15.190000000000012
TMEM167B	-15.180809999999994
SEC63	-15.154902100000001
GPR160	-15.109541439411
ANKRD30BL	-15.104377999999999
LAMTOR2	-15.084501999999986
LASP1	-15.068163167917298
ATM	-15.067443556699999
MTSS1	-15.059298899999995
MCCC2	-15.026562257311596
DNAJC10	-14.985677299999999
TM9SF3	-14.951414
SCAND1	-14.938029999999983
NUMA1	-14.935204899999988
PCBP1	-14.902999999999963
ITGA6	-14.877863587499995
ZNF430	-14.85734978799556
ZCCHC10	-14.843703970200004
TIMM8B	-14.817800002063372
BRD2	-14.797818161641828
VPS36	-14.797359999999998
LEMD3	-14.783233000000006
CHORDC1	-14.775758169999996
GRK6	-14.736489999999975
MEF2D	-14.7246126
REPIN1	-14.719365809999985
YTHDC1	-14.674513999999988
PELI1	-14.66104
SRPK2	-14.654022200000014
UBA5	-14.607475484000002
TJP2	-14.552277359999998
TSPAN3	-14.525583400000002
C12orf73	-14.5239664
NBPF15	-14.506934960000002
ACAP2	-14.485196000000002
SSH2	-14.456367999999998
CSK	-14.43562590339998
RNF167	-14.418402300000004
SNRPF	-14.402477000000005
SAP18	-14.375831042403519
PDS5A	-14.359930800000008
PSMA1	-14.331499000000008
ASB8	-14.294928153799987
H2AC7	-14.291399999999998
ZNF644	-14.198088500000004
MAL	-14.196068999999994
RIDA	-14.188445999999999
NFYB	-14.180997099999992
RRM1	-14.12323
WDR3	-14.114049999999999
ST13	-14.097932000000014
SNRPD1	-14.097620000000006
VBP1	-14.095754000000014
RAB11B	-14.087782000000004
ATP6V0C	-14.048700999999994
BEX4	-14.014130000000009
RAPGEF6	-13.982194102805423
RASA2	-13.9802760066
GIPC1	-13.976086499999997
RAVER1	-13.967295588789998
PAQR8	-13.952191000000006
CCAR2	-13.920944000000006
NFRKB	-13.903246100000004
MFNG	-13.874238999999989
GZMM	-13.861020000000003
NUDT9	-13.857119000000004
ANXA11	-13.837773772031
MAP7D1	-13.828135899999992
RELA	-13.80700187498131
MEAF6	-13.803646600000036
SVBP	-13.803063999999985
SERBP1	-13.789979000000045
RMND5B	-13.780868300000005
UBA2	-13.680794000000006
C19orf25	-13.67912599999999
NDUFA9	-13.673365999999987
WIPI2	-13.65677389999999
C16orf54	-13.632000000000005
DIAPH1	-13.616439999999997
KANK1	-13.590033199999997
CDC40	-13.557407999999999
NR2C1	-13.54967143134172
GTF2H1	-13.541857999999998
PDIK1L	-13.516269999999995
RAB8B	-13.51083899999999
YWHAE	-13.505011199999998
SYNRG	-13.501030800000002
SRSF5	-13.493558055360154
KIF22	-13.477502999999984
NUTF2	-13.466769000000006
ZNF101	-13.438018
H2AC6	-13.411741029999998
CCND3	-13.39962250000002
TAPT1	-13.393219138740001
HPCAL4	-13.374139992322323
ABCE1	-13.339376999999999
NEK7	-13.329422000000008
MAU2	-13.327558600000003
GMIP	-13.316367999999997
ADH5	-13.311120000000003
ARID5A	-13.311063000000019
HNRNPF	-13.278189999999995
XPO5	-13.230214289000001
SLC25A39	-13.190099379492594
LAIR2	-13.186856536278878
AIDA	-13.169514999999997
ADSL	-13.163197000000011
TIMM10B	-13.161807000000003
FOXO1	-13.147129999999997
MSL3	-13.110113995145397
TCP11L2	-13.100276000000001
EPHA4	-13.073212999999992
PHC3	-13.047362800000002
PAK2	-13.047331000000003
ARHGAP4	-13.035962616467899
PTBP3	-13.030804341387
PLAC8	-12.98004499999999
NEK9	-12.935141000000002
ZBED5	-12.880396699999999
DDT	-12.850770799999992
PSMC2	-12.846550000000008
LSM1	-12.836124999999988
CDKN1B	-12.814639999999997
UBXN7	-12.796800999999991
NETO2	-12.796071000000003
SET	-12.790518820000017
CPSF6	-12.774651000000006
PSMF1	-12.744737553880015
CSTB	-12.74269000000001
PLEKHB1	-12.73709389999999
ZNF518B	-12.735522000331114
ATG9A	-12.719842199999995
ZNF573	-12.694778549061759
SLC35E2B	-12.68197
CEMIP2	-12.678252499999996
TBC1D4	-12.644605330000005
BACH2	-12.62845299744271
NPAT	-12.625085880910987
BAZ1A	-12.624428799999997
AIMP1	-12.616889999999998
TMEM229B	-12.565479934999999
SEC11C	-12.5627147
ETHE1	-12.5481373
NUP210	-12.541555200000012
MKNK2	-12.536480963646994
NUDCD2	-12.484559999999988
KIAA0100	-12.465786000000001
THAP12	-12.461804999999998
GPAA1	-12.456994000000009
USP46	-12.44436478
ZNF585A	-12.436378299999994
ABI2	-12.427255099999996
DDX39B	-12.426342022285624
HSDL1	-12.4052923
NMT1	-12.38446299999999
LCLAT1	-12.301123697080001
TUT4	-12.292470400000006
FOXJ3	-12.282263832800005
TMEM263	-12.274469000000003
LZTS2	-12.247355899999999
MECP2	-12.246833500000005
BNIP3	-12.233588999999995
DNAJC16	-12.231543645810001
TMED4	-12.212736999999997
ARPC5	-12.204743999999948
EXOSC4	-12.203976
ITPA	-12.169511
EIF3G	-12.165820000000025
PCYOX1	-12.149136003113586
CSNK1G2	-12.128698000000014
ENOPH1	-12.116879999999995
C11orf98	-12.075537000000011
WDFY1	-12.074607000000007
LAGE3	-12.036200000000001
CARD8	-12.034529191985257
GPCPD1	-11.991531000000002
HAPLN3	-11.947619999999993
DCAKD	-11.916025999999997
SLC7A6	-11.862575590599999
ZNF836	-11.850346000000002
GRPEL2	-11.849115999999995
WDR12	-11.832162999999998
GNB2	-11.822296888389978
MTCH2	-11.794497
CRELD1	-11.789185999999997
DDRGK1	-11.770545999999996
PDE4D	-11.745908300000007
UBE2G2	-11.724601999999997
EIF4EBP3	-11.721099999999996
NBDY	-11.697858358999994
ICE2	-11.695388999999999
PHF12	-11.67472241142
ACYP1	-11.669135999999998
ABHD3	-11.652699999999996
SFXN1	-11.634795000000011
GNPDA1	-11.6344055
BZW2	-11.634349983263995
TIMM13	-11.613500000000002
CRTC3	-11.608607499999998
HLA-DOA	-11.600263600000002
TRABD2A	-11.596516999999992
POLR2K	-11.590718999999993
UBA6	-11.567509999999992
GIMAP8	-11.5627
MARF1	-11.560000372000001
CNOT6	-11.548697598878029
HDGFL2	-11.526219999999999
NOL11	-11.524766999999983
CNIH4	-11.521979000000016
CREBZF	-11.521404000000004
MX1	-11.506374199999996
DENND1C	-11.487744000000006
BCL11B	-11.485727999999998
PUM1	-11.477915999999993
ACTR3	-11.458875999999975
CD3G	-11.445223999999996
STARD5	-11.4343007
USP3	-11.411112299999985
MYCBP2	-11.401433100000006
EBP	-11.390017299999982
SVIP	-11.38933800000001
FCGRT	-11.365193982861605
LDLRAD4	-11.36263000000001
TBRG1	-11.361240000000002
ZNF451	-11.325473708771
NCOA2	-11.318821999999997
CEPT1	-11.318113011151894
KLHL8	-11.290391199999997
GUCD1	-11.289207079999997
ZNF395	-11.265055999999998
FZR1	-11.236145414790006
PSPC1	-11.231172999999998
WDR81	-11.207395940889997
POU2F2	-11.202159274399996
TMX1	-11.199005
POLR1B	-11.184062222741343
NUP214	-11.163428366269002
RPL22L1	-11.150118899999994
PARP1	-11.134680700000004
KBTBD3	-11.122028000000004
PPP4R2	-11.114042999999995
FAM160B1	-11.095129999999997
USP22	-11.08630049966078
KLHL36	-11.0760571
STAT5A	-11.043798999999993
NLRC3	-11.038107999999994
EID1	-11.025499999999994
ZNF202	-11.021974234000002
USP19	-11.017553499000002
SNN	-11.0121
DYRK2	-10.967341000000012
FLYWCH2	-10.967164999999998
ABHD14B	-10.962930999999998
SLC30A6	-10.958912640000001
RFXANK	-10.951490300000003
CCDC25	-10.923284800000005
FBXL14	-10.918084
DTD2	-10.892131000000001
G3BP1	-10.856262000000015
COMMD10	-10.853773740220003
NOP2	-10.845287622883262
ST6GALNAC1	-10.835667
GIT2	-10.829662999999982
VAMP5	-10.813330000000015
LARP4B	-10.792259999999999
THAP1	-10.774013000000004
ZSWIM7	-10.77201010481
SMNDC1	-10.732721600000001
OCEL1	-10.71314805700359
GADD45GIP1	-10.6978
MEX3C	-10.687464066960002
TRIB2	-10.683409999999995
DDX46	-10.675441769999999
ZBED1	-10.65577
RTF1	-10.652905999999994
ATXN7L3	-10.643502800000002
FH	-10.629682999999996
ANKRD55	-10.599363
DENND2D	-10.591530000000034
LZTR1	-10.579024299999999
SNX15	-10.578540999999998
PIAS2	-10.574516
TAF9B	-10.56357100000001
UBE2D1	-10.550549
SRPK1	-10.5289213
AMPD2	-10.502258664000003
BTLA	-10.501085
AMD1	-10.46531499999999
SRRT	-10.456594033049008
PAXBP1	-10.451062999999998
TKT	-10.421489246019618
TMEM120A	-10.407015000000001
GATD3B	-10.383222400000008
SETD3	-10.378544311420193
PAFAH2	-10.375551999999995
SLC37A3	-10.375417200000001
AKAP17A	-10.373159999999999
MEGF6	-10.369738000000002
NCOA4	-10.361724280999994
GCDH	-10.348267762320098
KRAS	-10.348094000000003
KDELR2	-10.345089000000016
PFDN2	-10.33337499999999
TNFRSF14	-10.296765937000004
CCND2	-10.29597600000001
PLEKHM1	-10.291771725528704
EDF1	-10.279549999999972
EHMT2	-10.27197297963614
CPSF2	-10.250883999999992
NUP133	-10.242622999999998
GTPBP4	-10.238584999999993
SNAP23	-10.230473144728478
RNF214	-10.222362100000002
ULK3	-10.198976301653005
FBXO22	-10.191989999999997
SGTB	-10.167419999999996
CFP	-10.162980000000001
BAP1	-10.140514999999999
RNF144A	-10.134843000000004
AASDHPPT	-10.113754000000014
SIKE1	-10.103803999999997
EIF2B5	-10.083234279
MCRIP2	-10.0684131
NCAPD3	-10.066775000000002
LSM6	-10.037685100000004
NUDT4B	-10.034159999999998
GCC2	-10.023048799999998
PIM3	-10.018809999999988
PLLP	-10.015795999999998
VHL	-10.003160000000005
MRI1	-10.002124999999996
GRB2	-9.99127199999998
VEGFB	-9.97956700000001
GPATCH2L	-9.9771102
TRMT13	-9.972916999999999
MAP4K2	-9.969515627320014
ARHGEF11	-9.968536000000004
HVCN1	-9.962323998506932
RAP1GDS1	-9.92254260134127
PEX19	-9.921988870999996
CHCHD5	-9.920579000000004
NDUFA6	-9.91935100000002
UFM1	-9.905749
KLHL6	-9.902657999999999
CR1	-9.900878808572035
DPP9	-9.890077999999999
PSMB4	-9.889429
EFR3A	-9.88893272
AIF1	-9.870087600000002
CASP2	-9.863130999999996
GNA13	-9.85375599999999
NUDT16L1	-9.843955999999991
MTREX	-9.837014700000005
C1D	-9.836375999999994
TBL1XR1	-9.825874700000007
MRTFA	-9.808417025587001
CLASP2	-9.790298
HSF2	-9.760810000000006
DNMT3A	-9.7302268
H2AC19	-9.727899999999998
NCOA3	-9.714548000000004
HEATR5B	-9.711412999999997
CEP95	-9.700155799999997
ENOX2	-9.68513299861183
RIT1	-9.679106
NUP98	-9.675963739632131
POLR2A	-9.673929999999991
NECAP2	-9.656231800000029
HERC4	-9.6554313
DNAJC14	-9.651822
SESTD1	-9.6290852
RILPL2	-9.616600000000002
SLC12A6	-9.609829823999043
KLF7	-9.604848900000004
HEBP2	-9.596232000000022
GCA	-9.578000009893465
CHD4	-9.566358000000008
MTRF1	-9.537478000000004
PIK3CA	-9.536010000000001
SHMT2	-9.534253997499995
MSH6	-9.527855996882998
USP7	-9.52632860825095
ZNF394	-9.496564000000006
HIVEP2	-9.485975
OAZ2	-9.481262000000001
TMEM128	-9.4799
R3HDM1	-9.476106599999998
API5	-9.471612000000007
PEX2	-9.46992379999999
EXOC5	-9.469655096922871
