	Enrichment	P-Value	Q-Value
GOBP_NEGATIVE_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY	0.721697995303584	0.1	1.0
BIOCARTA_CTL_PATHWAY	0.7208550869549648	0.1	1.0
HP_REFRACTORY_ANEMIA	0.7179409394150092	0.1	1.0
WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE	0.7166374076458205	0.1	1.0
SCC2 Hippo Pathway	0.7161367532252387	0.1	1.0
GOMF_MHC_CLASS_II_PROTEIN_BINDING	0.7155914277536769	0.1	1.0
HP_CHRONIC_LYMPHOCYTIC_MENINGITIS	0.7145242217990427	0.1	1.0
IPA_TBX2_UP	0.7117942547779968	0.1	1.0
GOBP_CLEAVAGE_FURROW_FORMATION	0.7116824226346432	0.1	1.0
GNF2_MKI67	0.7116452161482935	0.1	1.0
IPA_E2F2_UP	0.7112077335045129	0.1	1.0
GOMF_HEMOGLOBIN_BINDING	0.7094603687256341	0.1	1.0
GOBP_IMMUNE_COMPLEX_CLEARANCE	0.7079744812883021	0.1	1.0
REACTOME_SUMO_IS_PROTEOLYTICALLY_PROCESSED	0.7067449833045991	0.1	1.0
IPA_ATF6_DN	0.7045110366252152	0.1	1.0
GOMF_NITRIC_OXIDE_SYNTHASE_REGULATOR_ACTIVITY	0.7044729690809856	0.1	1.0
GOBP_PROTEIN_TRANSPORT_TO_VACUOLE_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.7031484556764473	0.1	1.0
GOCC_CYTOLYTIC_GRANULE	0.702835997052714	0.1	1.0
GOBP_DTMP_METABOLIC_PROCESS	0.7027917928019528	0.1	1.0
KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN	0.7027409352362187	0.1	1.0
GOBP_DNA_CYTOSINE_DEAMINATION	0.702027156199248	0.1	1.0
REACTOME_LRR_FLII_INTERACTING_PROTEIN_1_LRRFIP1_ACTIVATES_TYPE_I_IFN_PRODUCTION	0.7019146279328536	0.1	1.0
GOCC_UNCONVENTIONAL_MYOSIN_COMPLEX	0.7018980466837413	0.1	1.0
GOBP_NK_T_CELL_PROLIFERATION	0.7009617904035795	0.1	1.0
GNF2_CDC20	0.7009362047620807	0.1	1.0
GOBP_PURINE_DEOXYRIBONUCLEOTIDE_CATABOLIC_PROCESS	0.6990550736732446	0.1	1.0
GOBP_RESPONSE_TO_IRON_II_ION	0.6985662432172784	0.1	1.0
GOCC_PHOTORECEPTOR_RIBBON_SYNAPSE	0.698304856719991	0.1	1.0
HP_CENTRAL_HETEROCHROMIA	0.6980817428836692	0.1	1.0
GOCC_COMMITMENT_COMPLEX	0.6972242126846694	0.1	1.0
HP_ABNORMAL_CARDIOMYOCYTE_MORPHOLOGY	0.6963000924401652	0.1	1.0
GOBP_REGULATION_OF_DEVELOPMENT_HETEROCHRONIC	0.6942740983474122	0.1	1.0
IPA_RAD21_UP	0.6941757618849969	0.1	1.0
HP_SPONDYLOLYSIS	0.6927164449149233	0.1	1.0
GOBP_MODULATION_BY_SYMBIONT_OF_HOST_APOPTOTIC_PROCESS	0.6910839828510397	0.1	1.0
GOMF_KAINATE_SELECTIVE_GLUTAMATE_RECEPTOR_ACTIVITY	0.6903398223325334	0.1	1.0
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_MYELOID_CELLS	0.6890950363708538	0.1	1.0
REACTOME_ENOS_ACTIVATION	0.688970382449548	0.1	1.0
IPA_TFAM_UP	0.6885017510242912	0.1	1.0
REACTOME_SUMO_IS_TRANSFERRED_FROM_E1_TO_E2_UBE2I_UBC9	0.6881937709725975	0.1	1.0
REICHERT_MITOSIS_LIN9_TARGETS	0.6881374976756793	0.1	1.0
GOCC_BORC_COMPLEX	0.6848772027366498	0.1	1.0
GNF2_HMMR	0.6848596929142169	0.1	1.0
GOMF_C_X3_C_CHEMOKINE_BINDING	0.6844483993882512	0.1	1.0
GOCC_UBIQUITIN_CONJUGATING_ENZYME_COMPLEX	0.6842851720201838	0.1	1.0
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.6831942949408536	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE	0.6817450021478382	0.1	1.0
GOBP_PURINE_NUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS	0.6809623885952517	0.1	1.0
GOCC_SIGNAL_PEPTIDASE_COMPLEX	0.6803798218683508	0.1	1.0
GOBP_GLYCOLYTIC_FERMENTATION	0.6803335058459139	0.1	1.0
CHIN_BREAST_CANCER_COPY_NUMBER_DN	0.6802962404097427	0.1	1.0
GNF2_CCNB2	0.6798256073400578	0.1	1.0
GOMF_CROSSOVER_JUNCTION_ENDODEOXYRIBONUCLEASE_ACTIVITY	0.6790683396829219	0.1	1.0
MODULE_4	0.6779053580677862	0.1	1.0
GOCC_TRANSLOCON_COMPLEX	0.677461629426959	0.1	1.0
GOCC_NLRP3_INFLAMMASOME_COMPLEX	0.6761635782357295	0.1	1.0
BIOCARTA_ASBCELL_PATHWAY	0.6754972285342282	0.1	1.0
GOBP_DE_NOVO_CENTRIOLE_ASSEMBLY	0.6752102253615303	0.1	1.0
GOCC_DEUTEROSOME	0.6751648055965762	0.1	1.0
SA_FAS_SIGNALING	0.6748435727504217	0.1	1.0
GOMF_CCR5_CHEMOKINE_RECEPTOR_BINDING	0.6743596241963983	0.1	1.0
HP_HEINZ_BODIES	0.6739897930536203	0.1	1.0
GOBP_ZYMOGEN_INHIBITION	0.6727916627122336	0.1	1.0
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_OXIDATION_OF_A_PAIR_OF_DONORS_RESULTING_IN_THE_REDUCTION_OF_MOLECULAR_OXYGEN_TO_TWO_MOLECULES_OF_WATER	0.6727590045684213	0.1	1.0
GNF2_TTK	0.6724614022288405	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_SISTER_CHROMATID_COHESION	0.6723478513692192	0.1	1.0
IPA_IRF2_UP	0.672038692403636	0.1	1.0
HP_NEOPLASM_OF_THE_THYMUS	0.670120456259322	0.1	1.0
GNF2_ESPL1	0.669703488430818	0.1	1.0
HP_SUPRANUCLEAR_OPHTHALMOPLEGIA	0.6696554203220443	0.1	1.0
GOBP_RESPONSE_TO_OLEIC_ACID	0.6689008247558336	0.1	1.0
REACTOME_PHOSPHORYLATION_OF_EMI1	0.6685459392208457	0.1	1.0
HP_SPOTTY_HYPERPIGMENTATION	0.6679735895885849	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS	0.6672957593769272	0.1	1.0
GOBP_REGULATION_OF_UBIQUITIN_SPECIFIC_PROTEASE_ACTIVITY	0.6669013989949062	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_CALCIUM_ION_CONCENTRATION	0.6659976987477515	0.1	1.0
GOBP_REGULATION_OF_CD40_SIGNALING_PATHWAY	0.6657442286678262	0.1	1.0
GNF2_H2AFX	0.6656979147593004	0.1	1.0
GOCC_SPERMATOPROTEASOME_COMPLEX	0.6651866801211495	0.1	1.0
GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION	0.6649241368055688	0.1	1.0
HP_LARGE_CAFE_AU_LAIT_MACULES_WITH_IRREGULAR_MARGINS	0.6644197749297381	0.1	1.0
IPA_CTCF_UP	0.6640535502176012	0.1	1.0
GNF2_BUB1	0.6636996851499625	0.1	1.0
GOBP_CLATHRIN_COAT_DISASSEMBLY	0.6635548429358978	0.1	1.0
HP_APLASIA_HYPOPLASIA_OF_THE_GALLBLADDER	0.663547734953358	0.1	1.0
REACTOME_CALCINEURIN_ACTIVATES_NFAT	0.6621456049445928	0.1	1.0
MODULE_82	0.6617094688289809	0.1	1.0
GOCC_VCB_COMPLEX	0.6613513741568827	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION	0.6609557022692151	0.1	1.0
GOBP_PEPTIDE_MODIFICATION	0.6608247135954929	0.1	1.0
GOMF_INTERLEUKIN_1_RECEPTOR_ACTIVITY	0.6605712459359147	0.1	1.0
HP_PARATHYROID_CARCINOMA	0.6602220009283005	0.1	1.0
GOBP_PURINE_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS	0.6592797266787472	0.1	1.0
IPA_CIITA_DN	0.6581583548740407	0.2	1.0
HP_ABNORMALITY_OF_THE_FORAMEN_MAGNUM	0.6576659158830205	0.1	1.0
GOBP_SPINDLE_ASSEMBLY_INVOLVED_IN_MEIOSIS	0.6545993189204277	0.1	1.0
GOBP_TORC2_SIGNALING	0.6543577632693204	0.1	1.0
HP_SHAGREEN_PATCH	0.6537737118255961	0.1	1.0
GOCC_ARYL_HYDROCARBON_RECEPTOR_COMPLEX	0.653591183356757	0.1	1.0
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN	0.6531671253169218	0.1	1.0
HP_IMPAIRED_USE_OF_NONVERBAL_BEHAVIORS	0.6524557720736813	0.1	1.0
HP_INCREASED_SERUM_SEROTONIN	0.6518407485938248	0.1	1.0
GOBP_MACROPHAGE_INFLAMMATORY_PROTEIN_1_ALPHA_PRODUCTION	0.6517940938198281	0.1	1.0
GOMF_C_X_C_CHEMOKINE_BINDING	0.6488736389759672	0.1	1.0
IPA_EOMES_DN	0.6488274850949587	0.1	1.0
GOBP_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	0.6487688092355035	0.1	1.0
LI_PBMC_ZOSTAVAX_AGE_25_40_AND_60_79YO_1DY_UP	0.6484370884794367	0.1	1.0
HP_FINGER_SWELLING	0.6473207463460412	0.1	1.0
ZHAN_MULTIPLE_MYELOMA_PR_UP	0.6469721569807312	0.1	1.0
GOCC_U7_SNRNP	0.646254454886383	0.1	1.0
HP_LACRIMAL_DUCT_ATRESIA	0.6459826321764075	0.1	1.0
HP_EXERCISE_INDUCED_MUSCLE_STIFFNESS	0.6459198145059312	0.1	1.0
GOCC_TRANSCRIPTION_FACTOR_TFIIA_COMPLEX	0.6455218618580864	0.1	1.0
KAZMIN_PBMC_P_FALCIPARUM_RTSS_AS01_AGE_UNKNOWN_CORRELATED_WITH_PROTECTION_56DY_POSITIVE	0.6451628566998432	0.1	1.0
REN_MIF_TARGETS_DN	0.6448016193170094	0.1	1.0
GOMF_SNRNP_BINDING	0.6433700538271556	0.1	1.0
HP_MOYAMOYA_PHENOMENON	0.643232244982158	0.1	1.0
GOBP_MITOCHONDRIAL_TRNA_METHYLATION	0.6426415340972483	0.1	1.0
GOMF_HISTONE_METHYLTRANSFERASE_ACTIVITY_H4_K20_SPECIFIC	0.6422848933763855	0.1	1.0
HP_LARGE_FORAMEN_MAGNUM	0.6415952170427911	0.1	1.0
GOBP_AUDITORY_RECEPTOR_CELL_FATE_COMMITMENT	0.64064591060965	0.1	1.0
GOBP_PLATELET_DENSE_GRANULE_ORGANIZATION	0.6404376551021682	0.1	1.0
GOBP_AXONOGENESIS_INVOLVED_IN_INNERVATION	0.6397109809480596	0.1	1.0
GNF2_CKS2	0.6396944958258328	0.1	1.0
GOMF_GALACTOSIDE_BINDING	0.6395705028911624	0.1	1.0
MIR4649_5P	0.6395398081491976	0.1	1.0
TAKADA_GASTRIC_CANCER_COPY_NUMBER_UP	0.6394644779333291	0.1	1.0
GOBP_ASSEMBLY_OF_ACTOMYOSIN_APPARATUS_INVOLVED_IN_CYTOKINESIS	0.6392177694466796	0.2	1.0
GOCC_HULC_COMPLEX	0.6387063798206932	0.1	1.0
HP_ERYTHEMA_NODOSUM	0.6378870663047325	0.1	1.0
HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP	0.6377882114565212	0.1	1.0
HP_UNCONTROLLED_EYE_MOVEMENTS	0.6375551580923017	0.1	1.0
GOCC_MHC_CLASS_II_PROTEIN_COMPLEX	0.6373075129719351	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_MONOCYTE_DIFFERENTIATION	0.6368082164587375	0.1	1.0
BIOCARTA_NO2IL12_PATHWAY	0.6363795208747552	0.1	1.0
GOBP_MEMBRANE_TO_MEMBRANE_DOCKING	0.6363249281129231	0.1	1.0
GOBP_GLYCOSIDE_TRANSPORT	0.6355176385121785	0.1	1.0
GNF2_CDC2	0.6353688157252144	0.1	1.0
HP_INTERSTITIAL_CARDIAC_FIBROSIS	0.6352236884360897	0.1	1.0
GOBP_2FE_2S_CLUSTER_ASSEMBLY	0.6349282081809238	0.1	1.0
HP_MALAR_PROMINENCE	0.6347551130248024	0.1	1.0
GOCC_PROTEASOME_REGULATORY_PARTICLE_LID_SUBCOMPLEX	0.6336823202765418	0.1	1.0
ROETH_TERT_TARGETS_DN	0.6328107930537156	0.1	1.0
GNF2_RRM2	0.6326292792907943	0.1	1.0
GOBP_FOLATE_IMPORT_ACROSS_PLASMA_MEMBRANE	0.6324498856450703	0.1	1.0
HP_HYPERTONIC_DEHYDRATION	0.6319571976902174	0.1	1.0
HP_CRANIOFACIAL_ASYMMETRY	0.6306806010749053	0.1	1.0
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	0.6302547600676657	0.1	1.0
BIOCARTA_CTBP1_PATHWAY	0.6300243913417416	0.1	1.0
GOBP_NEURON_NEURON_SYNAPTIC_TRANSMISSION	0.6294574334567145	0.1	1.0
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	0.629086506121328	0.1	1.0
GOMF_MHC_CLASS_II_RECEPTOR_ACTIVITY	0.6290656138723792	0.1	1.0
HP_SYNOVITIS	0.6286294149482731	0.1	1.0
GOBP_ACYL_CARNITINE_TRANSPORT	0.6281117695817137	0.1	1.0
GOBP_REGULATION_OF_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	0.6276579694582937	0.1	1.0
HP_RECURRENT_CANDIDA_INFECTIONS	0.6276010760577826	0.1	1.0
IPA_ATF3_DN	0.6267916132033863	0.1	1.0
REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.6257453005029303	0.1	1.0
HP_FACIAL_CAPILLARY_HEMANGIOMA	0.6257341019487721	0.1	1.0
GOBP_ENDOPLASMIC_RETICULUM_MEMBRANE_ORGANIZATION	0.6256336472464682	0.3	1.0
GOBP_KERATINOCYTE_APOPTOTIC_PROCESS	0.6252432413983731	0.1	1.0
HP_INTESTINAL_CARCINOID	0.6246312378055673	0.1	1.0
HP_GLUCAGONOMA	0.6246312378055673	0.1	1.0
HP_INSULINOMA	0.6246312378055673	0.1	1.0
GNF2_CENPE	0.6245650005348012	0.1	1.0
HP_PILOMATRIXOMA	0.6244728706218142	0.1	1.0
GOBP_MEIOSIS_II_CELL_CYCLE_PROCESS	0.624059336382413	0.1	1.0
GOBP_RESPONSE_TO_STAUROSPORINE	0.6237920923249454	0.1	1.0
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.6230675359014158	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_SPINDLE_CHECKPOINT	0.6224902654006463	0.1	1.0
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	0.6224612984940231	0.1	1.0
GOCC_KINETOCHORE_MICROTUBULE	0.6219695999776129	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_CYTOKINESIS	0.6218258259719813	0.1	1.0
EGUCHI_CELL_CYCLE_RB1_TARGETS	0.6217427976960842	0.1	1.0
FINETTI_BREAST_CANCER_KINOME_RED	0.6211989905395312	0.1	1.0
GOCC_MITOCHONDRIAL_INTERMEMBRANE_SPACE_PROTEIN_TRANSPORTER_COMPLEX	0.6211013254163421	0.1	1.0
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	0.6202729213797917	0.1	1.0
TESAR_ALK_AND_JAK_TARGETS_MOUSE_ES_D4_UP	0.6197820099882335	0.1	1.0
TESAR_ALK_TARGETS_EPISC_4D_UP	0.6197820099882335	0.1	1.0
GOCC_LSM1_7_PAT1_COMPLEX	0.619424419878997	0.1	1.0
GOBP_OXALOACETATE_METABOLIC_PROCESS	0.6193127084121407	0.1	1.0
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.6192544171560912	0.1	1.0
HP_SPLIT_FOOT	0.6179221034291826	0.1	1.0
CAFFAREL_RESPONSE_TO_THC_24HR_3_DN	0.6176000095000276	0.1	1.0
GOBP_MAST_CELL_PROLIFERATION	0.6175837481501206	0.1	1.0
HP_RETINOSCHISIS	0.6175232687839222	0.1	1.0
GNF2_CCNA2	0.6175096632902506	0.1	1.0
REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ	0.6171843335194568	0.1	1.0
SA_G2_AND_M_PHASES	0.6168567136238842	0.1	1.0
RICHERT_PBMC_HIV_LIPO_5_AGE_37_48YO_STIMULATED_VS_UNSTIMULATED_14W_INTERFERON_SUBSET_UP	0.6164457255289862	0.1	1.0
MIKKELSEN_IPS_LCP_WITH_H3K4ME3_AND_H3K27ME3	0.6163332378378354	0.1	1.0
HP_APLASIA_HYPOPLASIA_OF_THE_DISTAL_PHALANX_OF_THE_5TH_TOE	0.6139483202450251	0.1	1.0
GOBP_MICROGLIAL_CELL_PROLIFERATION	0.6139346230450442	0.1	1.0
REACTOME_VLDL_ASSEMBLY	0.6133698646744713	0.1	1.0
IPA_XRCC5_DN	0.6129255794944872	0.1	1.0
GOMF_3_HYDROXYACYL_COA_DEHYDRATASE_ACTIVITY	0.6128687451798605	0.1	1.0
GNF2_CENPF	0.6123677529305585	0.1	1.0
GOMF_UBIQUITIN_UBIQUITIN_LIGASE_ACTIVITY	0.6122577453905453	0.1	1.0
COLLIS_PRKDC_REGULATORS	0.6117642781286227	0.1	1.0
IPA_NFKB2_DN	0.611762366041348	0.1	1.0
WP_TRANSSULFURATION_PATHWAY	0.6116945324416141	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	0.6115168072410742	0.1	1.0
HIPC_SIGNATURES_PROJECT_PBMC_TRIVALENT_INFLUENZA_VACCINE_HIGH_RESPONDERS_VS_LOW_RESPONDERS_YOUNGER_ADULTS_21_35_HIGH_RESPONDERS_0D_DOWN	0.611436259670301	0.1	1.0
GOMF_ADENYLATE_CYCLASE_ACTIVATOR_ACTIVITY	0.6114290866120515	0.1	1.0
GOCC_ARP2_3_PROTEIN_COMPLEX	0.6112848441801003	0.1	1.0
GOCC_CONDENSIN_COMPLEX	0.6108843193728615	0.1	1.0
GOMF_Y_FORM_DNA_BINDING	0.6108462314534558	0.1	1.0
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN	0.6107571003273469	0.1	1.0
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	0.6107478293853038	0.1	1.0
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.6106453669441125	0.1	1.0
GOBP_CELLULAR_RESPONSE_TO_UV_C	0.6105596428658677	0.1	1.0
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX	0.609441196771742	0.1	1.0
BIOCARTA_BBCELL_PATHWAY	0.6091936758743645	0.1	1.0
GOBP_NADH_OXIDATION	0.608382844578691	0.1	1.0
HP_ABNORMAL_NATURAL_KILLER_CELL_PHYSIOLOGY	0.6081531981249205	0.1	1.0
PID_IL12_STAT4_PATHWAY	0.6081431662437722	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_ACTIVITY	0.6075650296160768	0.1	1.0
HP_ABNORMAL_HEMOGLOBIN_CONCENTRATION	0.607272814812783	0.1	1.0
GOCC_VCP_NPL4_UFD1_AAA_ATPASE_COMPLEX	0.6070140256113278	0.1	1.0
GOCC_BCL_2_FAMILY_PROTEIN_COMPLEX	0.6063824251293631	0.1	1.0
HP_TRACHEOBRONCHOMALACIA	0.6062754746376174	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_CHECKPOINT	0.6053626588896912	0.1	1.0
YU_MYC_TARGETS_UP	0.6047756525129108	0.1	1.0
IPA_ATF6_UP	0.6042958509729801	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	0.6038019014597067	0.1	1.0
MIR1250_5P	0.6033369214209399	0.1	1.0
ACCGAGC_MIR423	0.6022554204543774	0.1	1.0
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION	0.6010860121368825	0.1	1.0
