	Enrichment	P-Value	Q-Value
GOBP_REGULATION_OF_RAB_PROTEIN_SIGNAL_TRANSDUCTION	0.7563848881432215	0.1	1.0
GOMF_PHOSPHATIDYLINOSITOL_TRANSFER_ACTIVITY	0.7559456991103217	0.1	1.0
IPA_MED28_DN	0.7557191246770949	0.1	1.0
HP_USUAL_INTERSTITIAL_PNEUMONIA	0.7555021606843537	0.1	1.0
HP_TRACTIONAL_RETINAL_DETACHMENT	0.7547660568406842	0.1	1.0
GOBP_REGULATION_OF_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY	0.7537149679564786	0.1	1.0
TESAR_ALK_AND_JAK_TARGETS_MOUSE_ES_D4_DN	0.7534870432580905	0.1	1.0
HP_INTRAALVEOLAR_PHOSPHOLIPID_ACCUMULATION	0.7470611159821307	0.1	1.0
GOMF_NUCLEOBASE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.7466119018119741	0.1	1.0
HP_ABNORMAL_CIRCULATING_PORPHYRIN_CONCENTRATION	0.7461252006947435	0.1	1.0
GOMF_TUMOR_NECROSIS_FACTOR_BINDING	0.7458845321881022	0.1	1.0
IPA_VAV1_UP	0.745159637107435	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_CELL_VOLUME	0.7443106423034451	0.1	1.0
HP_CEREBRAL_CORTICAL_HEMIATROPHY	0.7412883295747971	0.1	1.0
GOBP_NOTCH_RECEPTOR_PROCESSING_LIGAND_DEPENDENT	0.7412034227074986	0.1	1.0
HP_BRANCHIAL_CYST	0.7400654513895827	0.1	1.0
GOMF_L_ARGININE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.7389591844863138	0.1	1.0
GOBP_L_ARGININE_IMPORT_ACROSS_PLASMA_MEMBRANE	0.7372980357122355	0.1	1.0
HP_DARK_URINE	0.7364459032683757	0.1	1.0
WP_TCA_CYCLE_NUTRIENT_UTILIZATION_AND_INVASIVENESS_OF_OVARIAN_CANCER	0.7362518075796596	0.1	1.0
IPA_PCGF2_UP	0.7354731865860179	0.1	1.0
GOBP_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_ACTIVATION	0.7330156666658459	0.1	1.0
GOCC_INTEGRAL_COMPONENT_OF_LYSOSOMAL_MEMBRANE	0.7326284119762804	0.1	1.0
GOBP_CELLULAR_RESPONSE_TO_HYDROPEROXIDE	0.7323126758869903	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_INVOLVED_IN_ENDOCARDIAL_CUSHION_FORMATION	0.7319789255479766	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_NUCLEATION	0.7308762047478686	0.1	1.0
IPA_MEIS2_UP	0.7307406543688393	0.1	1.0
GOMF_PROSTAGLANDIN_E_RECEPTOR_ACTIVITY	0.7291823474971987	0.1	1.0
REACTOME_SYNTHESIS_OF_PI	0.7286898562273066	0.1	1.0
HP_ACUTE_PANCREATITIS	0.7286514304524123	0.1	1.0
HP_DENSE_CALCIFICATIONS_IN_THE_CEREBELLAR_DENTATE_NUCLEUS	0.728360354524982	0.1	1.0
MIKKELSEN_PLURIPOTENT_STATE_DN	0.7269843683466579	0.1	1.0
GOBP_REGULATION_OF_SERINE_C_PALMITOYLTRANSFERASE_ACTIVITY	0.7241356114623191	0.1	1.0
IPA_RNF2_UP	0.7228196380390397	0.1	1.0
HP_ENLARGED_TONSILS	0.7223406005127957	0.1	1.0
HP_POLYCLONAL_ELEVATION_OF_IGM	0.7221917281058999	0.1	1.0
GOCC_F_ACTIN_CAPPING_PROTEIN_COMPLEX	0.7221599093662063	0.1	1.0
GOBP_MYOBLAST_FATE_COMMITMENT	0.7201873690196224	0.1	1.0
HP_PROMINENT_COCCYX	0.7198477199187924	0.1	1.0
GOBP_DEFINITIVE_ERYTHROCYTE_DIFFERENTIATION	0.7194926054781159	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER	0.7191873410880633	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	0.7191873410880633	0.1	1.0
REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS	0.7187991449129216	0.1	1.0
REACTOME_GALACTOSE_CATABOLISM	0.7175772674577054	0.1	1.0
GOBP_PROTEIN_HEXAMERIZATION	0.716907454340027	0.1	1.0
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS	0.7164481666109289	0.1	1.0
HP_EEG_WITH_FOCAL_SHARP_SLOW_WAVES	0.7143614673387262	0.1	1.0
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_INTERLEUKIN_SIGNALING	0.7141127404816027	0.1	1.0
GOBP_CHROMOSOME_MOVEMENT_TOWARDS_SPINDLE_POLE	0.7138957996741446	0.1	1.0
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_LOW_IGM_RESPONDERS_6HY_1DY_UP	0.7115938022383556	0.1	1.0
GOBP_RESPONSE_TO_INDOLE_3_METHANOL	0.7114026236125216	0.1	1.0
GOMF_CYSTEINE_TYPE_EXOPEPTIDASE_ACTIVITY	0.7107178265142516	0.1	1.0
REACTOME_SIGNALING_BY_MAPK_MUTANTS	0.7102526548622341	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	0.7098539383749866	0.1	1.0
GOBP_MAST_CELL_DIFFERENTIATION	0.7097792782049017	0.1	1.0
GOMF_ERBB_3_CLASS_RECEPTOR_BINDING	0.7089357054649554	0.1	1.0
HP_CONGENITAL_CRANIOFACIAL_DYSOSTOSIS	0.7087001210864436	0.1	1.0
REACTOME_MATURATION_OF_SARS_COV_1_SPIKE_PROTEIN	0.7074335687857313	0.1	1.0
HP_NEOPLASM_OF_THE_MIDDLE_EAR	0.706919164279943	0.1	1.0
HP_OVERBITE	0.7067125553275141	0.1	1.0
GOBP_VESICLE_TETHERING	0.7056342677619861	0.1	1.0
HP_OCCIPITAL_MENINGOCELE	0.7056281778410592	0.1	1.0
REACTOME_REELIN_SIGNALLING_PATHWAY	0.705552042648366	0.1	1.0
GOUYER_TATI_TARGETS_UP	0.7046790125305269	0.1	1.0
GOBP_NUCLEOBASE_TRANSPORT	0.7045505975034027	0.1	1.0
GOMF_NEUROTROPHIN_TRK_RECEPTOR_BINDING	0.7044692546584966	0.1	1.0
GOBP_RESPONSE_TO_L_ASCORBIC_ACID	0.7044324846417355	0.1	1.0
GOBP_IMMUNE_COMPLEX_CLEARANCE	0.7038982921581147	0.1	1.0
GOMF_PHOSPHATIDYLCHOLINE_TRANSFER_ACTIVITY	0.7038760262426201	0.1	1.0
MIR4442	0.703462301829455	0.1	1.0
BYSTRYKH_SCP2_QTL	0.7026061790462327	0.1	1.0
HP_MALAR_RASH	0.7025908421000113	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_SIGNALING_PATHWAY	0.7008707136411587	0.1	1.0
GOMF_RNA_STRAND_ANNEALING_ACTIVITY	0.7004405286606029	0.1	1.0
GOBP_REGULATION_OF_NEURONAL_ACTION_POTENTIAL	0.6997560915544266	0.1	1.0
GOMF_PHOSPHATIDYLCHOLINE_FLIPPASE_ACTIVITY	0.6993237529536662	0.1	1.0
GOBP_REGULATION_OF_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION	0.6989542505929279	0.1	1.0
GOCC_ATP_BINDING_CASSETTE_ABC_TRANSPORTER_COMPLEX	0.6986469779997924	0.1	1.0
GOBP_CEREBRAL_CORTEX_REGIONALIZATION	0.6984432071426393	0.1	1.0
HP_HYPOMETHIONINEMIA	0.6983992656394412	0.1	1.0
HP_PALMAR_TELANGIECTASIA	0.6983108949379462	0.1	1.0
HP_INCREASED_ARM_SPAN	0.6982655139371731	0.1	1.0
HP_BLEEDING_WITH_MINOR_OR_NO_TRAUMA	0.6978360647526347	0.1	1.0
BIOCARTA_IL4_PATHWAY	0.6974903587659124	0.1	1.0
HP_ABNORMAL_BRONCHOALVEOLAR_LAVAGE_FLUID_MORPHOLOGY	0.6968007200330643	0.1	1.0
GOMF_NEUREGULIN_BINDING	0.6954013730907299	0.1	1.0
GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_1_SIGNALING_PATHWAY	0.6950471432531168	0.1	1.0
IPA_ETV5_DN	0.6948686666369801	0.2	1.0
GOBP_MACROPHAGE_INFLAMMATORY_PROTEIN_1_ALPHA_PRODUCTION	0.6946564399577173	0.1	1.0
GOCC_POSTSYNAPTIC_GOLGI_APPARATUS	0.6940215850457422	0.1	1.0
HP_C1_C2_SUBLUXATION	0.6937521453601969	0.1	1.0
GOBP_LIPOXIN_METABOLIC_PROCESS	0.6935653757280292	0.1	1.0
IPA_HDAC4_UP	0.6935152928172047	0.3	1.0
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_HIGH_IGM_RESPONDERS_3DY_7D_DN	0.6935082408341563	0.1	1.0
GOMF_INTRAMOLECULAR_TRANSFERASE_ACTIVITY_PHOSPHOTRANSFERASES	0.6926835165766555	0.1	1.0
GOBP_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY	0.6920701996279512	0.1	1.0
HP_BUDD_CHIARI_SYNDROME	0.6918344535854865	0.1	1.0
GOBP_MINUS_END_DIRECTED_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	0.6915089472071826	0.1	1.0
HP_HYPERPLASIA_OF_THE_MAXILLA	0.6914779571955543	0.1	1.0
GOBP_REGULATION_OF_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	0.6895433219980374	0.1	1.0
REACTOME_HUR_ELAVL1_BINDS_AND_STABILIZES_MRNA	0.6894877825457357	0.1	1.0
HP_COCHLEAR_MALFORMATION	0.6891926184469177	0.1	1.0
GOCC_CUL5_RING_UBIQUITIN_LIGASE_COMPLEX	0.689052508473589	0.1	1.0
GOCC_ANNULATE_LAMELLAE	0.6882967796777674	0.1	1.0
GOMF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_ACTIVITY_TYPE_I	0.6874661814351707	0.1	1.0
GOBP_COPI_COATED_VESICLE_BUDDING	0.686497218530445	0.1	1.0
HP_RECURRENT_PHARYNGITIS	0.6861382672663915	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.6859936507858673	0.1	1.0
HP_OVARIAN_PAPILLARY_ADENOCARCINOMA	0.6859541976561278	0.1	1.0
GOCC_ANCHORED_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	0.6854142729317271	0.1	1.0
HP_PROGRESSIVE_SPASTIC_PARAPARESIS	0.6849813070109377	0.1	1.0
GOBP_MEDIUM_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.6847146691429339	0.1	1.0
HP_INCREASED_C_PEPTIDE_LEVEL	0.6841889565873768	0.1	1.0
GOBP_ASYMMETRIC_NEUROBLAST_DIVISION	0.6840672200828822	0.1	1.0
GOBP_REGULATION_OF_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY	0.6840382947041604	0.1	1.0
GOBP_HISTONE_H3_K4_DEMETHYLATION_TRIMETHYL_H3_K4_SPECIFIC	0.6830658971772537	0.1	1.0
IPA_STAT4_DN	0.6827245154276373	0.1	1.0
HP_FIRST_DORSAL_INTEROSSEI_MUSCLE_WEAKNESS	0.6822920167601868	0.1	1.0
GOBP_PROTEIN_SIDE_CHAIN_DEGLUTAMYLATION	0.6820313866271761	0.1	1.0
HP_NEONATAL_BREATHING_DYSREGULATION	0.6812415650853386	0.1	1.0
MODULE_14	0.6801664370213809	0.1	1.0
REACTOME_SYNTHESIS_OF_LIPOXINS_LX	0.6800436343506795	0.1	1.0
GOMF_INOSITOL_HEXAKISPHOSPHATE_KINASE_ACTIVITY	0.6799092010634151	0.1	1.0
GOBP_REGULATION_OF_STRESS_GRANULE_ASSEMBLY	0.6796947369984903	0.1	1.0
FARMER_BREAST_CANCER_CLUSTER_3	0.6792581659231095	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY	0.6790746140654743	0.1	1.0
GOBP_GLOMERULUS_VASCULATURE_MORPHOGENESIS	0.6783375278887516	0.1	1.0
HP_REDUCED_FORCED_EXPIRATORY_VOLUME_IN_ONE_SECOND	0.6775190013275217	0.1	1.0
HP_CONNECTIVE_TISSUE_NEVI	0.6774774758395801	0.1	1.0
TESAR_ALK_TARGETS_HUMAN_ES_4D_DN	0.6772656864349906	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION	0.67710906117485	0.1	1.0
HP_HYPERMETRIC_SACCADES	0.6766885132661954	0.1	1.0
PID_S1P_S1P1_PATHWAY	0.6766359142389223	0.1	1.0
GOMF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	0.6765458756425679	0.1	1.0
GOCC_DERLIN_1_RETROTRANSLOCATION_COMPLEX	0.6763300192675346	0.1	1.0
GOBP_EARLY_ENDOSOME_TO_GOLGI_TRANSPORT	0.6763170488875898	0.1	1.0
HP_TRACHEOBRONCHOMALACIA	0.6761810932253864	0.1	1.0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K	0.6761521484600739	0.1	1.0
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_ACTIVATION	0.6754119997632332	0.1	1.0
GOBP_DETECTION_OF_BACTERIAL_LIPOPROTEIN	0.6752249721957898	0.1	1.0
GOBP_PIRNA_BIOSYNTHETIC_PROCESS	0.6750012050214678	0.1	1.0
GOMF_L_LYSINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.6742832372493608	0.1	1.0
GOBP_L_LYSINE_TRANSMEMBRANE_TRANSPORT	0.6742832372493608	0.1	1.0
GOMF_TOLL_LIKE_RECEPTOR_BINDING	0.6733745757741029	0.1	1.0
GOMF_INSULIN_BINDING	0.6730204790602236	0.1	1.0
GOBP_MEDIUM_CHAIN_FATTY_ACID_CATABOLIC_PROCESS	0.6728845048315659	0.1	1.0
BIOCARTA_REELIN_PATHWAY	0.6728314020455338	0.1	1.0
GOCC_GAMMA_SECRETASE_COMPLEX	0.6727729015530604	0.1	1.0
BIOCARTA_SALMONELLA_PATHWAY	0.6726165156749632	0.1	1.0
HP_INCREASED_ASPARTATE_FAMILY_AMINO_ACID_LEVEL_IN_URINE	0.6719205418023073	0.1	1.0
REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM	0.6718972837463433	0.1	1.0
HP_REDUCED_ANTIGEN_SPECIFIC_T_CELL_PROLIFERATION	0.6718071377680314	0.1	1.0
KREPPEL_CD99_TARGETS_DN	0.6714971224746745	0.1	1.0
GOBP_DENDRITE_ARBORIZATION	0.6713708398571802	0.1	1.0
MIR3677_3P	0.6707839031689266	0.1	1.0
HP_MINICORE_MYOPATHY	0.6703905030590497	0.3	1.0
REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA	0.6695989342792826	0.1	1.0
KUMAMOTO_RESPONSE_TO_NUTLIN_3A_UP	0.6695255644031323	0.1	1.0
GOBP_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS	0.669135866353753	0.1	1.0
HP_ABNORMAL_CIRCULATING_APOLIPOPROTEIN_CONCENTRATION	0.6690559059322502	0.1	1.0
HP_ANOMALOUS_TRICHROMACY	0.6689888352971366	0.1	1.0
HP_WIDELY_SPACED_PRIMARY_TEETH	0.6689024263252982	0.1	1.0
HP_PYODERMA_GANGRENOSUM	0.6684142728249995	0.1	1.0
GOMF_MHC_CLASS_I_PROTEIN_COMPLEX_BINDING	0.6683050108018664	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_ISOTYPE_SWITCHING	0.668225127863773	0.1	1.0
HP_SUDDEN_LOSS_OF_VISUAL_ACUITY	0.6681098503613272	0.1	1.0
HP_EROSION_OF_ORAL_MUCOSA	0.6674639591393672	0.1	1.0
WEINBERGER_BLOOD_TWINRIX_AGE_20_40_AND_60_84YO_CORRELATED_WITH_HIGH_ANTI_HBS_CONC_AT_WEEK_4_POST_BOOSTER_VACC_1DY_POSITIVE	0.6673676103193315	0.1	1.0
HP_MADELUNG_DEFORMITY	0.6672422842159181	0.2	1.0
HP_NEOPLASM_OF_THE_GALLBLADDER	0.6670741556282501	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS_BY_VEGF_ACTIVATED_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.6667949293417609	0.1	1.0
GOMF_LIPOPOLYSACCHARIDE_IMMUNE_RECEPTOR_ACTIVITY	0.6667169562960984	0.1	1.0
HP_HIGH_PITCHED_CRY	0.6663416773719226	0.2	1.0
GOBP_MITOCHONDRIAL_ADP_TRANSMEMBRANE_TRANSPORT	0.6663154046056815	0.1	1.0
GOMF_GLYCEROL_CHANNEL_ACTIVITY	0.6660949913451585	0.1	1.0
TESAR_ALK_TARGETS_HUMAN_ES_5D_DN	0.6660623394150256	0.1	1.0
HP_VENTRICULAR_SEPTAL_HYPERTROPHY	0.6657223386852622	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_HISTONE_DEACETYLASE_ACTIVITY	0.665450936485981	0.2	1.0
HP_AUTOSOMAL_DOMINANT_GERMLINE_DE_NOVO_MUTATION	0.6652764697967654	0.1	1.0
HP_PERIVENTRICULAR_WHITE_MATTER_HYPERDENSITIES	0.6651700439937538	0.1	1.0
GOMF_THIOL_OXIDASE_ACTIVITY	0.6651629243657506	0.2	1.0
GOMF_CORECEPTOR_ACTIVITY_INVOLVED_IN_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY	0.6651193870455927	0.1	1.0
GOMF_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY	0.6642986153807459	0.1	1.0
HP_REDUCED_FORCED_VITAL_CAPACITY	0.6637388361238814	0.1	1.0
HP_MOTTLED_PIGMENTATION	0.6633895897119436	0.1	1.0
HP_PRECOCIOUS_PUBERTY_IN_FEMALES	0.6626845284835466	0.1	1.0
HP_ABNORMALITY_OF_THE_DENTATE_NUCLEUS	0.6626524200405053	0.1	1.0
GOBP_VOCAL_LEARNING	0.6626247833300035	0.1	1.0
GOMF_AMP_ACTIVATED_PROTEIN_KINASE_ACTIVITY	0.6624716136192487	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA1_PRODUCTION	0.6623038014087412	0.1	1.0
IPA_GFI1_UP	0.6622049682643202	0.1	1.0
REACTOME_REGULATION_OF_SIGNALING_BY_NODAL	0.6621708514348434	0.1	1.0
GOCC_PI_BODY	0.6615119033949888	0.1	1.0
REACTOME_RSK_ACTIVATION	0.6614102374116013	0.1	1.0
GOMF_POLYSOME_BINDING	0.6605958686308773	0.1	1.0
GROSS_HIF1A_TARGETS_UP	0.6605730540647939	0.1	1.0
GOBP_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS	0.6605676135255952	0.1	1.0
WP_PLATELETMEDIATED_INTERACTIONS_WITH_VASCULAR_AND_CIRCULATING_CELLS	0.6604888809403839	0.1	1.0
HP_GASTROINTESTINAL_EOSINOPHILIA	0.6596440562242686	0.1	1.0
GAVIN_IL2_RESPONSIVE_FOXP3_TARGETS_DN	0.6591251146101642	0.1	1.0
HP_ANGIOKERATOMA	0.659119118218887	0.1	1.0
HP_GEOGRAPHIC_ATROPHY	0.6590558466809728	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_3_UTR_MEDIATED_MRNA_STABILIZATION	0.6589386054523636	0.1	1.0
GOMF_MHC_CLASS_I_RECEPTOR_ACTIVITY	0.6581253938274643	0.1	1.0
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_192HR_DN	0.6580335000514356	0.1	1.0
GOCC_EARP_COMPLEX	0.6579702551261208	0.2	1.0
GOBP_PROTEIN_LOCALIZATION_TO_ADHERENS_JUNCTION	0.6579441889757321	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY	0.6577402648140683	0.1	1.0
GOBP_DORSAL_ROOT_GANGLION_DEVELOPMENT	0.65762888221342	0.1	1.0
GOBP_NOTCH_RECEPTOR_PROCESSING	0.6574902655784396	0.1	1.0
REACTOME_CREB_PHOSPHORYLATION	0.657463803328329	0.1	1.0
GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION	0.6567207576007613	0.1	1.0
SCHERER_PBMC_YF_VAX_AGE_18_40YO_ANYD_UP	0.6564956891089212	0.1	1.0
BIOCARTA_IL22BP_PATHWAY	0.6560792862027531	0.1	1.0
HP_BILATERAL_CLEFT_LIP_AND_PALATE	0.6550282956391226	0.1	1.0
HP_HYPOREFLEXIA_OF_UPPER_LIMBS	0.6547237368235891	0.1	1.0
GOBP_CITRATE_METABOLIC_PROCESS	0.654490413723489	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_FEVER_GENERATION	0.6544263518351763	0.1	1.0
GOBP_REGULATION_OF_EOSINOPHIL_MIGRATION	0.6542108359847936	0.1	1.0
HP_RENAL_STEATOSIS	0.6541606392394649	0.1	1.0
GOBP_CELLULAR_RESPONSE_TO_OXIDISED_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS	0.6540647431286828	0.1	1.0
GOBP_NEGATIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS	0.6540580529793885	0.1	1.0
HP_PHARYNGITIS	0.653874867056787	0.1	1.0
GOCC_CENTRIOLAR_SUBDISTAL_APPENDAGE	0.6529974100542126	0.1	1.0
GOBP_QUINOLINATE_METABOLIC_PROCESS	0.6526785306480006	0.1	1.0
IPA_MLXIPL_DN	0.6519984178852513	0.1	1.0
GOMF_C_X3_C_CHEMOKINE_BINDING	0.65168841652087	0.1	1.0
REACTOME_BIOSYNTHESIS_OF_MARESINS	0.6514252582007157	0.1	1.0
MIR3615	0.6514250221063724	0.1	1.0
HP_PENOSCROTAL_HYPOSPADIAS	0.6511069727760248	0.1	1.0
VAN_DEN_BIGGELAAR_PBMC_PREVNAR_9MO_INFANT_STIMULATED_VS_UNSTIMULATED_9MO_DN	0.6508436343107257	0.1	1.0
HP_ALTERNATING_ESOTROPIA	0.6504695153213585	0.1	1.0
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.6504692334279716	0.1	1.0
HP_COLD_INDUCED_MUSCLE_CRAMPS	0.6503913447786447	0.1	1.0
REACTOME_NOTCH4_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS	0.6501908721057438	0.1	1.0
